Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. muricata,14517,14528,7.71,2,,,,NoMatch,,,,,,,,
1,,Annona muricata,12103,12118,12.22,2,,,,Exact,0,Annona muricata L.,Annona muricata,5V4C6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Magnoliales|Annonaceae|Annona|Annona muricata,
2,,Annonaceae,12131,12142,4.19,1,,,,Exact,0,Annonaceae,Annonaceae,6FB,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Magnoliales|Annonaceae,
3,,Ateles paniscus,25781,25796,9.71,2,,,,Exact,0,"Ateles paniscus (Linnaeus, 1758)",Ateles paniscus,J8PD,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Atelidae|Atelinae|Ateles|Ateles paniscus,
4,,C. tubulosa,14500,14512,7.28,2,,,,NoMatch,,,,,,,,
5,,Casuarius casuarius,25749,25768,12.30,2,,,,Exact,0,"Casuarius casuarius (Linnaeus, 1758)",Casuarius casuarius,RQZ2,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Casuariiformes|Casuariidae|Casuarius|Casuarius casuarius,
6,,Cayaponia cruegeri,12003,12021,11.86,2,,,,Exact,0,Cayaponia cruegeri (Naudin) Cogn.,Cayaponia cruegeri,RYFJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Cucurbitales|Cucurbitaceae|Cayaponia|Cayaponia cruegeri,
7,,Cayaponia tubulosa,12045,12063,11.97,2,,,,Exact,0,Cayaponia tubulosa Cogn.,Cayaponia tubulosa,RYJ7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Cucurbitales|Cucurbitaceae|Cayaponia|Cayaponia tubulosa,
8,,Cebus capuchinus,25883,25899,11.88,2,,,,Exact,0,Cebus capuchinus,Cebus capuchinus,1961843,168,ION,,
9,,Cecropia,16364,16372,4.06,1,,,,Exact,0,Cecropia Loefl.,Cecropia,3JWC,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Rosales|Urticaceae|Cecropioideae|Cecropia,
10,,Cecropia latiloba,11957,11974,10.23,2,,,,Exact,0,Cecropia latiloba Miq.,Cecropia latiloba,RZRN,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Rosales|Urticaceae|Cecropioideae|Cecropia|Cecropia latiloba,
11,,Ceratogymna,25512,25523,4.34,1,,,,Exact,0,"Ceratogymna Bonaparte, 1854",Ceratogymna,3KT4,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Bucerotiformes|Bucerotidae|Ceratogymna,
12,,Characidae,5818,5830,4.76,1,,,,Exact,0,Characidae,Characidae,7ZZ,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Characiformes|Characidae,
13,,Chelonoidis denticulata,25848,25871,12.08,2,,,,Exact,0,"Chelonoidis denticulata (Linnaeus, 1766)",Chelonoidis denticulata,949446,3,ITIS,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia|Testudines|Cryptodira|Testudinoidea|Testudinidae|Chelonoidis|Chelonoidis denticulata,
14,,Colossoma,2687,2697,5.56,1,,,,Exact,0,Colossoma,Colossoma,3SJX,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Characiformes|Serrasalmidae|Colossoma,
15,,Colossoma disperses,2801,2820,5.86,2,,,,PartialExact,0,Colossoma,Colossoma,3SJX,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Characiformes|Serrasalmidae|Colossoma,
16,,Colossoma macropomum,2031,2052,12.41,2,,,,Exact,0,"Colossoma macropomum (Cuvier, 1816)",Colossoma macropomum,X8BJ,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Characiformes|Serrasalmidae|Colossoma|Colossoma macropomum,
17,,Cucurbitaceae,12076,12090,4.53,1,,,,Exact,0,Cucurbitaceae Juss.,Cucurbitaceae,8SC,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Cucurbitales|Cucurbitaceae,
18,,D. duckei,14447,14457,5.34,2,,,,NoMatch,,,,,,,,
19,,Doradidae,24325,24334,4.83,1,,,,Exact,0,Doradidae,Doradidae,9F7,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Siluriformes|Doradidae,
20,,Duroia duckei,11924,11937,8.80,2,,,,Exact,0,Duroia duckei Huber,Duroia duckei,383XN,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Duroia|Duroia duckei,
21,,Elephas maximus,25649,25664,5.30,2,,,,Exact,0,"Elephas maximus Linnaeus, 1758",Elephas maximus,398D9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Proboscidea|Elephantidae|Elephas|Elephas maximus,
22,,Garrulus glandarius,25813,25832,12.59,2,,,,Exact,0,"Garrulus glandarius (Linnaeus, 1758)",Garrulus glandarius,6JYHZ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Corvidae|Garrulus|Garrulus glandarius,
23,,Loretana,1735,1744,3.36,1,,,,Exact,0,"Loretana Desutter-Grandcolas, 1991",Loretana,8NTQM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Ensifera|Gryllidea|Grylloidea|Phalangopsidae|Paragryllinae|Paragryllini|Strogulomorphina|Loretana,
24,,Myadestes melanops,25918,25936,8.18,2,,,,Exact,0,"Myadestes melanops Salvin, 1865",Myadestes melanops,44RLT,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Turdidae|Myadestes|Myadestes melanops,
25,,Odocoileus virginianus,25686,25708,12.51,2,,,,Exact,0,"Odocoileus virginianus (Zimmermann, 1780)",Odocoileus virginianus,48NBQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Artiodactyla|Cervidae|Capreolinae|Odocoileus|Odocoileus virginianus,
26,,Peruana,11694,11701,3.16,1,,,,Exact,0,"Peruana Koçak & Kemal, 2008",Peruana,8NXCG,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridomorpha|Acridoidea|Acrididae|Ommatolampidinae|Ommatolampidini|Ommatolampina|Peruana,
27,,Phainoptila melanoxantha,25944,25968,12.18,2,,,,Exact,0,"Phainoptila melanoxantha Salvin, 1877",Phainoptila melanoxantha,4FQB4,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Ptilogonatidae|Phainoptila|Phainoptila melanoxantha,
28,,Rosales,33113,33121,1.86,1,,,,Exact,0,Rosales Bercht. & J. Presl,Rosales,3Z6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Rosales,
29,,Rubiaceae,11938,11949,4.26,1,,,,Exact,0,Rubiaceae,Rubiaceae,6278P,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae,
