Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. thaliana,24870,24881,7.38,2,,,,NoMatch,,,,,,,,
1,,Arabidopsis thaliana,6926,6946,12.06,2,,,,Exact,0,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,G26R,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis|Arabidopsis thaliana,
2,,Arabis,6802,6809,3.61,1,,,,Exact,0,Arabis,Arabis,ZJX,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabis,
3,,Arabis holboellii,7144,7161,10.90,2,,,,Exact,0,Arabis holboellii Hornem.,Arabis holboellii,5W2H3,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Boechera|Boechera holboellii,
4,,B. collinsii,23607,23619,6.86,2,,,,NoMatch,,,,,,,,
5,,B. crandallii,29370,29383,6.89,2,,,,NoMatch,,,,,,,,
6,,B. divaricarpa,35857,35873,6.82,2,,,,NoMatch,,,,,,,,
7,,B. fecunda,24840,24850,6.07,2,,,,NoMatch,,,,,,,,
8,,B. fendleri,17183,17196,7.17,2,,,,NoMatch,,,,,,,,
9,,B. gracilipes,22860,22873,6.02,2,,,,NoMatch,,,,,,,,
10,,B. microphylla,32476,32490,7.33,2,,,,NoMatch,,,,,,,,
11,,B. parishii,30141,30153,6.50,2,,,,NoMatch,,,,,,,,
12,,B. pendulina,22891,22903,7.10,2,,,,NoMatch,,,,,,,,
13,,B. pendulocarpa,23655,23670,6.67,2,,,,NoMatch,,,,,,,,
14,,B. polyantha,23707,23719,6.63,2,,,,NoMatch,,,,,,,,
15,,B. pulchra,23753,23763,5.45,2,,,,NoMatch,,,,,,,,
16,,B. rectissima,23803,23816,6.75,2,,,,NoMatch,,,,,,,,
17,,B. retrofracta,17065,17079,7.04,2,,,,NoMatch,,,,,,,,
18,,B. spatifolia,22932,22945,7.25,2,,,,NoMatch,,,,,,,,
19,,B. stricta,15932,15942,6.46,2,,,,NoMatch,,,,,,,,
20,,Boechera,125,134,5.16,1,,,,Exact,0,Boechera,Boechera,3B25,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Boechera,
21,,Boechera stricta,15809,15825,12.02,2,,,,Exact,0,Boechera stricta (Graham) Al-Shehbaz,Boechera stricta,68LFB,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Boechera|Boechera stricta,
22,,Brassicaceae,1271,1286,4.55,1,,,,Exact,0,Brassicaceae,Brassicaceae,7DN,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae,
23,,Hierochloe australis,6250,6270,12.21,2,,,,Exact,0,Hierochloe australis (Schrad.) Roem. & Schult.,Hierochloe australis,3LVHG,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Anthoxanthum|Anthoxanthum australe,
24,,Panicum,6302,6309,4.56,1,,,,Exact,0,Panicum,Panicum,6D8C,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Panicum,
25,,Paspalum rufum,6330,6344,8.39,2,,,,Exact,0,Paspalum rufum Nees ex Steud.,Paspalum rufum,4DWPQ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Paspalum|Paspalum rufum,
26,,Potentilla argentea,6426,6445,11.37,2,,,,Exact,0,Potentilla argentea L.,Potentilla argentea,4M4YZ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilla|Potentilla argentea,
27,,Themeda australis,6379,6398,11.39,2,,,,Exact,0,Themeda australis (R.Br.) Stapf,Themeda australis,7C7K5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Themeda|Themeda triandra,
