Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Adriana,26586,26593,3.16,1,,,,Exact,9.00960,0,Adriana,Adriana,629K7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Adriana,
1,,B. mori,5460,5468,3.95,2,,,,NoMatch,0.0,,,,,,,,
2,,B. mori chromosomes,5544,5563,4.14,3,,,,NoMatch,0.0,,,,,,,,
3,,Bombyx,990,996,2.76,1,,,,Exact,9.00960,0,Bombyx,Bombyx,62GVK,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Bombycoidea|Bombycidae|Bombyx,
4,,Bombyx chromosomes,10366,10384,3.69,2,,,,PartialExact,9.00960,0,Bombyx,Bombyx,62GVK,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Bombycoidea|Bombycidae|Bombyx,
5,,Bombyx mori,5383,5400,7.11,2,,,,Exact,9.01315,0,"Bombyx mori Linnaeus, 1758",Bombyx mori,MGPB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Bombycoidea|Bombycidae|Bombyx|Bombyx mori,
6,,Danaus,7219,7227,,1,,,,Exact,9.00960,0,Danaus,Danaus,3ZQG,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Danaus,
7,,Danaus plexippus,6535,6551,9.52,2,,,,Exact,9.01315,0,"Danaus (Anosia) plexippus Linnaeus, 1758",Danaus plexippus,6CB8P,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Danaus|Anosia|Danaus plexippus,
8,,Drosophila,6745,6755,4.89,1,,,,Exact,9.00960,0,Drosophila,Drosophila,8MQXF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Ephydridae|Discocerina|Drosophila,
9,,Eueides,5863,5872,3.15,1,,,,Exact,9.01315,0,"Eueides Jekel, H., 1857",Eueides,8HG95,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Eueides,
10,,Fiona,27709,27714,3.81,1,,,,Exact,9.01183,0,"Fiona Alder & Hancock [in Forbes & Hanley] , 1853",Fiona,7P2HS,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Heterobranchia|Euthyneura|Ringipleura|Nudipleura|Nudibranchia|Cladobranchia|Fionoidea|Fionidae|Fiona,
11,,H. cydno,1586,1594,3.37,2,,,,NoMatch,0.0,,,,,,,,
12,,H. elevatus,1470,1481,7.53,2,,,,NoMatch,0.0,,,,,,,,
13,,H. ethilla,1425,1435,6.75,2,,,,NoMatch,0.0,,,,,,,,
14,,H. hecale,1436,1445,5.67,2,,,,NoMatch,0.0,,,,,,,,
15,,H. heurippa,1574,1585,4.92,2,,,,NoMatch,0.0,,,,,,,,
16,,H. melpomene aglaope,11823,11843,5.52,3,,,,NoMatch,0.0,,,,,,,,
17,,H. melpomene amaryllis,1658,1680,4.17,3,,,,NoMatch,0.0,,,,,,,,
18,,H. melpomene rosina,1595,1614,7.47,3,,,,NoMatch,0.0,,,,,,,,
19,,H. numata,1415,1424,7.29,2,,,,NoMatch,0.0,,,,,,,,
20,,H. numata silvana,19789,19806,13.80,3,,,,NoMatch,0.0,,,,,,,,
21,,H. pardalinus,19765,19778,7.28,2,,,,NoMatch,0.0,,,,,,,,
22,,H. pardalinus butleri,1490,1511,13.45,3,,,,NoMatch,0.0,,,,,,,,
23,,H. pardalinus sergestus,1446,1469,14.04,3,,,,NoMatch,0.0,,,,,,,,
24,,H. timareta,1542,1553,6.22,2,,,,NoMatch,0.0,,,,,,,,
25,,H. timareta compared,11717,11737,4.89,3,,,,NoMatch,0.0,,,,,,,,
26,,H. timareta florencia,1512,1533,10.69,3,,,,NoMatch,0.0,,,,,,,,
27,,Heliconiinae,2287,2300,4.43,1,,,,Exact,8.98392,0,"Heliconiinae Swainson, 1822",Heliconiinae,694053,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Papilionoidea|Nymphalidae|Heliconiinae,
28,,Heliconius,94,104,4.89,1,,,,Exact,9.00960,0,Heliconius,Heliconius,62TLS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius,
29,,Heliconius chromosomes,10320,10342,5.82,2,,,,PartialExact,9.00960,0,Heliconius,Heliconius,62TLS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius,
30,,Heliconius elevatus,1149,1169,12.82,2,,,,Exact,9.01315,0,"Heliconius elevatus Nöldner, 1901",Heliconius elevatus,3K8WX,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius|Heliconius elevatus,
31,,Heliconius erato,13030,13046,4.94,2,,,,Exact,9.01315,0,"Heliconius erato Linnaeus, 1758",Heliconius erato,3K8X2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius|Heliconius erato,
32,,Heliconius heurippa,4444,4464,10.21,2,,,,Exact,9.01315,0,"Heliconius heurippa Hewitsoni, 1854",Heliconius heurippa,3K8XG,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius|Heliconius heurippa,
33,,Heliconius melpomene,574,594,6.80,2,,,,Exact,9.01315,0,"Heliconius melpomene Linnaeus, 1758",Heliconius melpomene,3K8XY,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius|Heliconius melpomene,
34,,Heliconius melpomene amaryllis,8752,8782,9.46,3,,,,Exact,9.29453,0,"Heliconius melpomene amaryllis C. & R. Felder, 1862",Heliconius melpomene amaryllis,gn_51628,186,MCZbase,Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Heliconius|Heliconius melpomene amaryllis,
35,,Heliconius melpomene melpomene,4653,4683,7.73,3,,,,Exact,9.29453,0,"Heliconius melpomene melpomene (Linnaeus, 1758)",Heliconius melpomene melpomene,gn_69237,186,MCZbase,Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Heliconius|Heliconius melpomene melpomene,
36,,Heliconius pardalinus butleri,21637,21666,18.74,3,,,,Exact,9.30728,0,Heliconius pardalinus butleri,Heliconius pardalinus butleri,380821,2,Wikispecies,,
37,,Heliconius timareta,1125,1144,11.51,2,,,,Exact,9.01315,0,"Heliconius timareta Hewitson, 1867",Heliconius timareta,3K8YX,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius|Heliconius timareta,
38,,Heliconius timareta florencia,14548,14577,15.97,3,,,,Exact,9.27756,0,Heliconius timareta florencia,Heliconius timareta florencia,5237995,168,ION,,
39,,H�melpomene aglaope,19180,19199,3.71,2,,,,NoMatch,0.0,,,,,,,,
40,,Katharina,27006,27015,4.10,1,,,,Exact,9.01315,0,"Katharina Gray, 1847",Katharina,7P6FD,1,Catalogue of Life,Biota|Animalia|Mollusca|Polyplacophora|Neoloricata|Chitonida|Acanthochitonina|Mopalioidea|Mopaliidae|Mopaliinae|Katharina,
41,,Lepidoptera,667,678,5.11,1,,,,Exact,9.00960,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera,
42,,Marcus,27898,27904,3.27,1,,,,Exact,8.91436,0,Marcus,Marcus,4301819,168,ION,,
43,,Nymphalidae,2273,2286,4.91,1,,,,Exact,9.00960,0,Nymphalidae,Nymphalidae,DGC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae,
