Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Anadenobolus,50885,50897,5.88,1,,,,Exact,9.01315,0,"Anadenobolus Silvestri, 1897",Anadenobolus,7NNYR,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Juliformia|Spirobolida|Rhinocricidea|Rhinocricidae|Anadenobolus,
1,,Arachnida,7295,7306,3.88,1,,,,Exact,9.00960,0,Arachnida,Arachnida,RC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida,
2,,Araneae,7307,7315,4.18,1,,,,Exact,9.00960,0,Araneae,Araneae,RN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Araneae,
3,,Arthropoda,12679,12691,4.05,1,,,,Exact,9.00960,0,Arthropoda,Arthropoda,RT,1,Catalogue of Life,Biota|Animalia|Arthropoda,
4,,Asiomorpha,33633,33643,4.98,1,,,,Exact,9.01315,0,"Asiomorpha Verhoeff, 1939",Asiomorpha,7NPV2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Merocheta|Polydesmida|Strongylosomatidea|Paradoxosomatidae|Paradoxosomatinae|Orthomorphini|Asiomorpha,
5,,Brachycybe,31597,31607,4.37,1,,,,Exact,9.01315,0,"Brachycybe Wood, 1864",Brachycybe,7NR38,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Colobognatha|Platydesmida|Andrognathidae|Bazillozoniinae|Brachycybe,
6,,Callipodida,23336,23347,3.95,1,,,,Exact,9.01315,0,"Callipodida Pocock, 1894",Callipodida,7NF8C,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Nematophora|Callipodida,
7,,Chilopoda,12669,12678,4.13,1,,,,Exact,9.00960,0,Chilopoda,Chilopoda,93,1,Catalogue of Life,Biota|Animalia|Arthropoda|Chilopoda,
8,,Chordeumatida,20695,20709,4.14,1,,,,Exact,9.01315,0,"Chordeumatida Pocock, 1894",Chordeumatida,7NF8X,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Nematophora|Chordeumatida,
9,,Colobognatha,22983,22995,4.26,1,,,,Exact,9.01315,0,"Colobognatha Brandt, 1834",Colobognatha,7NF5W,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Colobognatha,
10,,Craterostigmomorpha,21123,21142,5.23,1,,,,Exact,9.00960,0,Craterostigmomorpha,Craterostigmomorpha,326,1,Catalogue of Life,Biota|Animalia|Arthropoda|Chilopoda|Craterostigmomorpha,
11,,Diplopoda,645,654,4.69,1,,,,Exact,9.01271,0,"Diplopoda de Blainville in Gervais, 1844",Diplopoda,7NF3S,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda,
12,,Diplopoda been,34541,34555,3.94,2,,,,PartialExact,9.01271,0,"Diplopoda de Blainville in Gervais, 1844",Diplopoda,7NF3S,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda,
13,,Eugnatha,32600,32609,4.10,1,,,,Exact,9.01315,0,"Eugnatha Attems, 1898",Eugnatha,7ZFKH,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha,
14,,Europaea,17756,17764,4.75,1,,,,Exact,8.98202,0,"Europaea Sowerby, 1854",Europaea,urn:lsid:irmng.org:taxname:1317232,181,IRMNG,Biota|Animalia|Mollusca|Gastropoda|Littorinimorpha|Cypraeidae|Cypraea,
15,,Geophilomorpha,23652,23666,4.77,1,,,,Exact,9.00960,0,Geophilomorpha,Geophilomorpha,39F,1,Catalogue of Life,Biota|Animalia|Arthropoda|Chilopoda|Geophilomorpha,
16,,Glomerida,22878,22887,3.88,1,,,,Exact,9.01315,0,"Glomerida Brandt, 1833",Glomerida,7NFBB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Pentazonia|Oniscomorpha|Glomerida,
17,,Glomeridesmida,22843,22857,4.15,1,,,,Exact,9.01315,0,"Glomeridesmida Cook, 1895",Glomeridesmida,7NFBC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Pentazonia|Limacomorpha|Glomeridesmida,
18,,Hirudicryptus,31635,31648,5.69,1,,,,Exact,9.01315,0,"Hirudicryptus Enghoff & Golovatch, 1995",Hirudicryptus,7NVVM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Colobognatha|Siphonocryptida|Siphonocryptidae|Hirudicryptus,
19,,Julida,23181,23187,3.15,1,,,,Exact,9.01315,0,"Julida Brandt, 1833",Julida,7NFBQ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Juliformia|Julida,
20,,Julidae,38907,38914,4.19,1,,,,Exact,9.01315,0,"Julidae Leach, 1814",Julidae,7NJ2L,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Juliformia|Julida|Juloidea|Julidae,
21,,Juliformia,23170,23180,4.49,1,,,,Exact,9.01315,0,"Juliformia Attems, 1926",Juliformia,7ZFKJ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Juliformia,
22,,Lithobiomorpha,23533,23547,4.77,1,,,,Exact,9.00960,0,Lithobiomorpha,Lithobiomorpha,3GL,1,Catalogue of Life,Biota|Animalia|Arthropoda|Chilopoda|Lithobiomorpha,
23,,Mammalia,17470,17478,4.68,1,,,,Exact,9.01315,0,"Mammalia Linnaeus, 1758",Mammalia,6224G,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia,
24,,Merocheta,23399,23408,4.13,1,,,,Exact,9.01315,0,"Merocheta Cook, 1895",Merocheta,7ZFKK,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Merocheta,
25,,Myriapoda,12692,12702,4.13,1,,,,Exact,8.98392,0,"Myriapoda Latreille, 1796",Myriapoda,03e53adc-2a48-4bda-88e3-f7f4aef52d3c,193,Myriatrix,Myriapoda,
26,,Nematophora,23282,23293,5.64,1,,,,Exact,9.01315,0,"Nematophora J.Agardh, 1890",Nematophora,5YGG,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Ceramiales|Dasyaceae|Nematophora,
27,,Okeanobates,31612,31624,2.93,1,,,,Exact,9.01315,0,"Okeanobates Verhoeff, 1939",Okeanobates,7PN4J,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Juliformia|Julida|Blaniuloidea|Okeanobatidae|Okeanobates,
28,,Opiliones,42270,42280,3.46,1,,,,Exact,9.01315,0,"Opiliones Sundevall, 1833",Opiliones,3Q2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Opiliones,
29,,Orthomorpha,33820,33831,5.13,1,,,,Exact,9.01315,0,"Orthomorpha Bollman, 1893",Orthomorpha,7PR73,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Merocheta|Polydesmida|Strongylosomatidea|Paradoxosomatidae|Paradoxosomatinae|Orthomorphini|Orthomorpha,
30,,Pachyiulus,50847,50857,5.53,1,,,,Exact,9.01315,0,"Pachyiulus Berlese, 1883",Pachyiulus,7PRBN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Juliformia|Julida|Juloidea|Julidae|Pachyiulinae|Pachyiulus,
31,,Penicillata,39558,39569,4.23,1,,,,Exact,9.01315,0,"Penicillata Latreille, 1831",Penicillata,7NF5K,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Penicillata,
32,,Pentazonia,39542,39553,3.66,1,,,,Exact,9.01315,0,"Pentazonia Brandt, 1833",Pentazonia,7NF5L,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Pentazonia,
33,,Platydesmida,22996,23008,4.16,1,,,,Exact,9.01315,0,"Platydesmida Cook, 1895",Platydesmida,7NFF8,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Colobognatha|Platydesmida,
34,,Pleurostigmomorpha,23514,23532,4.66,1,,,,Exact,8.91436,0,Pleurostigmomorpha,Pleurostigmomorpha,1515916,168,ION,,
35,,Polydesmida,23413,23424,3.95,1,,,,Exact,9.01315,0,"Polydesmida Leach, 1815",Polydesmida,7NFFC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Merocheta|Polydesmida,
36,,Polyxenida,22789,22799,3.80,1,,,,Exact,9.01315,0,"Polyxenida Verhoeff, 1934",Polyxenida,7NFFF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Penicillata|Polyxenida,
37,,Polyzoniida,23030,23041,3.95,1,,,,Exact,9.01315,0,"Polyzoniida Cook, 1895",Polyzoniida,7NFFG,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Colobognatha|Polyzoniida,
38,,Pseudoscorpiones,12740,12756,4.03,1,,,,Exact,9.01315,0,"Pseudoscorpiones de Geer, 1778",Pseudoscorpiones,3X3,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Pseudoscorpiones,
39,,Pseudoscorpions,13850,13865,0.72,1,,,,Exact,8.91436,0,Pseudoscorpions,Pseudoscorpions,3375270,168,ION,,
40,,Rhinocricidae,10684,10699,5.10,1,,,,Exact,9.01315,0,"Rhinocricidae Brölemann, 1913",Rhinocricidae,7NKV8,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Juliformia|Spirobolida|Rhinocricidea|Rhinocricidae,
41,,Rhinocricus,10657,10670,4.63,1,,,,Exact,9.01315,0,"Rhinocricus Karsch, 1881",Rhinocricus,7PXL8,1,Catalogue of Life,Biota|Animalia|Arthropoda|Diplopoda|Chilognatha|Helminthomorpha|Eugnatha|Juliformia|Spirobolida|Rhinocricidea|Rhinocricidae|Rhinocricinae|Rhinocricus,
42,,Scolopendromorpha,23613,23630,5.04,1,,,,Exact,9.00960,0,Scolopendromorpha,Scolopendromorpha,42K,1,Catalogue of Life,Biota|Animalia|Arthropoda|Chilopoda|Scolopendromorpha,
