Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. literatus,30580,30592,7.67,2,,,,NoMatch,,,,,,,,
1,,A. lituratus,30236,30248,7.67,2,,,,NoMatch,,,,,,,,
2,,A. lituratus data,7811,7828,8.87,3,,,,NoMatch,,,,,,,,
3,,Artibeus,35448,35456,4.27,1,,,,Exact,0,"Artibeus Leach, 1821",Artibeus,62CJH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Noctilionoidea|Phyllostomidae|Stenodermatinae|Stenodermatini|Artibeina|Artibeus,
4,,Artibeus lituratus,4655,4674,12.34,2,,,,Exact,0,"Artibeus (Artibeus) lituratus (Olfers, 1818)",Artibeus lituratus,7R5ZG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Noctilionoidea|Phyllostomidae|Stenodermatinae|Stenodermatini|Artibeina|Artibeus|Artibeus|Artibeus lituratus,
5,,C. rafinesquii,7422,7436,4.68,2,,,,NoMatch,,,,,,,,
6,,Chiroptera,43,54,4.97,1,,,,Exact,0,"Chiroptera Blumenbach, 1779",Chiroptera,XC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera,
7,,Corynorhinus,38938,38950,6.02,1,,,,Exact,0,"Corynorhinus H. Allen, 1865",Corynorhinus,62NX2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Vespertilionoidea|Vespertilionidae|Vespertilioninae|Plecotini|Corynorhinus,
8,,Corynorhinus rafinesquii,6581,6605,11.10,2,,,,Exact,0,"Corynorhinus rafinesquii (Lesson, 1827)",Corynorhinus rafinesquii,YRRY,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Vespertilionoidea|Vespertilionidae|Vespertilioninae|Plecotini|Corynorhinus|Corynorhinus rafinesquii,
9,,L. borealis,7405,7417,7.41,2,,,,NoMatch,,,,,,,,
10,,Lasiurus borealis,6558,6576,13.20,2,,,,Exact,0,"Lasiurus borealis (Müller, 1776)",Lasiurus borealis,3SGVF,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Vespertilionoidea|Vespertilionidae|Vespertilioninae|Lasiurini|Lasiurus|Lasiurus borealis,
11,,M. austroriparius,7358,7376,7.21,2,,,,NoMatch,,,,,,,,
12,,M. lucifugus,4884,4897,5.76,2,,,,NoMatch,,,,,,,,
13,,Miniopteridae,37087,37101,5.10,1,,,,Exact,0,"Miniopteridae Dobson, 1875",Miniopteridae,8NKMV,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Vespertilionoidea|Miniopteridae,
14,,Myotis,3464,3470,3.94,1,,,,Exact,0,"Myotis Kaup, 1829",Myotis,5WGF,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Vespertilionoidea|Vespertilionidae|Myotinae|Myotis,
15,,Myotis austroriparius,6491,6513,11.55,2,,,,Exact,0,"Myotis (Pizonyx) austroriparius (Rhoads, 1897)",Myotis austroriparius,8LZMK,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Vespertilionoidea|Vespertilionidae|Myotinae|Myotis|Pizonyx|Myotis austroriparius,
16,,Myotis lucifugus,1528,1545,10.09,2,,,,Exact,0,"Myotis (Pizonyx) lucifugus (Le Conte, 1831)",Myotis lucifugus,8LZSQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yangochiroptera|Vespertilionoidea|Vespertilionidae|Myotinae|Myotis|Pizonyx|Myotis lucifugus,
17,,N. humeralis,7391,7404,7.55,2,,,,NoMatch,,,,,,,,
