Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Aeropyrum pernix,35251,35267,10.29,2,,,,Exact,9.01315,0,"Aeropyrum pernix Sako et al., 1996",Aeropyrum pernix,64ZZX,1,Catalogue of Life,Biota|Archaea|Crenarchaeota|Thermoprotei|Desulfurococcales|Desulfurococcaceae|Aeropyrum|Aeropyrum pernix,
1,,Anaeromyxobacter dehalogenans,19150,19180,9.46,2,,,,Exact,9.01315,0,"Anaeromyxobacter dehalogenans Sanford et al., 2002",Anaeromyxobacter dehalogenans,DD33,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Cystobacterineae|Cystobacteraceae|Anaeromyxobacter|Anaeromyxobacter dehalogenans,
2,,Archaea,98,105,4.55,1,,,,Exact,9.00960,0,Archaea,Archaea,R,1,Catalogue of Life,Biota|Archaea,
3,,Archaeoglobus fulgidus,35728,35750,12.44,2,,,,Exact,9.01315,0,"Archaeoglobus fulgidus Stetter, 1988",Archaeoglobus fulgidus,G7PX,1,Catalogue of Life,Biota|Archaea|Euryarchaeota|Archaeoglobi|Archaeoglobales|Archaeoglobaceae|Archaeoglobus|Archaeoglobus fulgidus,
4,,Caldivirga maquilingensis,9797,9823,10.69,2,,,,Exact,9.01315,0,"Caldivirga maquilingensis Itoh et al., 1999",Caldivirga maquilingensis,6968G,1,Catalogue of Life,Biota|Archaea|Crenarchaeota|Thermoprotei|Thermoproteales|Thermoproteaceae|Caldivirga|Caldivirga maquilingensis,
5,,Cenarchaeum symbiosum,7999,8021,11.81,2,,,,Exact,8.98392,0,"Cenarchaeum symbiosum Preston, Wu, Molinski & De Long, 1996",Cenarchaeum symbiosum,urn:lsid:marinespecies.org:taxname:573558,9,WoRMS,Biota|Archaea|Thaumarchaeota|Cenarchaeales|Cenarchaeaceae|Cenarchaeum|Cenarchaeum symbiosum,
6,,Desulfurococcus kamchatkensis,9743,9773,12.29,2,,,,Exact,9.01315,0,"Desulfurococcus kamchatkensis Kublanov et al., 2009",Desulfurococcus kamchatkensis,354SY,1,Catalogue of Life,Biota|Archaea|Crenarchaeota|Thermoprotei|Desulfurococcales|Desulfurococcaceae|Desulfurococcus|Desulfurococcus kamchatkensis,
7,,E. coli,58558,58567,3.82,2,,,,NoMatch,0.0,,,,,,,,
8,,Escherichia coli,54387,54403,9.68,2,,,,Exact,9.01315,0,"Escherichia coli (Migula, 1895) Castellani & Chalmers, 1919",Escherichia coli,3BGTD,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Escherichia|Escherichia coli,
9,,G. lamblia,17317,17327,6.85,2,,,,NoMatch,0.0,,,,,,,,
10,,Giardia lamblia,10649,10664,10.75,2,,,,Exact,8.98392,0,"Giardia lamblia Kofoid and Christiansen, 1915",Giardia lamblia,553109,3,ITIS,Protozoa|Sarcomastigophora|Mastigophora|Zoomastigophora|Diplomonadida|Hexamitidae|Giardia|Giardia lamblia,
11,,Halobacterium salinarum,9877,9901,13.25,2,,,,Exact,9.01183,0,"Halobacterium salinarum (Harrison & Kennedy, 1922) Elazari-Volcani, 1957 emend. Gruber et al., 2004 emend. Gruber & al. , 2004",Halobacterium salinarum,6KZZX,1,Catalogue of Life,Biota|Archaea|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halobacterium|Halobacterium salinarum,
12,,I. hospitalis,56020,56033,7.64,2,,,,NoMatch,0.0,,,,,,,,
13,,Ignicoccus hospitalis,9720,9742,12.52,2,,,,Exact,9.01315,0,"Ignicoccus hospitalis Paper et al., 2007",Ignicoccus hospitalis,6MV44,1,Catalogue of Life,Biota|Archaea|Crenarchaeota|Thermoprotei|Desulfurococcales|Desulfurococcaceae|Ignicoccus|Ignicoccus hospitalis,
14,,Korarchaeum,13200,13212,4.51,1,,,,Exact,8.98344,0,"Candidatus Korarchaeum Elkins et al., 2008",Korarchaeum,urn:lsid:irmng.org:taxname:11909295,181,IRMNG,Biota|Archaea|Korarchaeota||Candidatus,
15,,Korarchaeum cryptofilum,8434,8457,7.18,2,,,,Exact,8.94848,0,Korarchaeum cryptofilum,Korarchaeum cryptofilum,10682619,11,GBIF Backbone Taxonomy,Archaea|Thermoproteota|Korarchaeia|Korarchaeales|Korarchaeaceae|Korarchaeum|Korarchaeum cryptofilum,
16,,Korarchaeum cryptophilum,20095,20120,7.03,2,,,,PartialExact,8.98344,0,"Candidatus Korarchaeum Elkins et al., 2008",Korarchaeum,urn:lsid:irmng.org:taxname:11909295,181,IRMNG,Biota|Archaea|Korarchaeota||Candidatus,
17,,Metallosphaera sedula,9774,9796,12.19,2,,,,Exact,9.01315,0,"Metallosphaera sedula Huber et al., 1989",Metallosphaera sedula,42B24,1,Catalogue of Life,Biota|Archaea|Crenarchaeota|Thermoprotei|Sulfolobales|Sulfolobaceae|Metallosphaera|Metallosphaera sedula,
18,,Methanobrevibacter smithii,9924,9951,9.69,2,,,,Exact,9.01315,0,"Methanobrevibacter smithii Balch & Wolfe, 1981",Methanobrevibacter smithii,42FC6,1,Catalogue of Life,Biota|Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter|Methanobrevibacter smithii,
19,,Methanocaldococcus jannaschii,35755,35784,11.85,2,,,,Exact,9.01315,0,"Methanocaldococcus jannaschii (Jones et al., 1984) Whitman, 2002",Methanocaldococcus jannaschii,42FCJ,1,Catalogue of Life,Biota|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanocaldococcaceae|Methanocaldococcus|Methanocaldococcus jannaschii,
