Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. angusta,2347,2359,6.22,2,,,,NoMatch,0.0,,,,,,,,
1,,A. cimicina,2360,2372,6.96,2,,,,NoMatch,0.0,,,,,,,,
2,,A. semialata,2377,2389,7.85,2,,,,NoMatch,0.0,,,,,,,,
3,,Alloteropsis,1318,1330,4.48,1,,,,Exact,9.00960,0,Alloteropsis,Alloteropsis,SM3,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Alloteropsis,
4,,Alloteropsis semialata,11468,11490,12.73,2,,,,Exact,9.01315,0,Alloteropsis semialata (R.Br.) Hitchc.,Alloteropsis semialata,BZNL,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Alloteropsis|Alloteropsis semialata,
5,,Alloteropsis stigma,13571,13591,6.50,2,,,,PartialExact,9.00960,0,Alloteropsis,Alloteropsis,SM3,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Alloteropsis,
6,,Andropogoneae,4929,4942,4.53,1,,,,Exact,8.98392,0,Andropogoneae Dumort.,Andropogoneae,50063322,165,Tropicos,,
7,,Brachypodium,9272,9284,5.70,1,,,,Exact,9.00960,0,Brachypodium,Brachypodium,62GPZ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Brachypodium,
8,,Cenchrinae,4608,4619,4.08,1,,,,Exact,8.98392,0,Cenchrinae Link,Cenchrinae,100408982,165,Tropicos,,
9,,Eleocharis vivipara,18663,18683,9.45,2,,,,Exact,9.01315,0,Eleocharis vivipara Link,Eleocharis vivipara,397R4,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Eleocharis|Eleocharis vivipara,
10,,Erika,220,225,2.47,1,,,,Exact,9.00960,0,Erika,Erika,62RLR,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Noctuoidea|Lymantriidae|Erika,
11,,Melinidinae,4091,4102,4.23,1,,,,Exact,8.98392,0,Melinidinae Stapf,Melinidinae,100515886,165,Tropicos,,
12,,Panicoideae,8218,8229,4.34,1,,,,Exact,8.98392,0,Panicoideae Horan.,Panicoideae,100451652,165,Tropicos,,
13,,Setaria,9250,9258,4.24,1,,,,Exact,9.00960,0,Setaria,Setaria,7G3D,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Setaria,
14,,Setaria italica,9737,9752,11.71,2,,,,Exact,9.01315,0,Setaria italica (L.) P.Beauv.,Setaria italica,6YKG8,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Setaria|Setaria italica,
15,,Setaria palmifolia,4645,4663,11.90,2,,,,Exact,9.01315,0,Setaria palmifolia (J.Koenig) Stapf,Setaria palmifolia,4X2HP,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Setaria|Setaria palmifolia,
16,,T. quadrivalvis,5378,5393,6.52,2,,,,NoMatch,0.0,,,,,,,,
17,,Themeda quadrivalvis,5161,5181,10.36,2,,,,Exact,9.01315,0,Themeda quadrivalvis (L.) Kuntze,Themeda quadrivalvis,56BBG,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Themeda|Themeda quadrivalvis,
18,,Zea mays,15710,15718,2.40,2,,,,Exact,9.01315,0,Zea mays L.,Zea mays,5CXX5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Zea|Zea mays,
19,,Zoysia japonica,15791,15806,6.88,2,,,,Exact,9.01315,0,Zoysia japonica Steud.,Zoysia japonica,7GGD7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Zoysia|Zoysia japonica,
