Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,B. mori,9827,9835,3.95,2,,,,NoMatch,,,,,,,,
1,,B. mori gene,38498,38510,2.98,3,,,,NoMatch,,,,,,,,
2,,B. mori may,45498,45509,1.16,3,,,,NoMatch,,,,,,,,
3,,Becker,1190,1196,1.16,1,,,,Exact,0,"Becker 1905 Schoettellodes Becker, 1905 Schoettellodes Becker, 1905",Becker,62F2M,1,Catalogue of Life,Biota|Animalia|Arthropoda|Collembola|Poduromorpha|Neanuroidea|Brachystomellidae|Brachystomella,
4,,Bombyx,44794,44800,2.76,1,,,,Exact,0,Bombyx,Bombyx,62GVK,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Bombycoidea|Bombycidae|Bombyx,
5,,Bombyx mori,2423,2434,7.11,2,,,,Exact,0,"Bombyx mori Linnaeus, 1758",Bombyx mori,MGPB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Bombycoidea|Bombycidae|Bombyx|Bombyx mori,
6,,Caenorhabditis,7518,7532,4.94,1,,,,Exact,0,"Caenorhabditis Osche, 1952",Caenorhabditis,87DRY,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis,
7,,Drosophila,7488,7498,4.89,1,,,,Exact,0,Drosophila,Drosophila,8NPBW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophila,
8,,Lepidoptera,9660,9671,5.11,1,,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera,
9,,Mita,56945,56949,3.02,1,,,,Exact,0,"Mita Pessagno, 1977",Mita,urn:lsid:irmng.org:taxname:1407023,181,IRMNG,Biota|Protozoa|Sarcomastigota|Sarcomastigota|Sarcomastigota|Mita,
