Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Amblysomus,20258,20268,5.53,1,,,,Exact,0,"Amblysomus Pomel, 1848",Amblysomus,TJZ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Afrosoricida|Chrysochloridea|Chrysochloridae|Amblysominae|Amblysomus,
1,,Anadasypus hondanus,26875,26896,12.78,2,,,,Exact,0,Anadasypus hondanus Carlini et al. 1997,Anadasypus hondanus,279971,172,PaleoBioDB,||Mammalia|Theriiformes|Anadasypus hondanus,
2,,Aplodontia,20463,20473,4.59,1,,,,Exact,0,"Aplodontia Richardson, 1829",Aplodontia,YR9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha|Aplodontiidae|Aplodontia,
3,,Boreoeutheria,16060,16073,4.59,1,,,,Exact,0,Boreoeutheria,Boreoeutheria,737413,2,Wikispecies,,
4,,Bradypodidae,25053,25066,5.12,1,,,,Exact,0,"Bradypodidae Gray, 1821",Bradypodidae,7D9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Pilosa|Folivora|Bradypodidae,
5,,Bradypus,16318,16326,4.95,1,,,,Exact,0,"Bradypus Linnaeus, 1758",Bradypus,3CR3,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Pilosa|Folivora|Bradypodidae|Bradypus,
6,,Cabassous,16292,16301,2.74,1,,,,Exact,0,"Cabassous McMurtrie, 1831",Cabassous,62JR7,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata|Dasypodidae|Tolypeutinae|Cabassous,
7,,Cetacea,22012,22021,3.28,1,,,,Exact,0,"Cetacea Brisson, 1762",Cetacea,WP,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea,
8,,Cetartiodactyla,21986,22002,4.75,1,,,,Exact,0,"Cetartiodactyla Montgelard, Catzeflis & Douzery, 1997",Cetartiodactyla,urn:lsid:marinespecies.org:taxname:370511,9,WoRMS,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Cetartiodactyla,
9,,Chaetophractus,20398,20412,5.70,1,,,,Exact,0,"Chaetophractus Fitzinger, 1871",Chaetophractus,3LPT,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata|Dasypodidae|Euphractinae|Chaetophractus,
10,,Chlamyphorus,25890,25903,6.12,1,,,,Exact,0,"Chlamyphorus Harlan, 1825",Chlamyphorus,3NHH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata|Dasypodidae|Euphractinae|Chlamyphorus,
11,,Choloepus,16329,16338,5.40,1,,,,Exact,0,"Choloepus Illiger, 1811",Choloepus,3NWM,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Pilosa|Folivora|Megalonychidae|Choloepus,
12,,Cingulata,23578,23587,4.71,1,,,,Exact,0,"Cingulata Illiger, 1811",Cingulata,YC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata,
13,,Cyclopes didactylus,24504,24525,10.71,2,,,,Exact,0,"Cyclopes didactylus (Linnaeus, 1758)",Cyclopes didactylus,32VDS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Pilosa|Vermilingua|Cyclopedidae|Cyclopes|Cyclopes didactylus,
14,,Cynocephalus,20444,20456,5.88,1,,,,Exact,0,"Cynocephalus Boddaert, 1768",Cynocephalus,3YK7,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Dermoptera|Cynocephalidae|Cynocephalus,
15,,Cynopterus,20550,20560,5.76,1,,,,Exact,0,"Cynopterus F. Cuvier, 1824",Cynopterus,3YL6,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera|Yinpterochiroptera|Pteropodidae|Cynopterinae|Cynopterini|Cynopterus,
16,,D. kappleri,16250,16261,7.17,2,,,,NoMatch,,,,,,,,
17,,D. novemcinctus,16232,16247,7.79,2,,,,NoMatch,,,,,,,,
18,,Dasypodidae,16409,16420,4.91,1,,,,Exact,0,"Dasypodidae Gray, 1821",Dasypodidae,8ZQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata|Dasypodidae,
19,,Dasypodinae,26053,26064,4.23,1,,,,Exact,0,"Dasypodinae Gray, 1821",Dasypodinae,628HW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata|Dasypodidae|Dasypodinae,
20,,Dasypodini,26110,26122,3.55,1,,,,Exact,0,Dasypodini Gray 1821,Dasypodini,5126706,168,ION,,
21,,Dasypus,27021,27028,4.76,1,,,,Exact,0,"Dasypus Linnaeus, 1758",Dasypus,62Q88,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata|Dasypodidae|Dasypodinae|Dasypus,
22,,Dasypus here,31490,31502,2.34,2,,,,PartialExact,0,"Dasypus Linnaeus, 1758",Dasypus,62Q88,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata|Dasypodidae|Dasypodinae|Dasypus,
