Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. thaliana,14763,14776,7.38,2,,,,NoMatch,,,,,,,,
1,,Arabidopsis,14007,14018,4.27,1,,,,Exact,0,Arabidopsis,Arabidopsis,62CR2,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis,
2,,Arabidopsis thaliana,11937,11957,12.06,2,,,,Exact,0,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,G26R,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis|Arabidopsis thaliana,
3,,Arborea,13512,13519,4.20,1,,,,Exact,0,Rhododendron subser. Arborea Tagg,Arborea,50281442,165,Tropicos,,
4,,Drosophila,58928,58939,4.89,1,,,,Exact,0,Drosophila,Drosophila,8NPBW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophila,
5,,Lgm refugia,7089,7100,0.83,2,,,,NoMatch,,,,,,,,
6,,P. glauca,13660,13669,5.54,2,,,,NoMatch,,,,,,,,
7,,Picea abies,246,259,5.98,2,,,,Exact,0,Picea abies (L.) H. Karst.,Picea abies,4HPZF,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Picea|Picea abies,
8,,Picea breweriana,18730,18747,11.48,2,,,,Exact,0,Picea breweriana S. Watson,Picea breweriana,4HQ26,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Picea|Picea breweriana,
9,,Pinaceae,12755,12763,3.82,1,,,,Exact,0,Pinaceae,Pinaceae,625M7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae,
10,,Pinus sylvestris,47716,47735,12.40,2,,,,Exact,0,Pinus sylvestris L.,Pinus sylvestris,4J2J5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pinus|Pinus sylvestris,
11,,Pinus taeda,12914,12926,8.49,2,,,,Exact,0,Pinus taeda L.,Pinus taeda,4J2J9,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pinus|Pinus taeda,
12,,Populus tremula,47950,47967,11.51,2,,,,Exact,0,Populus tremula L.,Populus tremula,4LVQY,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Populus|Populus tremula,
