Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. degranvillei,84590,84605,6.35,2,,,,NoMatch,,,,,,,,
1,,A. femoralis,91859,91871,7.55,2,,,,NoMatch,,,,,,,,
2,,Acris,93020,93025,2.41,1,,,,Exact,0,"Acris Duméril & Bibron, 1841",Acris,627SP,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Hylidae|Acridinae|Acris,
3,,Acris crepitans,93200,93215,8.40,2,,,,Exact,0,"Acris crepitans Baird, 1854",Acris crepitans,9KKJ,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Hylidae|Acridinae|Acris|Acris crepitans,
4,,Ad. andreae,21677,21688,5.95,2,,,,NoMatch,,,,,,,,
5,,Ad. heyeri,36202,36213,6.75,2,,,,NoMatch,,,,,,,,
6,,Adelophryne,51174,51185,4.21,1,,,,Exact,0,"Adelophryne Hoogmoed & Lescure, 1984",Adelophryne,P38,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Brachycephaloidea|Eleutherodactylidae|Phyzelaphryninae|Adelophryne,
7,,Adenomera,18877,18886,5.60,1,,,,Exact,0,"Adenomera Steindachner, 1867",Adenomera,P6P,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Leptodactylidae|Leptodactylinae|Adenomera,
8,,Adenomera andreae,80256,80273,11.95,2,,,,Exact,0,"Adenomera andreae (Müller, 1923)",Adenomera andreae,6532H,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Leptodactylidae|Leptodactylinae|Adenomera|Adenomera andreae,
9,,Adenomera heyeri,80352,80368,12.75,2,,,,Exact,0,"Adenomera heyeri Boistel, Massary & Angulo, 2006",Adenomera heyeri,9ZMN,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Leptodactylidae|Leptodactylinae|Adenomera|Adenomera heyeri,
10,,Al. femoralis,21693,21706,7.55,2,,,,NoMatch,,,,,,,,
11,,Al. granti,36218,36228,4.97,2,,,,NoMatch,,,,,,,,
12,,Al. hodli,43090,43099,3.37,2,,,,NoMatch,,,,,,,,
13,,Allobates,18703,18712,2.86,1,,,,Exact,0,"Allobates Zimmermann & Zimmermann, 1988",Allobates,S6C,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Dendrobatoidea|Aromobatidae|Allobatinae|Allobates,
14,,Allobates femoralis,50741,50761,10.81,2,,,,Exact,0,"Allobates femoralis (Boulenger, 1884)",Allobates femoralis,668XN,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Dendrobatoidea|Aromobatidae|Allobatinae|Allobates|Allobates femoralis,
15,,Allobates granti,80445,80461,8.23,2,,,,Exact,0,"Allobates granti (Kok, MacCulloch, Gaucher, Poelman, Bourne, Lathrop & Lenglet, 2006)",Allobates granti,668XL,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Dendrobatoidea|Aromobatidae|Allobatinae|Allobates|Allobates granti,
16,,Allobates hodli,86952,86967,6.63,2,,,,Exact,0,"Allobates hodli Simões, Lima & Farias, 2010",Allobates hodli,5TWXM,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Dendrobatoidea|Aromobatidae|Allobatinae|Allobates|Allobates hodli,
17,,Amapasaurus tetradactylus,51287,51312,13.63,2,,,,Exact,0,"Amapasaurus tetradactylus Cunha, 1970",Amapasaurus tetradactylus,5TZ5F,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Gymnophthalmidae|Amapasaurus|Amapasaurus tetradactylus,
18,,Ameerega pulchripecta,51201,51223,10.33,2,,,,Exact,0,"Ameerega pulchripecta (Silverstone, 1976)",Ameerega pulchripecta,CQ7B,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Dendrobatoidea|Dendrobatidae|Colostethinae|Ameerega|Ameerega pulchripecta,
19,,Ameerega trivittata,50517,50537,11.38,2,,,,Exact,0,"Ameerega trivittata (Spix, 1824)",Ameerega trivittata,CQ7J,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Dendrobatoidea|Dendrobatidae|Colostethinae|Ameerega|Ameerega trivittata,
