Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acrophyllum,14083,14095,5.14,1,,,,Exact,9.01315,0,Acrophyllum Benth.,Acrophyllum,NGM,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Cunoniaceae|Acrophyllum,
1,,Alpinae,27399,27406,3.51,1,,,,Exact,8.98344,0,Clematis ser. Alpinae W.J. Yang & L.Q. Li,Alpinae,100363096,165,Tropicos,,
2,,Averrhoa,9517,9526,3.04,1,,,,Exact,9.01315,0,Averrhoa L.,Averrhoa,62FF4,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Oxalidaceae|Averrhoa,
3,,Biophytum,9527,9537,4.56,1,,,,Exact,9.01315,0,Biophytum DC.,Biophytum,62FYD,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Oxalidaceae|Biophytum,
4,,Brunelliaceae,9426,9440,4.53,1,,,,Exact,9.01315,0,Brunelliaceae Engl.,Brunelliaceae,622GW,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Brunelliaceae,
5,,Caesiae,22535,22543,1.64,1,,,,Exact,8.98344,0,Eragrostis subg. Caesiae Van den Borre & L. Watson,Caesiae,25561650,165,Tropicos,,
6,,Carnosae,27411,27419,2.78,1,,,,Exact,8.98344,0,Pedicularis ser. Carnosae Prain,Carnosae,29208647,165,Tropicos,,
7,,Cephalotaceae,9411,9425,4.53,1,,,,Exact,9.01315,0,Cephalotaceae Dumort.,Cephalotaceae,7VL,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Cephalotaceae,
8,,Cochranea,4533,4542,4.99,1,,,,Exact,9.01138,0,Cochranea Miers,Cochranea,5T7YH,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Boraginales|Heliotropiaceae|Heliotropium,
9,,Connaraceae,9474,9485,4.34,1,,,,Exact,9.01315,0,Connaraceae R. Br.,Connaraceae,8HN,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Connaraceae,
10,,Corniculatae,9164,9177,3.50,1,,,,Exact,8.98344,0,Oxalis subsect. Corniculatae (DC.) G.Eiten,Corniculatae,116411-3,167,IPNI,,
11,,Cucurbitales,12579,12591,2.78,1,,,,Exact,9.01271,0,Cucurbitales Juss. ex Bercht. & J. Presl,Cucurbitales,32L,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Cucurbitales,
12,,Cunoniaceae,9457,9469,4.34,1,,,,Exact,9.01315,0,Cunoniaceae R. Br.,Cunoniaceae,624G7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Cunoniaceae,
13,,Dapania,9538,9546,3.65,1,,,,Exact,9.01315,0,Dapania Korth.,Dapania,3ZST,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Oxalidaceae|Dapania,
14,,Elaeocarpaceae,9441,9456,4.54,1,,,,Exact,9.01315,0,Elaeocarpaceae Juss.,Elaeocarpaceae,9LG,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Elaeocarpaceae,
15,,Eucryphia,13085,13094,5.38,1,,,,Exact,9.01315,0,Eucryphia Cav.,Eucryphia,4FCQ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Cunoniaceae|Eucryphia,
16,,Fagales,12567,12574,1.86,1,,,,Exact,9.00960,0,Fagales,Fagales,384,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales,
17,,Festuca,20126,20133,4.12,1,,,,Exact,9.00960,0,Festuca,Festuca,4JWK,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca,
18,,Giganteae,27422,27431,4.26,1,,,,Exact,8.98344,0,Oxalis sect. Giganteae Lourteig,Giganteae,1016615-1,167,IPNI,,
19,,Heliotropiaceae,4556,4572,5.05,1,,,,Exact,9.01315,0,Heliotropiaceae Schrad.,Heliotropiaceae,6253L,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Boraginales|Heliotropiaceae,
20,,Heliotropium,4512,4524,5.70,1,,,,Exact,9.01315,0,Heliotropium L.,Heliotropium,62VCK,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Boraginales|Heliotropiaceae|Heliotropium,
21,,Huaceae,9402,9410,3.62,1,,,,Exact,9.01315,0,Huaceae A. Chev.,Huaceae,B6K,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Huaceae,
