Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Carduelis chloris,23534,23551,12.61,2,,,,Exact,9.01138,0,"Carduelis chloris (Linnaeus, 1758)",Carduelis chloris,R6J8,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Fringillidae|Chloris|Chloris chloris,
1,,Cuculus canorus,4651,4668,11.96,2,,,,Exact,9.01315,0,"Cuculus canorus Linnaeus, 1758",Cuculus canorus,6BPL3,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Cuculinae|Cuculus|Cuculus canorus,
2,,Dana,58641,58645,2.44,1,,,,Exact,9.01315,0,"Dana Lowry, 2011",Dana,7P7ZM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Talitrida|Talitridira|Talitroidea|Talitroidae|Makawidae|Dana,
3,,Dendrocopos major,17656,17676,4.08,2,,,,Exact,9.01315,0,"Dendrocopos major (Linnaeus, 1758)",Dendrocopos major,6CJDB,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Piciformes|Picidae|Picinae|Dendrocopos|Dendrocopos major,
4,,Dermanyssus gallinoides,16580,16605,10.85,2,,,,Exact,9.01315,0,"Dermanyssus (Dermanyssus) gallinoides Moss, 1966",Dermanyssus gallinoides,8QDXJ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Parasitiformes|Mesostigmata|Monogynaspida|Gamasina|Dermanyssoidea|Dermanyssidae|Dermanyssus|Dermanyssus|Dermanyssus gallinoides,
5,,Ficedula albicollis,1085,1107,13.06,2,,,,Exact,9.01315,0,"Ficedula albicollis (Temminck, 1815)",Ficedula albicollis,6HWH4,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Ficedula|Ficedula albicollis,
6,,Ficedula hypoleuca,7877,7898,11.52,2,,,,Exact,9.01315,0,"Ficedula hypoleuca (Pallas, 1764)",Ficedula hypoleuca,6HWGP,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Ficedula|Ficedula hypoleuca,
7,,Martes martes,38332,38347,6.79,2,,,,Exact,9.01315,0,"Martes martes (Linnaeus, 1758)",Martes martes,3Y9W2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Mustelidae|Guloninae|Martes|Martes martes,
8,,Osorno,5120,5126,2.12,1,,,,Exact,8.98392,0,"Osorno Candèze, 1882",Osorno,urn:lsid:irmng.org:taxname:1261702,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Elateridae|Osorno,
9,,Quercus petraea,12357,12374,10.32,2,,,,Exact,9.01315,0,Quercus petraea (Matt.) Liebl.,Quercus petraea,4R5SK,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Quercus|Quercus petraea,
10,,Sealy,2483,2488,1.69,1,,,,Exact,9.00960,0,Sealy,Sealy,644KN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Coleoptera|Staphylinoidea|Staphylinidae|Sealy,
11,,Sialia sialis,8246,8259,12.35,2,,,,Exact,9.01315,0,"Sialia sialis (Linnaeus, 1758)",Sialia sialis,4X5FY,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Turdidae|Sialia|Sialia sialis,
12,,Soler,1762,1767,0.56,1,,,,Exact,8.91823,0,Otus (Soler) de Naurois 1975,Soler,2097816,168,ION,,
