Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Branchiostoma floridae,10418,10441,11.55,2,,,,Exact,0,"Branchiostoma floridae Hubbs, 1922",Branchiostoma floridae,N6RS,1,Catalogue of Life,Biota|Animalia|Chordata|Cephalochordata|Leptocardii|Branchiostomatidae|Branchiostoma|Branchiostoma floridae,
1,,Caenorhabditis,19782,19797,4.94,1,,,,Exact,0,"Caenorhabditis Osche, 1952",Caenorhabditis,87DRY,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis,
2,,Capitella teleta,21260,21277,11.50,2,,,,Exact,0,"Capitella teleta Blake, Grassle & Eckelbarger, 2009",Capitella teleta,68XKG,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Sedentaria|Scolecida|Capitellidae|Capitella|Capitella teleta,
3,,Ciona,15522,15528,3.81,1,,,,Exact,0,"Ciona Fleming, 1822",Ciona,7NSY2,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Cionidae|Ciona,
4,,Ciona intestinalis,10392,10411,11.88,2,,,,Exact,0,"Ciona intestinalis (Linnaeus, 1767)",Ciona intestinalis,VFCZ,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Cionidae|Ciona|Ciona intestinalis,
5,,Crollius,3009,3019,4.51,1,,,,Exact,0,"Crollius Distant, 1901",Crollius,urn:lsid:irmng.org:taxname:1420238,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Hemiptera|Hemiptera|Crollius,
6,,Daphnia,17274,17281,3.65,1,,,,Exact,0,Daphnia,Daphnia,3ZT7,1,Catalogue of Life,Biota|Animalia|Arthropoda|Branchiopoda|Diplostraca|Daphnia|Daphnia,
7,,Daphnia pulex,21278,21292,9.27,2,,,,Exact,0,"Daphnia (Daphnia) pulex Leydig, 1860",Daphnia pulex,345CH,1,Catalogue of Life,Biota|Animalia|Arthropoda|Branchiopoda|Diplostraca|Daphnia|Daphnia|Daphnia pulex,
8,,Drosophila melanogaster,10299,10323,9.57,2,,,,Exact,0,"Drosophila (Sophophora) melanogaster Meigen, 1830",Drosophila melanogaster,8BXCZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Sophophora|Drosophila melanogaster,
9,,Helobdella robusta,21293,21311,11.86,2,,,,Exact,0,"Helobdella robusta Shankland, Bissen and Weisblat, 1992",Helobdella robusta,568912,3,ITIS,Animalia|Bilateria|Protostomia|Lophozoa|Annelida|Clitellata|Lumbriculata|Hirudinida|Rhynchobdellida|Glossiphoniidae|Haementeriinae|Helobdella|Helobdella robusta,
10,,Homo sapiens,10474,10487,8.29,2,,,,Exact,0,"Homo sapiens Linnaeus, 1758",Homo sapiens,6MB3T,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Homo|Homo sapiens,
11,,Jana,2047,2051,2.44,1,,,,Exact,0,Jana,Jana,568N,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Bombycoidea|Eupterotidae|Jana,
12,,Lottia gigantea,21316,21331,10.38,2,,,,Exact,0,"Lottia gigantea G. B. Sowerby I, 1834",Lottia gigantea,3W7VY,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Patellogastropoda|Lottioidea|Lottiidae|Lottiinae|Lottiini|Lottia|Lottia gigantea,
13,,O. dioica,9414,9424,6.81,2,,,,NoMatch,,,,,,,,
14,,Oikopleura,5436,5447,5.21,1,,,,Exact,0,"Oikopleura Mertens, 1830",Oikopleura,7PN47,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Appendicularia|Copelata|Oikopleuridae|Oikopleurinae|Labiata|Oikopleura,
15,,Oikopleura dioica,6088,6105,12.42,2,,,,Exact,0,"Oikopleura (Vexillaria) dioica Fol, 1872",Oikopleura dioica,48ZX5,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Appendicularia|Copelata|Oikopleuridae|Oikopleurinae|Labiata|Oikopleura|Oikopleura|Oikopleura dioica,
16,,Petromyzon marinus,10448,10467,11.00,2,,,,Exact,0,"Petromyzon marinus Linnaeus, 1758",Petromyzon marinus,6V6DZ,1,Catalogue of Life,Biota|Animalia|Chordata|Cephalaspidomorphi|Petromyzontiformes|Petromyzontidae|Petromyzon|Petromyzon marinus,
17,,Strongylocentrotus purpuratus,10330,10360,13.76,2,,,,Exact,0,"Strongylocentrotus purpuratus (Stimpson, 1857)",Strongylocentrotus purpuratus,534ML,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Strongylocentrotidae|Strongylocentrotus|Strongylocentrotus purpuratus,
