Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Arabidopsis,44730,44741,4.27,1,,,,Exact,9.00960,0,Arabidopsis,Arabidopsis,62CR2,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis,
1,,Capsella,33497,33506,4.86,1,,,,Exact,9.00960,0,Capsella,Capsella,3H72,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Capsella,
2,,Eucalyptus globulus,53507,53526,12.40,2,,,,Exact,9.01315,0,Eucalyptus globulus Labill.,Eucalyptus globulus,3BPZ6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Myrtoideae|Eucalyptus|Eucalyptus globulus,
3,,Nuria,55887,55892,3.87,1,,,,Exact,9.01138,0,"Nuria Navás, 1930",Nuria,8N7DT,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Plecoptera|Arctoperlaria|Euholognatha|Nemouroidea|Taeniopterygidae|Brachypterainae|Taenionema,
4,,Pinus,44217,44222,4.72,1,,,,Exact,9.00960,0,Pinus,Pinus,6QPY,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pinus,
5,,Pinus taeda,50356,50368,8.49,2,,,,Exact,9.01315,0,Pinus taeda L.,Pinus taeda,4J2J9,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pinus|Pinus taeda,
6,,Populus tremula,50550,50566,11.51,2,,,,Exact,9.01315,0,Populus tremula L.,Populus tremula,4LVQY,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Populus|Populus tremula,
7,,Serra,56127,56132,2.95,1,,,,Exact,9.01183,0,Serra do Navio mammarenavirus ,Serra,4WWRQ,1,Catalogue of Life,Biota||Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|Arenaviridae||,
8,,T. baccata,5163,5174,7.54,2,,,,NoMatch,0.0,,,,,,,,
9,,T. cuspidata,16037,16051,7.85,2,,,,NoMatch,0.0,,,,,,,,
10,,T. wallichiana,16061,16077,7.79,2,,,,NoMatch,0.0,,,,,,,,
11,,Taxus,854,859,3.17,1,,,,Exact,9.00960,0,Taxus,Taxus,63TKC,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Taxaceae|Taxus,
12,,Taxus baccata,1052,1065,11.11,2,,,,Exact,9.01315,0,Taxus baccata L.,Taxus baccata,5527N,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Taxaceae|Taxus|Taxus baccata,
13,,Taxus cuspidata,11262,11279,11.42,2,,,,Exact,9.01315,0,Taxus cuspidata Siebold & Zucc.,Taxus cuspidata,55284,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Taxaceae|Taxus|Taxus cuspidata,
