Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Bangiomorpha assemblage,34231,34254,5.84,2,,,,PartialExact,9.01315,0,"Bangiomorpha N.J. Butterfield, 2000",Bangiomorpha,62FCH,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Bangiophyceae|Bangiales|Bangiaceae|Bangiomorpha,
1,,Bilateria,15566,15575,4.32,1,,,,Exact,8.98012,0,Bilateria,Bilateria,914154,3,ITIS,Animalia|Bilateria,
2,,Deuterostomia,34525,34540,4.83,1,,,,Exact,8.98012,0,Deuterostomia,Deuterostomia,116,2,Wikispecies,,
3,,Dictyostelium,7679,7692,5.68,1,,,,Exact,9.00960,0,Dictyostelium,Dictyostelium,84PMD,1,Catalogue of Life,Biota|Protozoa|Mycetozoa|Dictyosteliomycetes|Dictyosteliales|Dictyosteliaceae|Dictyostelium,
4,,Diptera,10567,10574,4.96,1,,,,Exact,9.01138,0,Diptera Borkh.,Diptera,5T8Z6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Saxifraga,
5,,Ecdysozoa,34541,34551,2.28,1,,,,Exact,8.98012,0,Ecdysozoa,Ecdysozoa,107,2,Wikispecies,,
6,,Hymenoptera,10593,10604,5.67,1,,,,Exact,9.00960,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hymenoptera,
7,,Lepidoptera,10579,10590,5.11,1,,,,Exact,9.00960,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera,
8,,Liliopsida,10060,10070,3.80,1,,,,Exact,9.00960,0,Liliopsida,Liliopsida,L2L,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida,
9,,Moreira,36615,36623,4.24,1,,,,Exact,9.01138,0,"Moreira Roewer, 1930",Moreira,7PPH7,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Opiliones|Laniatores|Grassatores|Gonyleptoidea|Gonyleptidae|Gonyleptinae|Acanthogonyleptes,
10,,Morphological,2902,2915,1.51,1,,,,Exact,8.91436,0,Morphological,Morphological,3009798,168,ION,,
11,,Plantae,15302,15309,2.58,1,,,,Exact,9.00960,0,Plantae,Plantae,P,1,Catalogue of Life,Biota|Plantae,
