Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,F. sylvatica,9072,9085,7.37,2,,,,NoMatch,0.0,,,,,,,,
1,,Fagus crenata,5952,5965,12.01,2,,,,Exact,9.01315,0,Fagus crenata Blume,Fagus crenata,6HNYV,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Fagus|Fagus crenata,
2,,Fagus sylvatica,115,132,11.85,2,,,,Exact,9.01315,0,Fagus sylvatica L.,Fagus sylvatica,3DSK5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Fagus|Fagus sylvatica,
3,,Fraxinus excelsior,5778,5796,7.99,2,,,,Exact,9.01315,0,Fraxinus excelsior L.,Fraxinus excelsior,6JMBM,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Fraxinus|Fraxinus excelsior,
4,,Garrulus glandarius,10630,10651,12.59,2,,,,Exact,9.01315,0,"Garrulus glandarius (Linnaeus, 1758)",Garrulus glandarius,6JYHZ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Corvidae|Garrulus|Garrulus glandarius,
5,,P. sitchensis,8853,8867,6.40,2,,,,NoMatch,0.0,,,,,,,,
6,,Picea sitchensis,7344,7360,10.27,2,,,,Exact,9.01315,0,Picea sitchensis (Bong.) Carrière,Picea sitchensis,4HQ4Z,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Picea|Picea sitchensis,
7,,Prunus avium,6983,6996,7.52,2,,,,Exact,9.01315,0,Prunus avium (L.) L.,Prunus avium,4N8P4,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Amygdaloideae|Prunus|Prunus avium,
8,,Q. petraea,26855,26865,6.00,2,,,,NoMatch,0.0,,,,,,,,
9,,Q. robur,26932,26940,4.01,2,,,,NoMatch,0.0,,,,,,,,
10,,Quercus petraea,5830,5845,10.32,2,,,,Exact,9.01315,0,Quercus petraea (Matt.) Liebl.,Quercus petraea,4R5SK,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Quercus|Quercus petraea,
11,,Quercus robur,5852,5865,8.32,2,,,,Exact,9.01315,0,Quercus robur L.,Quercus robur,4R5YN,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Quercus|Quercus robur,
