Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Arbacia,5230,5239,4.27,1,,,,Exact,9.01315,0,"Arbacia Gray, 1835",Arbacia,7NPJF,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Arbacioida|Arbaciidae|Arbacia,
1,,Armigera,36653,36662,5.16,1,,,,Exact,8.98202,0,"Armigera Marples, 1956",Armigera,urn:lsid:irmng.org:taxname:1404576,181,IRMNG,Biota|Animalia|Arthropoda|Chelicerata|Arachnida|Araneae|Theridiidae|Pholcomma,
2,,Diadema,6487,6494,4.61,1,,,,Exact,9.01315,0,"Diadema Gray, 1825",Diadema,7NW5M,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Acroechinoidea|Diadematoida|Diadematidae|Diadema,
3,,E. mathaei,23185,23195,4.11,2,,,,NoMatch,0.0,,,,,,,,
4,,Echinoidea,543,554,4.36,1,,,,Exact,9.00960,0,Echinoidea,Echinoidea,622CV,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea,
5,,Echinometra,5046,5059,4.95,1,,,,Exact,9.01315,0,"Echinometra Gray, 1825",Echinometra,7NXZ7,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Echinometridae|Echinometra,
6,,Echinometra mathaei,15410,15429,9.46,2,,,,Exact,9.01315,0,"Echinometra mathaei (Blainville, 1825)",Echinometra mathaei,38JGH,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Echinometridae|Echinometra|Echinometra mathaei,
7,,H. erythrogramma,7135,7151,6.00,2,,,,NoMatch,0.0,,,,,,,,
8,,H. erythrogramma may,1726,1746,3.21,3,,,,NoMatch,0.0,,,,,,,,
9,,H. tuberculata,7343,7357,8.12,2,,,,NoMatch,0.0,,,,,,,,
10,,Heliocidaris,5118,5131,3.71,1,,,,Exact,9.01315,0,"Heliocidaris L. Agassiz & Desor, 1846",Heliocidaris,7PJP7,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Echinometridae|Heliocidaris,
11,,Heliocidaris erythrogramma,933,959,10.11,2,,,,Exact,9.01315,0,"Heliocidaris erythrogramma (Valenciennes, 1846)",Heliocidaris erythrogramma,6LLJB,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Echinometridae|Heliocidaris|Heliocidaris erythrogramma,
12,,Heliocidaris tuberculata,11541,11565,12.23,2,,,,Exact,9.01315,0,"Heliocidaris tuberculata (Lamarck, 1816)",Heliocidaris tuberculata,6LKZB,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Echinometridae|Heliocidaris|Heliocidaris tuberculata,
13,,Lytechinus,5297,5308,5.67,1,,,,Exact,9.01315,0,"Lytechinus A. Agassiz, 1863",Lytechinus,7PCZF,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Toxopneustidae|Lytechinus,
14,,Peron,10325,10330,2.99,1,,,,NoMatch,0.0,,,,,,,,
15,,Serra,6221,6226,2.95,1,,,,Exact,9.01183,0,Serra do Navio mammarenavirus ,Serra,4WWRQ,1,Catalogue of Life,Biota||Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|Arenaviridae||,
16,,Strongylocentrotus,5083,5102,5.60,1,,,,Exact,9.01315,0,"Strongylocentrotus Brandt, 1835",Strongylocentrotus,7Q364,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Strongylocentrotidae|Strongylocentrotus,
17,,Tripneustes,5258,5270,2.93,1,,,,Exact,9.01315,0,"Tripneustes L. Agassiz, 1841",Tripneustes,7Q58H,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Echinoidea|Euechinoidea|Carinacea|Echinacea|Camarodonta|Echinidea|Odontophora|Toxopneustidae|Tripneustes,
