Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Anomalopus verreauxii,73728,73750,11.65,2,,,,Exact,9.01315,0,"Anomalopus verreauxii Duméril, 1851",Anomalopus verreauxii,8GNYY,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Sphenomorphinae|Anomalopus|Anomalopus verreauxii,
1,,Calyptotis scutirostrum,73751,73777,12.27,2,,,,Exact,9.01315,0,"Calyptotis scutirostrum (Peters, 1874)",Calyptotis scutirostrum,Q73D,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Sphenomorphinae|Calyptotis|Calyptotis scutirostrum,
2,,Coeranoscincus frontalis,73778,73803,12.78,2,,,,Exact,9.01315,0,"Coeranoscincus frontalis (De Vis, 1888)",Coeranoscincus frontalis,WVPK,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Sphenomorphinae|Coeranoscincus|Coeranoscincus frontalis,
3,,Coggeria naufragus,73804,73825,10.60,2,,,,Exact,9.01315,0,"Coggeria naufragus Couper, Covacevich, Marsterson & Shea, 1996",Coggeria naufragus,WW93,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Sphenomorphinae|Coggeria|Coggeria naufragus,
4,,Ctenotus,4283,4292,4.98,1,,,,Exact,9.00960,0,Ctenotus,Ctenotus,3X4H,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Sphenomorphinae|Ctenotus,
5,,Ctenotus taeniolatus,73826,73847,13.32,2,,,,Exact,9.01315,0,"Ctenotus taeniolatus (White, 1790)",Ctenotus taeniolatus,327NP,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Sphenomorphinae|Ctenotus|Ctenotus taeniolatus,
6,,Dasia grisea,34652,34664,8.64,2,,,,Exact,9.01315,0,"Dasia grisea (Gray, 1845)",Dasia grisea,346GB,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Mabuyinae|Dasia|Dasia grisea,
7,,Emoia,67552,67558,2.77,1,,,,Exact,9.00960,0,Emoia,Emoia,62RV2,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Eugongylinae|Emoia,
8,,Emoia atrocostata,35687,35704,11.29,2,,,,Exact,9.01315,0,"Emoia atrocostata (Lesson, 1830)",Emoia atrocostata,39HB2,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Eugongylinae|Emoia|Emoia atrocostata,
9,,Emoia caeruleocauda,38178,38197,9.31,2,,,,Exact,9.01315,0,"Emoia caeruleocauda (De Vis, 1892)",Emoia caeruleocauda,6F758,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Eugongylinae|Emoia|Emoia caeruleocauda,
