Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Actinopterygii,20383,20398,2.56,1,,,,Exact,9.00960,0,Actinopterygii,Actinopterygii,CT,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii,
1,,Aepyornis,18669,18678,4.90,1,,,,Exact,8.98392,0,"Aepyornis Geoffroy, 1850",Aepyornis,urn:lsid:irmng.org:taxname:1204040,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Aves|Aepyornithiformes|Aepyornithidae|Aepyornis,
2,,Alytes,32683,32689,2.14,1,,,,Exact,9.01315,0,"Alytes Wagler, 1830",Alytes,T5J,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Alytidae|Alytes,
3,,Anura,20404,20410,4.27,1,,,,Exact,9.01138,0,"Anura Nicolet, 1847",Anura,PY,1,Catalogue of Life,Biota|Animalia|Arthropoda|Collembola|Poduromorpha|Neanuroidea|Neanuridae|Morulininae|Morulina,
4,,Aplocheilidae,26939,26952,5.10,1,,,,Exact,9.00960,0,Aplocheilidae,Aplocheilidae,6KP,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Cyprinodontiformes|Aplocheilidae,
5,,Archosauria,20417,20429,4.40,1,,,,Exact,8.98012,0,Archosauria,Archosauria,7071,2,Wikispecies,,
6,,Bedotiidae,26921,26931,4.76,1,,,,Exact,9.00960,0,Bedotiidae,Bedotiidae,75D,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Atheriniformes|Bedotiidae,
7,,Blaesodactylus,27566,27580,5.88,1,,,,Exact,9.00960,0,Blaesodactylus,Blaesodactylus,62G4G,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Gekkonidae|Blaesodactylus,
8,,Blommersia,32720,32730,3.61,1,,,,Exact,9.01315,0,"Blommersia Dubois, 1992",Blommersia,62HP2,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Mantellidae|Mantellinae|Blommersia,
9,,Boidae,27274,27280,4.11,1,,,,Exact,9.00960,0,Boidae,Boidae,79Q,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Booidea|Boidae,
10,,Boophis,32760,32767,1.88,1,,,,Exact,9.01315,0,"Boophis Tschudi, 1838",Boophis,3BFV,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Mantellidae|Boophinae|Boophis,
11,,Calabaria,23285,23294,4.88,1,,,,Exact,9.00960,0,Calabaria,Calabaria,62J3H,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Booidea|Boidae|Calabaria,
12,,Calyptocephalella,32821,32838,5.86,1,,,,Exact,9.01315,0,"Calyptocephalella Strand, 1928",Calyptocephalella,3G6Q,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Calyptocephalellidae|Calyptocephalella,
