Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Carnivora,6263,6273,5.56,1,,,,Exact,0,"Carnivora Bowdich, 1821",Carnivora,VS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora,
1,,Cetartiodactyla,6209,6225,4.75,1,,,,Exact,0,"Cetartiodactyla Montgelard, Catzeflis & Douzery, 1997",Cetartiodactyla,urn:lsid:marinespecies.org:taxname:370511,9,WoRMS,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Cetartiodactyla,
2,,Chiroptera,10299,10309,4.97,1,,,,Exact,0,"Chiroptera Blumenbach, 1779",Chiroptera,XC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Chiroptera,
3,,Lagomorpha,10393,10403,4.42,1,,,,Exact,0,"Lagomorpha Brandt, 1855",Lagomorpha,3F2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Lagomorpha,
4,,Marsupialia,10249,10260,5.19,1,,,,Exact,0,"Marsupialia Illiger, 1811",Marsupialia,LQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria,
5,,Perissodactyla,10334,10348,4.24,1,,,,Exact,0,"Perissodactyla Owen, 1848",Perissodactyla,623DW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Perissodactyla,
6,,Pholidota,10324,10333,4.95,1,,,,Exact,0,"Pholidota Weber, 1904",Pholidota,623DY,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Pholidota,
7,,Pricea,84,95,3.76,1,,,,Exact,0,"Pricea Chauhan, 1945",Pricea,7PV34,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Monogenea|Polyopisthocotylea|Mazocraeidea|Thoracocotylidae|Pricea,
8,,Primates,10369,10377,2.42,1,,,,Exact,0,"Primates Linnaeus, 1758",Primates,3W7,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates,
9,,Rodentia,10404,10412,3.66,1,,,,Exact,0,"Rodentia Bowdich, 1821",Rodentia,3Z5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia,
10,,Scandentia,10382,10392,4.59,1,,,,Exact,0,"Scandentia Wagner, 1855",Scandentia,426,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Scandentia,
