Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Amphipoda,36580,36590,4.13,1,,,,Exact,0,Amphipoda,Amphipoda,MP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda,
1,,Annelida,23846,23854,3.99,1,,,,Exact,0,Annelida,Annelida,NN,1,Catalogue of Life,Biota|Animalia|Annelida,
2,,Arachnida,31185,31194,3.88,1,,,,Exact,0,Arachnida,Arachnida,RC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida,
3,,Arthropoda,8937,8948,4.05,1,,,,Exact,0,Arthropoda,Arthropoda,RT,1,Catalogue of Life,Biota|Animalia|Arthropoda,
4,,Becker,17778,17784,1.16,1,,,,Exact,0,"Becker 1905 Schoettellodes Becker, 1905 Schoettellodes Becker, 1905",Becker,62F2M,1,Catalogue of Life,Biota|Animalia|Arthropoda|Collembola|Poduromorpha|Neanuroidea|Brachystomellidae|Brachystomella,
5,,Blattaria,31195,31204,4.88,1,,,,Exact,0,Blattaria Mill.,Blattaria,4H2,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Scrophulariaceae|Scrophularioideae|Verbascum,
6,,Clitellata,35996,36006,4.08,1,,,,Exact,0,Clitellata,Clitellata,9H,1,Catalogue of Life,Biota|Animalia|Annelida|Clitellata,
7,,Coleoptera,31153,31163,4.97,1,,,,Exact,0,Coleoptera,Coleoptera,C2L,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Coleoptera,
8,,Collembola,36539,36549,4.55,1,,,,Exact,0,"Collembola Lubbock, 1870",Collembola,9P,1,Catalogue of Life,Biota|Animalia|Arthropoda|Collembola,
9,,Diptera,31133,31140,4.96,1,,,,Exact,0,Diptera Borkh.,Diptera,5T8Z6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Saxifraga,
10,,Eukaryota,26133,26143,4.38,1,,,,Exact,0,Eukaryota,Eukaryota,3673,2,Wikispecies,,
11,,Hemiptera,26267,26276,5.60,1,,,,Exact,0,Hemiptera,Hemiptera,HP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera,
12,,Hexapoda,26165,26174,3.68,1,,,,Exact,0,"Hexapoda Latreille, 1825",Hexapoda,urn:lsid:irmng.org:taxname:11905095,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda,
13,,Homo sapiens,23714,23727,8.29,2,,,,Exact,0,"Homo sapiens Linnaeus, 1758",Homo sapiens,6MB3T,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Homo|Homo sapiens,
14,,Hymenoptera,26194,26205,5.67,1,,,,Exact,0,Hymenoptera,Hymenoptera,HYM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hymenoptera,
15,,Insecta,8964,8971,4.02,1,,,,Exact,0,Insecta,Insecta,H6,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta,
16,,Lepidoptera,31121,31132,5.11,1,,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera,
17,,Metazoa,26144,26152,1.64,1,,,,Exact,0,Metazoa,Metazoa,urn:lsid:marinespecies.org:taxname:1486573,9,WoRMS,Biota|Animalia,
18,,Neoptera,26184,26193,5.16,1,,,,Exact,0,"Neoptera Van der Wulp, 1890",Neoptera,urn:lsid:irmng.org:taxname:1379252,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Diptera|Tachinidae|Neoptera,
19,,Odonata,31242,31249,3.51,1,,,,Exact,0,Odonata,Odonata,3P7,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Odonata,
20,,Onychophora,24443,24454,5.64,1,,,,Exact,0,Onychophora,Onychophora,5J,1,Catalogue of Life,Biota|Animalia|Onychophora,
21,,Otus,15135,15140,4.06,1,,,,Exact,0,"Otus Pennant, 1769",Otus,63HPD,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Strigiformes|Strigidae|Striginae|Otus,
22,,Protura,40741,40749,4.08,1,,,,Exact,0,"Protura Silvestri, 1907",Protura,3WW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Protura|Protura,
23,,Psocoptera,31174,31184,4.97,1,,,,Exact,0,"Psocoptera Shipley, 1904",Psocoptera,8MP8S,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea,
24,,Spumella,6894,6903,4.86,1,,,,Exact,0,"Spumella Cienkowsky, 1870",Spumella,7Q2P4,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Chrysophyceae|Chromulinales|Chromulinaceae|Spumella,
25,,Trichoptera,10769,10780,5.67,1,,,,Exact,0,Trichoptera,Trichoptera,TR2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Trichoptera,
