Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Alnus acuminata,10713,10729,12.98,2,,,,Exact,0,Alnus acuminata Kunth,Alnus acuminata,C2NC,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Alnus|Alnus acuminata,
1,,Ascomycota,1163,1174,4.31,1,,,,Exact,0,Ascomycota,Ascomycota,SM,1,Catalogue of Life,Biota|Fungi|Ascomycota,
2,,Athelia arachnoidea,6637,6656,10.57,2,,,,Exact,0,Athelia arachnoidea (Berk.) Jülich,Athelia arachnoidea,J9WG,1,Catalogue of Life,Biota|Fungi|Basidiomycota|Agaricomycetes|Atheliales|Atheliaceae|Athelia|Athelia arachnoidea,
3,,Basidiomycota,973,986,4.65,1,,,,Exact,0,Basidiomycota,Basidiomycota,BM,1,Catalogue of Life,Biota|Fungi|Basidiomycota,
4,,Buellia,23737,23745,5.04,1,,,,Exact,0,Buellia,Buellia,62GTM,1,Catalogue of Life,Biota|Fungi|Ascomycota|Lecanoromycetes|Caliciales|Caliciaceae|Buellia,
5,,Coriscium-type thalli,16961,16982,4.01,2,,,,NoMatch,,,,,,,,
6,,Cryptococcus,28141,28153,4.84,1,,,,Exact,0,Cryptococcus,Cryptococcus,8MQMN,1,Catalogue of Life,Biota|Fungi|Basidiomycota|Tremellomycetes|Tremellales|Tremellaceae|Cryptococcus,
7,,Diversa,24350,24357,2.28,1,,,,Exact,0,Gongora subsect. Diversa R.Rice,Diversa,70028910-1,167,IPNI,,
8,,Hedwigia,27178,27186,3.74,1,,,,Exact,0,Hedwigia Sw.,Hedwigia,7MZQP,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Sapindales|Burseraceae|Tetragastris,
9,,Kuma,26512,26516,3.20,1,,,,Exact,0,"Kuma Marcus, 1950",Kuma,7P7XT,1,Catalogue of Life,Biota|Animalia|Xenacoelomorpha|Acoelomorpha|Acoela|Bursalia|Crucimusculata|Proporidae|Kuma,
10,,L. akagerae,15842,15853,6.20,2,,,,NoMatch,,,,,,,,
11,,L. calocerum,1982,1994,7.17,2,,,,NoMatch,,,,,,,,
12,,L. rugaramae,9609,9622,5.36,2,,,,NoMatch,,,,,,,,
13,,L. vilgalysii,15430,15443,6.95,2,,,,NoMatch,,,,,,,,
14,,Lepidostroma,805,817,5.84,1,,,,Exact,0,Lepidostroma,Lepidostroma,638WF,1,Catalogue of Life,Biota|Fungi|Basidiomycota|Agaricomycetes|Lepidostromatales|Lepidostromataceae|Lepidostroma,
15,,Lepidostroma akagerae,18166,18187,12.44,2,,,,Exact,0,"Lepidostroma akagerae (Eb. Fisch., Ertz, Killmann & Sérus.) Ertz, Eb. Fisch., Killmann, Sérus. & Lawrey",Lepidostroma akagerae,3TDRM,1,Catalogue of Life,Biota|Fungi|Basidiomycota|Agaricomycetes|Lepidostromatales|Lepidostromataceae|Ertzia|Ertzia akagerae,
16,,Lepidostroma calocerum,19174,19196,13.41,2,,,,Exact,0,Lepidostroma calocerum (G.W. Martin) Oberw.,Lepidostroma calocerum,3TDRQ,1,Catalogue of Life,Biota|Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Cantharellaceae|Multiclavula|Multiclavula calocera,
