Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. fusca,64227,64235,5.12,2,,,,NoMatch,,,,,,,,
1,,A. haroldi,63777,63788,5.53,2,,,,NoMatch,,,,,,,,
2,,A. parapulchella,64687,64706,7.30,2,,,,NoMatch,,,,,,,,
3,,A. pulchella,64888,64900,7.06,2,,,,NoMatch,,,,,,,,
4,,A. repens,64477,64486,5.82,2,,,,NoMatch,,,,,,,,
5,,A. repens superspecies,64562,64584,9.57,3,,,,NoMatch,,,,,,,,
6,,A. rostrata,8992,9004,7.71,2,,,,NoMatch,,,,,,,,
7,,A. smithi,64491,64501,5.49,2,,,,NoMatch,,,,,,,,
8,,A. striolata,48176,48188,7.85,2,,,,NoMatch,,,,,,,,
9,,Aclys,6921,6929,2.47,1,,,,Exact,0,"Aclys Kluge, 1974",Aclys,urn:lsid:irmng.org:taxname:1360462,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Reptilia|Squamata|Pygopodidae|Aclys,
10,,Aclys concinna,9095,9109,8.63,2,,,,Exact,0,"Aclys concinna Kluge, 1974",Aclys concinna,9D9Y,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Delma|Delma concinna,
11,,Agamidae,4655,4664,4.39,1,,,,Exact,0,Agamidae,Agamidae,64B,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Agamidae,
12,,Aprasia,1424,1433,3.04,1,,,,Exact,0,Aprasia,Aprasia,62CNT,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia,
13,,Aprasia aurita,11387,11401,9.25,2,,,,Exact,0,"Aprasia aurita Kluge, 1974",Aprasia aurita,FWM6,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia aurita,
14,,Aprasia fusca,11402,11415,8.56,2,,,,Exact,0,"Aprasia fusca Storr, 1979",Aprasia fusca,818126,3,ITIS,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia fusca,
15,,Aprasia haroldi,8975,8991,8.96,2,,,,Exact,0,"Aprasia haroldi Storr, 1978",Aprasia haroldi,67R2L,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia haroldi,
16,,Aprasia inaurita,11416,11432,9.68,2,,,,Exact,0,"Aprasia inaurita Kluge, 1974",Aprasia inaurita,FWMB,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia inaurita,
17,,Aprasia parapulchella,11433,11454,10.74,2,,,,Exact,0,"Aprasia parapulchella Kluge, 1974",Aprasia parapulchella,682QL,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia parapulchella,
18,,Aprasia picturata,11455,11472,11.29,2,,,,Exact,0,"Aprasia picturata Smith & Henry, 1999",Aprasia picturata,FWMF,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia picturata,
19,,Aprasia pseudopulchella,11473,11496,10.87,2,,,,Exact,0,"Aprasia pseudopulchella Kluge, 1974",Aprasia pseudopulchella,FWMG,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia pseudopulchella,
20,,Aprasia pulchella,11497,11514,10.50,2,,,,Exact,0,"Aprasia pulchella Gray, 1839",Aprasia pulchella,FWMH,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia pulchella,
21,,Aprasia repens,11515,11529,9.25,2,,,,Exact,0,"Aprasia repens (Fry, 1914)",Aprasia repens,FWMJ,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia repens,
22,,Aprasia smithi,11530,11544,8.93,2,,,,Exact,0,"Aprasia smithi Storr, 1970",Aprasia smithi,FWML,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia smithi,
23,,Aprasia striolata,11545,11562,11.29,2,,,,Exact,0,"Aprasia striolata Lütken, 1863",Aprasia striolata,FWMM,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Gekkota|Pygopodidae|Aprasia|Aprasia striolata,
24,,Bullara,10519,10526,4.03,1,,,,Exact,0,"Bullara H. Griffits & J.M.H. Shaw, 2007",Bullara,urn:lsid:irmng.org:taxname:11905916,181,IRMNG,Biota|Plantae|Tracheophyta|Spermatophytina|Angiospermae|Magnoliopsida|Asparagales|Orchidaceae|Bullara,
25,,D. australis,59515,59527,7.55,2,,,,NoMatch,,,,,,,,
26,,D. borea,60103,60112,5.56,2,,,,NoMatch,,,,,,,,
27,,D. butleri,46560,46570,7.00,2,,,,NoMatch,,,,,,,,
28,,D. concinna,29921,29933,5.76,2,,,,NoMatch,,,,,,,,
29,,D. elegans,59276,59286,5.27,2,,,,NoMatch,,,,,,,,
