Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Biston,3737,3743,1.36,1,,,,Exact,9.00960,0,Biston,Biston,62FP2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Geometroidea|Geometridae|Biston,
1,,Biston betularia,5840,5856,8.52,2,,,,Exact,9.01315,0,"Biston betularia Linnaeus, 1758",Biston betularia,LX46,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Geometroidea|Geometridae|Biston|Biston betularia,
2,,Cyanistes caeruleus,15620,15642,10.13,2,,,,Exact,9.01315,0,"Cyanistes caeruleus (Linnaeus, 1758)",Cyanistes caeruleus,32NH2,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Paridae|Cyanistes|Cyanistes caeruleus,
3,,Dendrocopus minor,15805,15825,7.01,2,,,,Exact,8.98012,0,Dendrocopus minor,Dendrocopus minor,259047,183,Sherborn Index Animalium,,
4,,Erithacus rubecula,15525,15546,11.28,2,,,,Exact,9.01315,0,"Erithacus rubecula (Linnaeus, 1758)",Erithacus rubecula,6H2XM,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Erithacus|Erithacus rubecula,
5,,Insularia,2110,2119,4.88,1,,,,Exact,8.98392,0,"Insularia Tapparone-Canefri, 1883",Insularia,urn:lsid:irmng.org:taxname:1421257,181,IRMNG,Biota|Animalia|Mollusca|Mollusca|Mollusca|Mollusca|Insularia,
6,,Majerus,144,151,5.19,1,,,,Exact,8.98202,0,"Majerus Wittmer, 1995",Majerus,urn:lsid:irmng.org:taxname:1393474,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Melyridae|Ebaeus,
7,,Parus major,15595,15609,5.99,2,,,,Exact,9.01315,0,"Parus major Linnaeus, 1758",Parus major,75SVV,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|Parus major,
8,,Pica pica,15761,15772,6.72,2,,,,Exact,9.01315,0,"Pica pica (Linnaeus, 1758)",Pica pica,4HPXM,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Corvidae|Pica|Pica pica,
9,,Prunella modularis,15562,15583,12.15,2,,,,Exact,9.01315,0,"Prunella modularis (Linnaeus, 1758)",Prunella modularis,4N8CC,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Prunellidae|Prunella|Prunella modularis,
10,,Sturnus vulgaris,15690,15710,12.54,2,,,,Exact,9.01315,0,"Sturnus vulgaris Linnaeus, 1758",Sturnus vulgaris,5384V,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Sturnidae|Sturnus|Sturnus vulgaris,
11,,Troglodytes troglodytes,15726,15752,8.41,2,,,,Exact,9.01315,0,"Troglodytes troglodytes (Linnaeus, 1758)",Troglodytes troglodytes,598TT,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Troglodytes|Troglodytes troglodytes,
12,,Turdus merula,15663,15679,10.35,2,,,,Exact,9.01315,0,"Turdus merula Linnaeus, 1758",Turdus merula,7CYVX,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|Turdus merula,
