Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Carlia rubrigularis,30971,30990,12.66,2,,,,Exact,9.01315,0,"Carlia rubrigularis Ingram & Covacevich, 1989",Carlia rubrigularis,69C28,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Eugongylinae|Carlia|Carlia rubrigularis,
1,,Gallus,11655,11661,4.88,1,,,,Exact,9.01315,0,"Gallus Brisson, 1760",Gallus,4LYQ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Galliformes|Phasianidae|Phasianinae|Gallus,
2,,L. coggeri,31123,31134,7.00,2,,,,NoMatch,0.0,,,,,,,,
3,,L. dayi,10451,10458,4.55,2,,,,NoMatch,0.0,,,,,,,,
4,,L. jungguy,9869,9880,4.11,2,,,,NoMatch,0.0,,,,,,,,
5,,L. lesueuri,9741,9752,5.52,2,,,,NoMatch,0.0,,,,,,,,
6,,L. nannotis,10412,10425,6.56,2,,,,NoMatch,0.0,,,,,,,,
7,,L. rheocola,10426,10438,6.83,2,,,,NoMatch,0.0,,,,,,,,
8,,L. serrata,10439,10450,7.54,2,,,,NoMatch,0.0,,,,,,,,
9,,Lampropholis coggeri,30997,31017,13.02,2,,,,Exact,9.01315,0,"Lampropholis coggeri Ingram, 1991",Lampropholis coggeri,3S4XL,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Eugongylinae|Lampropholis|Lampropholis coggeri,
10,,Litoria,3241,3249,4.24,1,,,,Exact,9.01315,0,"Litoria Tschudi, 1838",Litoria,5FRY,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pelodryadidae|Litoriinae|Litoria,
11,,Litoria dayi,8829,8843,9.19,2,,,,Exact,9.01138,0,"Litoria dayi (Günther, 1897)",Litoria dayi,3VMJY,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pelodryadidae|Pelodryadinae|Ranoidea|Ranoidea dayi,
12,,Litoria genimaculata,36315,36336,12.61,2,,,,Exact,9.01138,0,"Litoria genimaculata (Horst, 1883)",Litoria genimaculata,3VMKQ,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pelodryadidae|Pelodryadinae|Ranoidea|Ranoidea genimaculata,
13,,Litoria jungguy,9139,9155,8.75,2,,,,Exact,9.01138,0,"Litoria jungguy Donnellan & Mahony, 2004",Litoria jungguy,3VMLG,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pelodryadidae|Pelodryadinae|Ranoidea|Ranoidea jungguy,
14,,Litoria nannotis,8914,8932,11.21,2,,,,Exact,9.01138,0,"Litoria nannotis (Andersson, 1916)",Litoria nannotis,3VMMM,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pelodryadidae|Pelodryadinae|Ranoidea|Ranoidea nannotis,
15,,Litoria rheocola,8808,8824,11.47,2,,,,Exact,9.01138,0,"Litoria rheocola Liem, 1974",Litoria rheocola,3VMNZ,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pelodryadidae|Pelodryadinae|Ranoidea|Ranoidea rheocola,
16,,Litoria serrata,8791,8807,12.18,2,,,,Exact,9.01138,0,"Litoria serrata (Andersson, 1916)",Litoria serrata,6QL2W,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pelodryadidae|Pelodryadinae|Ranoidea|Ranoidea serrata,
17,,Saproscincus basiliscus,31027,31050,12.44,2,,,,Exact,9.01315,0,"Saproscincus basiliscus (Ingram & Rawlinson, 1981)",Saproscincus basiliscus,6XKTH,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Scincidae|Eugongylinae|Saproscincus|Saproscincus basiliscus,
18,,Xenopus,11666,11673,4.76,1,,,,Exact,9.01315,0,"Xenopus Wagler, 1827",Xenopus,88X8,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pipidae|Xenopus,
