Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. trichotis,21144,21156,6.70,2,,,,NoMatch,,,,,,,,
1,,Allocebus,8860,8871,5.21,1,,,,Exact,0,"Allocebus Petter-Rousseaux & Petter, 1967",Allocebus,S7B,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Allocebus,
2,,Allocebus trichotis,17375,17394,12.31,2,,,,Exact,0,"Allocebus trichotis (Günther, 1875)",Allocebus trichotis,BVDB,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Allocebus|Allocebus trichotis,
3,,Cheirogaleidae,1535,1550,5.11,1,,,,Exact,0,"Cheirogaleidae Gray, 1873",Cheirogaleidae,834,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae,
4,,Cheirogaleus medius,18248,18267,11.48,2,,,,Exact,0,"Cheirogaleus medius É. Geoffroy Saint-Hilaire, 1812",Cheirogaleus medius,5XRNX,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Cheirogaleus|Cheirogaleus medius,
5,,Corresponding majority-rule consensus,51230,51267,,3,,,,NoMatch,,,,,,,,
6,,Indriidae,12499,12509,4.83,1,,,,Exact,0,"Indriidae Burnett, 1828",Indriidae,6257D,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Indriidae,
7,,Lepilemur,13406,13416,3.48,1,,,,Exact,0,"Lepilemur I. Geoffroy Saint-Hilaire, 1851",Lepilemur,62X8H,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Lepilemuridae|Lepilemur,
8,,Lepilemur ruficaudatus,12519,12541,11.67,2,,,,Exact,0,"Lepilemur ruficaudatus Grandidier, 1867",Lepilemur ruficaudatus,6PBRY,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Lepilemuridae|Lepilemur|Lepilemur ruficaudatus,
9,,Lepilemuridae,12550,12565,5.10,1,,,,Exact,0,"Lepilemuridae Gray, 1870",Lepilemuridae,BWW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Lepilemuridae,
10,,M. berthae,13497,13508,5.53,2,,,,NoMatch,,,,,,,,
11,,M. griseorufus,37646,37661,4.68,2,,,,NoMatch,,,,,,,,
12,,M. lehilahytsara,46180,46197,6.08,2,,,,NoMatch,,,,,,,,
13,,M. mittermeieri,46198,46214,7.43,2,,,,NoMatch,,,,,,,,
14,,M. murinus,13519,13529,6.88,2,,,,NoMatch,,,,,,,,
15,,M. myoxinus,46215,46227,7.06,2,,,,NoMatch,,,,,,,,
16,,M. ravelobensis,13545,13560,6.43,2,,,,NoMatch,,,,,,,,
17,,M. ravelobensis data,56033,56053,7.63,3,,,,NoMatch,,,,,,,,
18,,M. ravelobensis gene,42227,42247,5.46,3,,,,NoMatch,,,,,,,,
19,,M. rufus,46228,46237,3.37,2,,,,NoMatch,,,,,,,,
20,,M. sambiranensis,46238,46255,6.55,2,,,,NoMatch,,,,,,,,
21,,M. simmonsi,17150,17162,5.76,2,,,,NoMatch,,,,,,,,
22,,M. tavaratra,17167,17180,5.90,2,,,,NoMatch,,,,,,,,
23,,Marojejy,18762,18770,2.40,1,,,,Exact,0,"Marojejy Cumberlidge, Boyko & Harvey, 2002",Marojejy,7PNHR,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Potamoidea|Potamonautidae|Hydrothelphusinae|Marojejy,
24,,Microcebus,1572,1583,5.14,1,,,,Exact,0,"Microcebus É. Geoffroy Saint-Hilaire, 1834",Microcebus,63B2M,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus,
25,,Microcebus berthae,17870,17888,11.06,2,,,,Exact,0,"Microcebus berthae Rasoloarison, Goodman & Ganzhorn, 2000",Microcebus berthae,42SBF,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus|Microcebus berthae,
26,,Microcebus data set,54560,54579,5.17,3,,,,PartialExact,0,"Microcebus É. Geoffroy Saint-Hilaire, 1834",Microcebus,63B2M,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus,
27,,Microcebus gene,25233,25248,5.34,2,,,,PartialExact,0,"Microcebus É. Geoffroy Saint-Hilaire, 1834",Microcebus,63B2M,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus,
28,,Microcebus griseorufus,17889,17911,10.22,2,,,,Exact,0,"Microcebus griseorufus Kollman, 1910",Microcebus griseorufus,42SBN,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus|Microcebus griseorufus,
29,,Microcebus lehilahytsara,17912,17936,11.61,2,,,,Exact,0,"Microcebus lehilahytsara Roos & Kappeler in Kappeler, Rasoloarison, Razafimanantsoa, Walter & Roos, 2005",Microcebus lehilahytsara,42SBQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus|Microcebus lehilahytsara,
30,,Microcebus mittermeieri,17937,17960,12.96,2,,,,Exact,0,"Microcebus mittermeieri Louis Jr., Coles, Andriantompohavana, Sommer, Engberg, Zaonarivelo, Mayor & Brenneman, 2006",Microcebus mittermeieri,42SBW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus|Microcebus mittermeieri,
31,,Microcebus murinus,11917,11935,12.42,2,,,,Exact,0,"Microcebus murinus (J. F. Miller, 1777)",Microcebus murinus,42SBX,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus|Microcebus murinus,
