Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Alligator mississippiensis,4540,4569,9.34,2,,,,Exact,0,"Alligator mississippiensis (Daudin, 1801)",Alligator mississippiensis,BTRB,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Crocodylia|Eusuchia|Alligatoridae|Alligator|Alligator mississippiensis,
1,,Anolis carolinensis,4927,4948,11.44,2,,,,Exact,0,"Anolis carolinensis Voigt, 1832",Anolis carolinensis,675MJ,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis carolinensis,
2,,Anolis carolinensis tuatara,13466,13493,11.32,3,,,,NoMatch,0,"Anolis carolinensis Voigt, 1832",Anolis carolinensis,675MJ,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis carolinensis,
3,,Chrysemys picta,4502,4520,10.56,2,,,,Exact,0,"Chrysemys picta (Schneider, 1783)",Chrysemys picta,5YKRV,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Testudines|Cryptodira|Testudinoidea|Emydidae|Chrysemys|Chrysemys picta,
4,,Crocodylus porosus,4590,4610,12.67,2,,,,Exact,0,"Crocodylus porosus Schneider, 1801",Crocodylus porosus,ZKNP,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Crocodylia|Eusuchia|Crocodylidae|Crocodylus|Crocodylus porosus,
5,,Gallus gallus,4853,4869,11.79,2,,,,Exact,0,"Gallus gallus (Linnaeus, 1758)",Gallus gallus,3F72J,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Galliformes|Phasianidae|Phasianinae|Gallus|Gallus gallus,
6,,Homo sapiens,4959,4973,8.29,2,,,,Exact,0,"Homo sapiens Linnaeus, 1758",Homo sapiens,6MB3T,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Homo|Homo sapiens,
7,,Pantherophis guttata,4417,4440,10.74,2,,,,Exact,0,"Pantherophis guttata Fitzinger, 1843",Pantherophis guttata,4CGYD,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Colubrinae|Pantherophis|Pantherophis guttatus,
8,,Pelomedusa subrufa,4465,4486,10.24,2,,,,Exact,0,"Pelomedusa subrufa (Bonnaterre, 1789)",Pelomedusa subrufa,76CSF,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Testudines|Pleurodira|Pelomedusoidea|Pelomedusidae|Pelomedusa|Pelomedusa subrufa,
9,,Sphenodon tuatara,4623,4642,4.87,2,,,,PartialExact,0,Sphenodon,Sphenodon,63SJ6,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Rhynchocephalia|Sphenodontida|Sphenodontidae|Sphenodon,
10,,Taeniopygia guttata,4882,4904,12.20,2,,,,Exact,0,"Taeniopygia guttata (Vieillot, 1817)",Taeniopygia guttata,54HRJ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Estrildidae|Taeniopygia|Taeniopygia guttata,
11,,Taeniopygia guttata chicken,13678,13705,11.40,3,,,,NoMatch,0,"Taeniopygia guttata (Vieillot, 1817)",Taeniopygia guttata,54HRJ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Estrildidae|Taeniopygia|Taeniopygia guttata,
