Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Dendroctonus ponderosae,868,892,12.68,2,,,,Exact,0,"Dendroctonus ponderosae Hopkins, 1902",Dendroctonus ponderosae,34Q2H,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Coleoptera|Curculionoidea|Curculionidae|Dendroctonus|Dendroctonus ponderosae,
1,,G. clavigera,5555,5567,6.88,2,,,,NoMatch,,,,,,,,
2,,Grosmannia,5649,5660,4.22,1,,,,Exact,0,Grosmannia,Grosmannia,636GD,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Ophiostomatales|Ophiostomataceae|Grosmannia,
3,,Grosmannia clavigera,5362,5382,11.50,2,,,,Exact,0,"Grosmannia clavigera (Rob.-Jeffr. & R.W. Davidson) Zipfel, Z.W. de Beer & M.J. Wingf.",Grosmannia clavigera,6L4JT,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Ophiostomatales|Ophiostomataceae|Grosmannia|Grosmannia clavigera,
4,,Janice,282,288,1.07,1,,,,Exact,0,"Janice Griffiths, 1973",Janice,7PLV4,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Amphipoda|Senticaudata|Corophiida|Corophiidira|Aoroidea|Aoridae|Janice,
5,,L. longiclavatum,5572,5588,7.58,2,,,,NoMatch,,,,,,,,
6,,Leptographium,45387,45400,5.68,1,,,,Exact,0,Leptographium,Leptographium,5D3P,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Ophiostomatales|Ophiostomataceae|Leptographium,
7,,Leptographium longiclavatum,5446,5473,13.67,2,,,,Exact,0,"Leptographium longiclavatum S.W. Lee, J.J. Kim & C. Breuil",Leptographium longiclavatum,3TQCR,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Ophiostomatales|Ophiostomataceae|Leptographium|Leptographium longiclavatum,
8,,O. montium,5667,5677,6.56,2,,,,NoMatch,,,,,,,,
9,,Ophiostoma,5737,5747,5.49,1,,,,Exact,0,Ophiostoma,Ophiostoma,68XK,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Ophiostomatales|Ophiostomataceae|Ophiostoma,
10,,Ophiostoma ips,15388,15402,3.86,2,,,,Exact,0,Ophiostoma ips (Rumbold) Nannf.,Ophiostoma ips,49ZTX,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Microascales|Ceratocystidaceae|Ceratocystis|Ceratocystis ips,
11,,Ophiostoma montium,5499,5517,12.45,2,,,,Exact,0,Ophiostoma montium (Rumbold) Arx,Ophiostoma montium,49ZV2,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Microascales|Ceratocystidaceae|Ceratocystis|Ceratocystis montium,
12,,Ophiostoma pulvinisporum,45023,45047,13.30,2,,,,Exact,0,Ophiostoma pulvinisporum X.D. Zhou & M.J. Wingf.,Ophiostoma pulvinisporum,49ZWL,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Ophiostomatales|Ophiostomataceae|Ophiostoma|Ophiostoma pulvinisporum,
13,,P. contorta,11319,11331,6.07,2,,,,NoMatch,,,,,,,,
14,,Patricia,53207,53215,4.47,1,,,,Exact,0,Patricia,Patricia,6JL5,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Patricia,
15,,Pinus banksiana,11334,11349,12.65,2,,,,Exact,0,Pinus banksiana Lamb.,Pinus banksiana,4J237,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pinus|Pinus banksiana,
16,,Pinus contorta,11219,11234,11.19,2,,,,Exact,0,Pinus contorta Douglas ex Loudon,Pinus contorta,4J24Y,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pinus|Pinus contorta,
17,,Tria,53008,53012,2.96,1,,,,Exact,0,Tria,Tria,4198721,168,ION,,
