Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Alphadon,2634,2643,2.22,1,,,,Exact,0,"Alphadon Simpson, 1927",Alphadon,urn:lsid:irmng.org:taxname:1294144,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Didelphimorphia|Didelphidae|Alphadon,
1,,Andinodelphys,3111,3124,5.09,1,,,,Exact,0,"Andinodelphys Marshall & de Muizon, 1988",Andinodelphys,urn:lsid:irmng.org:taxname:1033092,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Didelphimorphia|Didelphidae|Andinodelphys,
2,,Ausktribosphenos,48857,48873,4.75,1,,,,Exact,0,"Ausktribosphenos Rich, Vickers-Rich, Constantine, Flannery, Kool & van Klaveren, 1997",Ausktribosphenos,urn:lsid:irmng.org:taxname:1105992,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Ausktribosphenida|Ausktribosphenidae|Ausktribosphenos,
3,,Bathyergidae,7589,7601,5.12,1,,,,Exact,0,"Bathyergidae Waterhouse, 1841",Bathyergidae,745,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia|Hystricomorpha|Hystricognathi|Bathyergidae,
4,,Caenolestes,20334,20345,2.93,1,,,,Exact,0,"Caenolestes Thomas, 1895",Caenolestes,62JHW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Paucituberculata|Caenolestidae|Caenolestes,
5,,Caenolestes fuliginosus,8818,8841,10.65,2,,,,Exact,0,"Caenolestes fuliginosus (Tomes, 1863)",Caenolestes fuliginosus,5X4V9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Paucituberculata|Caenolestidae|Caenolestes|Caenolestes fuliginosus,
6,,Caenolestidae,8861,8875,5.10,1,,,,Exact,0,"Caenolestidae Trouessart, 1898",Caenolestidae,7J5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Paucituberculata|Caenolestidae,
7,,Caluromyinae,9131,9143,4.43,1,,,,Exact,0,"Caluromyinae Kirsch, 1977",Caluromyinae,J9L,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Caluromyinae,
8,,Caluromys,9200,9211,4.74,1,,,,Exact,0,"Caluromys J. A. Allen, 1900",Caluromys,3G2L,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Caluromyinae|Caluromys,
9,,Caluromys philander,9524,9543,4.75,2,,,,Exact,0,"Caluromys (Caluromys) philander (Linnaeus, 1758)",Caluromys philander,7RTG4,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Caluromyinae|Caluromys|Caluromys|Caluromys philander,
10,,Caluromysiops,9212,9226,5.15,1,,,,Exact,0,"Caluromysiops Sanborn, 1951",Caluromysiops,3G2M,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Caluromyinae|Caluromysiops,
11,,Carnivora,7553,7562,5.56,1,,,,Exact,0,"Carnivora Bowdich, 1821",Carnivora,VS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora,
12,,Cavioidea,7606,7615,4.43,1,,,,Exact,0,Cavioidea,Cavioidea,540485,2,Wikispecies,,
13,,Chironectes,1138,1151,2.93,1,,,,Exact,0,"Chironectes Illiger, 1811",Chironectes,3NCC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Chironectes,
14,,Chironectes minimus,9544,9563,5.87,2,,,,Exact,0,"Chironectes minimus (Zimmermann, 1780)",Chironectes minimus,5XT73,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Chironectes|Chironectes minimus,
15,,Didelphidae,202,214,4.91,1,,,,Exact,0,"Didelphidae Gray, 1821",Didelphidae,98X,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae,
16,,Didelphimorphia,2153,2169,5.60,1,,,,Exact,0,"Didelphimorphia Gill, 1872",Didelphimorphia,34Q,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia,
17,,Didelphinae,4332,4343,4.23,1,,,,Exact,0,"Didelphinae Gray, 1821",Didelphinae,JFQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae,
18,,Didelphis,1164,1174,2.52,1,,,,Exact,0,"Didelphis Linnaeus, 1758",Didelphis,455L,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Didelphis,
19,,Didelphis albiventris,9564,9585,10.37,2,,,,Exact,0,"Didelphis albiventris Lund, 1840",Didelphis albiventris,6D4X2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Didelphis|Didelphis albiventris,
20,,Didelphis marsupialis,9586,9607,10.74,2,,,,Exact,0,"Didelphis marsupialis Linnaeus, 1758",Didelphis marsupialis,35WKD,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Didelphis|Didelphis marsupialis,
21,,Didelphopsis,3160,3173,4.48,1,,,,Exact,0,"Didelphopsis Couto, 1952",Didelphopsis,urn:lsid:irmng.org:taxname:1099840,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Didelphimorphia|Didelphidae|Didelphopsis,
22,,Diprotodontia,8765,8780,4.37,1,,,,Exact,0,"Diprotodontia Owen, 1866",Diprotodontia,35B,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Diprotodontia,
23,,Glironia,9231,9241,3.85,1,,,,Exact,0,"Glironia Thomas, 1912",Glironia,634GQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Caluromyinae|Glironia,
24,,Gracilinanus,1246,1259,6.02,1,,,,Exact,0,"Gracilinanus Gardner & Creighton, 1989",Gracilinanus,4QJZ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Gracilinanus,
25,,Gracilinanus microtarsus,9904,9928,13.74,2,,,,Exact,0,"Gracilinanus microtarsus (Wagner, 1842)",Gracilinanus microtarsus,3H59J,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Gracilinanus|Gracilinanus microtarsus,
26,,Hyladelphys,4456,4468,4.90,1,,,,Exact,0,"Hyladelphys Voss, Lunde, & Simmons, 2001",Hyladelphys,4ZYS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Hyladelphys,
27,,Incadelphys,3098,3110,4.90,1,,,,Exact,0,"Incadelphys Marshall & de Muizon, 1988",Incadelphys,urn:lsid:irmng.org:taxname:1198953,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Didelphimorphia|Didelphidae|Incadelphys,
28,,Kokopellia,2622,2633,5.61,1,,,,Exact,0,"Kokopellia Cifelli, 1993",Kokopellia,urn:lsid:irmng.org:taxname:1045984,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Asiadelphia|Asiatheriidae|Kokopellia,
29,,Lestodelphys,4485,4499,5.11,1,,,,Exact,0,"Lestodelphys Tate, 1934",Lestodelphys,5DMS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Lestodelphys,
30,,Lutreolina,1152,1163,4.03,1,,,,Exact,0,"Lutreolina Thomas, 1910",Lutreolina,62XST,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Lutreolina,
31,,Lutreolina crassicaudata,9608,9632,12.52,2,,,,Exact,0,"Lutreolina crassicaudata (Desmarest, 1804)",Lutreolina crassicaudata,3WGK7,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Lutreolina|Lutreolina crassicaudata,
32,,M. robinsoni,35882,35895,6.71,2,,,,NoMatch,,,,,,,,
33,,M. rubra,35900,35910,5.24,2,,,,NoMatch,,,,,,,,
34,,Macropodidae,8781,8794,5.12,1,,,,Exact,0,"Macropodidae Gray, 1821",Macropodidae,CBD,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Diprotodontia|Macropodiformes|Macropodidae,
35,,Macropus,20350,20358,4.95,1,,,,Exact,0,"Macropus Shaw, 1790",Macropus,8NRBF,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Diprotodontia|Macropodiformes|Macropodidae|Macropodinae|Macropus|Macropus,
36,,Macropus giganteus,8746,8764,12.23,2,,,,Exact,0,"Macropus (Macropus) giganteus Shaw, 1790",Macropus giganteus,7VR59,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Diprotodontia|Macropodiformes|Macropodidae|Macropodinae|Macropus|Macropus|Macropus giganteus,
37,,Marmosa,4387,4396,4.24,1,,,,Exact,0,"Marmosa Gray, 1821",Marmosa,5LHG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Marmosa,
