Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. adelphus,9529,9540,5.63,2,,,,NoMatch,0.0,,,,,,,,
1,,A. adolfifriederici,23418,23437,5.93,2,,,,NoMatch,0.0,,,,,,,,
2,,A. affinis,23565,23575,6.82,2,,,,NoMatch,0.0,,,,,,,,
3,,A. bioko,8122,8130,3.37,2,,,,NoMatch,0.0,,,,,,,,
4,,A. brevipes,9550,9561,5.79,2,,,,NoMatch,0.0,,,,,,,,
5,,A. francei,23816,23826,5.22,2,,,,NoMatch,0.0,,,,,,,,
6,,A. krokosua,3151,3163,4.28,2,,,,NoMatch,0.0,,,,,,,,
7,,A. macrodactylus,45241,45258,7.32,2,,,,NoMatch,0.0,,,,,,,,
8,,A. nguruensis,7420,7433,6.40,2,,,,NoMatch,0.0,,,,,,,,
9,,A. nikeae,24446,24455,5.70,2,,,,NoMatch,0.0,,,,,,,,
10,,A. palava,6159,6169,5.34,2,,,,NoMatch,0.0,,,,,,,,
11,,A. palava may,34522,34535,2.56,3,,,,NoMatch,0.0,,,,,,,,
12,,A. perreti,3164,3175,5.83,2,,,,NoMatch,0.0,,,,,,,,
13,,A. poecilonotus,2961,2977,7.79,2,,,,NoMatch,0.0,,,,,,,,
14,,A. reichei,24264,24274,5.05,2,,,,NoMatch,0.0,,,,,,,,
15,,A. stenodactylus,7472,7488,7.32,2,,,,NoMatch,0.0,,,,,,,,
16,,A. tanneri,24516,24526,7.00,2,,,,NoMatch,0.0,,,,,,,,
17,,A. tuberosus,24650,24662,7.05,2,,,,NoMatch,0.0,,,,,,,,
18,,A. variabilis,3180,3194,7.64,2,,,,NoMatch,0.0,,,,,,,,
19,,A. wahlbergii,24875,24888,6.66,2,,,,NoMatch,0.0,,,,,,,,
20,,Amphibia,3589,3598,3.60,1,,,,Exact,9.01138,0,"Amphibia Stackhouse, 1809",Amphibia,7M,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Eurhodophytina|Florideophyceae|Ceramiales|Rhodomelaceae|Bostrychia,
21,,Anura,3599,3605,4.27,1,,,,Exact,9.01138,0,"Anura Nicolet, 1847",Anura,PY,1,Catalogue of Life,Biota|Animalia|Arthropoda|Collembola|Poduromorpha|Neanuroidea|Neanuridae|Morulininae|Morulina,
22,,Arthrolepis,22742,22753,5.26,1,,,,Exact,9.01138,0,Arthrolepis Boiss.,Arthrolepis,5T65Q,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Achillea,
23,,Arthroleptidae,22,38,5.11,1,,,,Exact,9.01315,0,"Arthroleptidae Mivart, 1869",Arthroleptidae,6RG,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae,
24,,Arthroleptis,39,52,4.94,1,,,,Exact,9.01315,0,"Arthroleptis Smith, 1849",Arthroleptis,33CS,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis,
25,,Arthroleptis palava,5903,5922,10.68,2,,,,Exact,9.01315,0,"Arthroleptis palava Blackburn, Gvozdík & Leaché, 2010",Arthroleptis palava,GYRV,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis palava,
26,,Arthroleptis poecilonotus,2901,2927,13.13,2,,,,Exact,9.01315,0,"Arthroleptis poecilonotus Peters, 1863",Arthroleptis poecilonotus,GYS2,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis poecilonotus,
27,,Arthroleptis stenodactylus,46671,46699,12.66,2,,,,Exact,9.01315,0,"Arthroleptis stenodactylus Pfeffer, 1893",Arthroleptis stenodactylus,GYSL,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis stenodactylus,
28,,Arthroleptis variabilis,47177,47202,12.98,2,,,,Exact,9.01315,0,"Arthroleptis variabilis Matschie, 1893",Arthroleptis variabilis,GYSY,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis variabilis,
29,,Arthroleptis zimmeri��ghana,48423,48451,8.82,2,,,,PartialExact,9.01315,0,"Arthroleptis Smith, 1849",Arthroleptis,33CS,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis,
30,,C. gracilis,9651,9662,7.41,2,,,,NoMatch,0.0,,,,,,,,
31,,Cardioglossa,9358,9370,5.00,1,,,,Exact,9.01315,0,"Cardioglossa Boulenger, 1900",Cardioglossa,62KGB,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa,
