Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Anolis,5163,5169,4.61,1,,,,Exact,0,"Anolis Cope, 1862",Anolis,8HCLJ,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis chlorocyanus,
1,,Bouleia,43796,43803,3.92,1,,,,Exact,0,"Bouleia Kozlowski, 1923",Bouleia,urn:lsid:irmng.org:taxname:1404834,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Phacopida|Phacopida|Bouleia,
2,,Bouleia dagincourti,27281,27300,10.12,2,,,,Exact,0,Bouleia dagincourti (Ulrich ),Bouleia dagincourti,2397408,168,ION,,
3,,Bouleia sphaericeps,43874,43893,10.93,2,,,,Exact,0,Bouleia sphaericeps (Kozlowski 1923),Bouleia sphaericeps,2249205,168,ION,,
4,,Calmoniidae,6563,6576,4.91,1,,,,Exact,0,Calmoniidae,Calmoniidae,53496,2,Wikispecies,,
5,,Clarkeaspis,41494,41509,5.26,1,,,,Exact,0,"Clarkeaspis Lieberman, 1993",Clarkeaspis,urn:lsid:irmng.org:taxname:1137994,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Trilobita|Trilobita|Clarkeaspis,
6,,Clarkeaspis padillaensis,44471,44495,7.24,2,,,,Exact,0,Clarkeaspis padillaensis Lieberman 1993,Clarkeaspis padillaensis,1044355,168,ION,,
7,,Eldredgeia eocryphaea,41410,41431,6.44,2,,,,Exact,0,"Eldredgeia eocryphaea de Carvalho, Edgecombe & Smith 2003",Eldredgeia eocryphaea,1645004,168,ION,,
8,,Eldredgeia venustus,41390,41409,12.42,2,,,,PartialExact,0,"Eldredgeia Lieberman, 1993",Eldredgeia,urn:lsid:irmng.org:taxname:1136576,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Phacopida|Phacopidae|Eldredgeia,
9,,M. venustus,41095,41106,7.53,2,,,,NoMatch,,,,,,,,
10,,Malvinella buddae,42086,42103,10.83,2,,,,Fuzzy,1,"Malvinella buddeae Lieberman, Edgecombe & Eldredge 1991",Malvinella buddeae,892562,168,ION,,
11,,Malvinella haugi,43400,43416,9.00,2,,,,Exact,0,Malvinella haugi (Kozlowski 1923),Malvinella haugi,2133188,168,ION,,
12,,Malvinocooperella pregiganteus,41432,41462,8.39,2,,,,Exact,0,Malvinocooperella pregiganteus Lieberman 1993,Malvinocooperella pregiganteus,1044362,168,ION,,
13,,Metacryphaeus,1687,1700,4.98,1,,,,Exact,0,"Metacryphaeus Reed, 1907",Metacryphaeus,urn:lsid:irmng.org:taxname:1063947,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Phacopida|Calmoniidae|Metacryphaeus,
14,,Metacryphaeus australis,43894,43917,12.93,2,,,,Exact,0,Metacryphaeus australis,Metacryphaeus australis,7908040,179,Open Tree of Life,||Eukaryota|Opisthokonta|Holozoa|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Trilobitomorpha|Trilobita|Phacopida|Calmoniidae|Metacryphaeus|Metacryphaeus australis,
15,,Metacryphaeus branisai,41862,41884,9.66,2,,,,Exact,0,Metacryphaeus branisai Lieberman 1993,Metacryphaeus branisai,1044364,168,ION,,
16,,Metacryphaeus caffer,27251,27271,9.58,2,,,,Exact,0,Metacryphaeus (Metacryphaeus) caffer (Salter 1856),Metacryphaeus caffer,410491,172,PaleoBioDB,||Trilobita|Phacopida|Metacryphaeus caffer,
17,,Metacryphaeus convexus,41636,41658,11.34,2,,,,Exact,0,Metacryphaeus convexus (Ulrich ),Metacryphaeus convexus,2397444,168,ION,,
18,,Metacryphaeus curvigena,41885,41908,6.97,2,,,,Exact,0,Metacryphaeus curvigena Lieberman 1993,Metacryphaeus curvigena,1044366,168,ION,,
19,,Metacryphaeus giganteus,18215,18238,12.25,2,,,,Exact,0,Metacryphaeus giganteus (Ulrich ),Metacryphaeus giganteus,2410688,168,ION,,
20,,Metacryphaeus kegeli,43541,43561,10.83,2,,,,Exact,0,Metacryphaeus kegeli Carvalho et al. 1997,Metacryphaeus kegeli,427686,172,PaleoBioDB,||Trilobita|Phacopida|Metacryphaeus kegeli,
21,,Metacryphaeus meloi,43583,43602,9.87,2,,,,Exact,0,Metacryphaeus meloi Carvalho et al. 1997,Metacryphaeus meloi,427687,172,PaleoBioDB,||Trilobita|Phacopida|Metacryphaeus meloi,
22,,Metacryphaeus rotundatus,41517,41541,13.14,2,,,,Exact,0,Metacryphaeus rotundatus Kozlowski,Metacryphaeus rotundatus,2397506,168,ION,,
23,,Metacryphaeus tuberculatus,43347,43373,13.17,2,,,,Exact,0,Metacryphaeus tuberculatus Kozlowski 1923,Metacryphaeus tuberculatus,5297313,168,ION,,
24,,Morphological,5463,5476,1.51,1,,,,Exact,0,Morphological,Morphological,3009798,168,ION,,
25,,Palpebrops donegalensis,42104,42127,6.78,2,,,,Exact,0,"Palpebrops donegalensis Lieberman, Edgecombe & Eldredge 1991",Palpebrops donegalensis,892566,168,ION,,
26,,Parabouleia calmonensis,42018,42041,6.76,2,,,,Exact,0,Parabouleia calmonensis Eldredge 1972,Parabouleia calmonensis,99880800,169,uBio NameBank,|Parabouleia calmonensis,
27,,Parabouleia eldredgei,43827,43848,10.79,2,,,,Exact,0,"Parabouleia eldredgei Edgecombe, Vaccari & Waisfeld 1994",Parabouleia eldredgei,1069914,168,ION,,
28,,Parna,18005,18010,2.95,1,,,,Exact,0,"Parna Benson, 1936",Parna,urn:lsid:irmng.org:taxname:1410896,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Hymenoptera|Tenthredinidae|Parna,
29,,Phacopida,6577,6587,3.88,1,,,,Exact,0,Phacopida,Phacopida,3SV,1,Catalogue of Life,Biota|Animalia|Arthropoda|Trilobita|Phacopida,
30,,Plesioconvexa praecursor,41591,41615,8.66,2,,,,PartialExact,0,"Plesioconvexa Lieberman, 1993",Plesioconvexa,urn:lsid:irmng.org:taxname:1190553,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Trilobita|Trilobita|Plesioconvexa,
31,,Plesiomalvinella,43374,43390,5.88,1,,,,Exact,0,"Plesiomalvinella Lieberman, Edgecombe & Eldredge, 1991",Plesiomalvinella,urn:lsid:irmng.org:taxname:1054863,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Phacopida|Phacopida|Plesiomalvinella,
32,,Plesiomalvinella boulei,41807,41830,11.95,2,,,,Exact,0,Plesiomalvinella boulei (Kozlowski 1923),Plesiomalvinella boulei,892569,168,ION,,
33,,Punillaspis,41369,41380,5.26,1,,,,Exact,0,"Punillaspis Baldis & Longobucco, 1979",Punillaspis,urn:lsid:irmng.org:taxname:1069113,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Phacopida|Phacopida|Punillaspis,
34,,Punillaspis argentina,43973,43994,9.05,2,,,,Exact,0,Punillaspis argentina (Baldis 1967),Punillaspis argentina,2027344,168,ION,,
35,,Soares,30147,30153,2.79,1,,,,Exact,0,Soares,Soares,644DG,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera|Fulgoroidea|Flatidae|Soares,
36,,Talacastops,43735,43746,4.95,1,,,,Exact,0,"Talacastops Edgecombe, Vaccari & Waisfeld, 1994",Talacastops,urn:lsid:irmng.org:taxname:1189024,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Trilobita|Trilobita|Talacastops,
37,,Talacastops zarelae,43756,43775,11.28,2,,,,Exact,0,"Talacastops zarelae Edgecombe, Vaccari & Waisfeld 1994",Talacastops zarelae,1069916,168,ION,,
38,,Typhloniscus,24319,24331,4.84,1,,,,Exact,0,"Typhloniscus Salter, 1856",Typhloniscus,urn:lsid:irmng.org:taxname:1329269,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Trilobita|Trilobita|Typhloniscus,
39,,Typhloniscus baini,27181,27199,10.59,2,,,,Exact,0,Typhloniscus baini,Typhloniscus baini,3242901,168,ION,,
40,,Typholoniscus baini,23832,23852,5.29,2,,,,Fuzzy,1,Typhloniscus baini,Typhloniscus baini,3242901,168,ION,,
41,,Vogesina aspera,41791,41806,10.37,2,,,,PartialExact,0,"Vogesina Wclfart, 1968",Vogesina,urn:lsid:irmng.org:taxname:1437340,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Phacopida|Phacopida|Vogesina,
42,,Vogesina lacunafera,41659,41678,6.17,2,,,,PartialExact,0,"Vogesina Wclfart, 1968",Vogesina,urn:lsid:irmng.org:taxname:1437340,181,IRMNG,Biota|Animalia|Arthropoda|Trilobitomorpha|Trilobita|Phacopida|Phacopida|Vogesina,
43,,Vrba,39636,39640,1.47,1,,,,Exact,0,"Vrba Dworakowska, 1997",Vrba,8HSQS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera|Cicadomorpha|Membracoidea|Cicadellidae|Typhlocybinae|Erythroneurini|Vrba,
44,,Wolfartaspis cornutus,44782,44803,8.12,2,,,,Exact,0,Wolfartaspis cornutus (Wolfart 1968),Wolfartaspis cornutus,1044371,168,ION,,
45,,Wolfartaspis liebermani,43603,43626,2.18,2,,,,Exact,0,"Wolfartaspis liebermani de Carvalho, Edgecombe & Smith 2003",Wolfartaspis liebermani,1645011,168,ION,,
