Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Anolis carolinensis,30533,30552,11.44,2,,,,Exact,9.01315,0,"Anolis carolinensis Voigt, 1832",Anolis carolinensis,675MJ,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis carolinensis,
1,,Antedon serrata,30420,30435,9.96,2,,,,Exact,9.01315,0,"Antedon serrata AH Clark, 1908",Antedon serrata,8G3MX,1,Catalogue of Life,Biota|Animalia|Echinodermata|Crinozoa|Crinoidea|Articulata|Comatulida|Antedonoidea|Antedonidae|Antedoninae|Antedon|Antedon serrata,
2,,Aplidium pliciferum,32148,32167,12.63,2,,,,Exact,9.01315,0,"Aplidium pliciferum (Redikorzev, 1927)",Aplidium pliciferum,FP2C,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium pliciferum,
3,,Aplousobranchia,2601,2617,5.60,1,,,,Exact,9.01315,0,"Aplousobranchia Lahille, 1886",Aplousobranchia,7NFGX,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Aplousobranchia,
4,,Appendicularia,2618,2633,5.16,1,,,,Exact,9.01315,0,"Appendicularia Fol, 1874",Appendicularia,7NF37,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Appendicularia|Copelata|Fritillariidae|Appendiculariinae|Appendicularia,
5,,Ascidia,42652,42659,3.79,1,,,,Exact,9.01315,0,"Ascidia Linnaeus, 1767",Ascidia,7NPT9,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia,
6,,Ascidia ahodori,31771,31786,9.54,2,,,,Exact,9.01315,0,"Ascidia ahodori Oka, 1927",Ascidia ahodori,H5T4,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia ahodori,
7,,Ascidia ceratodes,31753,31770,10.68,2,,,,Exact,9.01315,0,"Ascidia ceratodes (Huntsman, 1912)",Ascidia ceratodes,67S8S,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae|Ascidia|Ascidia ceratodes,
8,,Ascidiacea,6139,6150,4.41,1,,,,Exact,9.00960,0,Ascidiacea,Ascidiacea,85,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea,
9,,Ascidiella,31634,31644,5.23,1,,,,Exact,9.01315,0,"Ascidiella L. Grambast, 1966",Ascidiella,33NV,1,Catalogue of Life,Biota|Plantae|Charophyta|Charophyceae|Charales|Clavatoraceae|Ascidiella,
10,,Ascidiidae,34592,34602,4.76,1,,,,Exact,9.01315,0,"Ascidiidae Herdman, 1882",Ascidiidae,7NFZV,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Ascidiacea|Phlebobranchia|Ascidiidae,
11,,Asterias amurensis,30401,30419,11.27,2,,,,Exact,9.01315,0,"Asterias amurensis Lutken, 1871",Asterias amurensis,HRG7,1,Catalogue of Life,Biota|Animalia|Echinodermata|Asterozoa|Asteroidea|Forcipulatacea|Forcipulatida|Asteriidae|Asterias|Asterias amurensis,
12,,Balanoglosssus carnosus,33841,33864,5.92,2,,,,Fuzzy,8.88213,1,"Balanoglossus carnosus (Willey, 1899)",Balanoglossus carnosus,KFV3,1,Catalogue of Life,Biota|Animalia|Hemichordata|Enteropneusta|Ptychoderidae|Balanoglossus delle|Balanoglossus carnosus,
