Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. gazella,18549,18559,6.75,2,,,,NoMatch,0.0,,,,,,,,
1,,Arctocephalus australis,17638,17661,13.82,2,,,,Exact,9.01315,0,"Arctocephalus australis (Zimmermann, 1783)",Arctocephalus australis,5VS33,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Otariidae|Arctocephalus|Arctocephalus australis,
2,,Arctocephalus gazella,357,378,13.02,2,,,,Exact,9.01315,0,"Arctocephalus gazella (Peters, 1875)",Arctocephalus gazella,5W3QR,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Otariidae|Arctocephalus|Arctocephalus gazella,
3,,E. jubatus,22703,22713,7.36,2,,,,NoMatch,0.0,,,,,,,,
4,,Eumetopias jubatus,22667,22685,12.69,2,,,,Exact,9.01315,0,"Eumetopias jubatus (Schreber, 1776)",Eumetopias jubatus,6H93Y,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Otariidae|Eumetopias|Eumetopias jubatus,
5,,Galapagos,23763,23772,1.75,1,,,,Exact,8.91436,0,Galapagos,Galapagos,3059652,168,ION,,
6,,H. grypus,17701,17710,5.80,2,,,,NoMatch,0.0,,,,,,,,
7,,H. leptonyx,21061,21072,4.28,2,,,,NoMatch,0.0,,,,,,,,
8,,Halichoerus grypus,17672,17690,12.10,2,,,,Exact,9.01315,0,"Halichoerus grypus (Fabricius, 1791)",Halichoerus grypus,3JBV8,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Phocidae|Halichoerus|Halichoerus grypus,
9,,Hydrurga,20877,20885,3.34,1,,,,Exact,9.01315,0,"Hydrurga Gistel, 1848",Hydrurga,4ZWQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Phocidae|Hydrurga,
10,,L. carcinophagus,21268,21284,6.00,2,,,,NoMatch,0.0,,,,,,,,
11,,L. weddellii,21298,21310,6.81,2,,,,NoMatch,0.0,,,,,,,,
12,,Leptonychotes,17744,17757,3.13,1,,,,Exact,9.01315,0,"Leptonychotes Gill, 1872",Leptonychotes,5D85,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Phocidae|Leptonychotes,
13,,Lobodon,21088,21095,2.02,1,,,,Exact,9.01315,0,"Lobodon Gray, 1844",Lobodon,5FYV,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Phocidae|Lobodon,
14,,M. schauinslandi,21962,21978,5.77,2,,,,NoMatch,0.0,,,,,,,,
15,,Mirounga leonina,18070,18086,11.46,2,,,,Exact,9.01315,0,"Mirounga leonina (Linnaeus, 1758)",Mirounga leonina,43MJ7,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Phocidae|Mirounga|Mirounga leonina,
16,,Monachus schauinslandi,23091,23113,9.61,2,,,,Exact,9.01138,0,"Monachus schauinslandi Matschie, 1905",Monachus schauinslandi,43ZLX,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Phocidae|Neomonachus|Neomonachus schauinslandi,
17,,O. rosmarus,22139,22150,6.78,2,,,,NoMatch,0.0,,,,,,,,
18,,P. vitulina concolor,20041,20061,12.40,3,,,,NoMatch,0.0,,,,,,,,
19,,P. vitulina vitulina,22629,22649,13.33,3,,,,NoMatch,0.0,,,,,,,,
20,,Phoca vitulina concolor,18252,18275,16.04,3,,,,Exact,9.32228,0,"Phoca vitulina concolor De Kay, 1842",Phoca vitulina concolor,5KDKC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Phocidae|Phoca|Phoca vitulina|Phoca vitulina vitulina,
21,,Sgpv��a rosmarus,22580,22596,4.81,2,,,,NoMatch,0.0,,,,,,,,
22,,Ursus americanus,20787,20803,10.29,2,,,,Exact,9.01315,0,"Ursus americanus Pallas, 1780",Ursus americanus,7F2KC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Ursidae|Ursus|Ursus americanus,
23,,Z. californianus,25271,25287,7.43,2,,,,NoMatch,0.0,,,,,,,,
24,,Z. californianus wollebaeki,24287,24314,12.01,3,,,,NoMatch,0.0,,,,,,,,
25,,Zalophus californianus wollebaeki,23782,23815,15.85,3,,,,Exact,9.30818,0,"Zalophus californianus ssp. wollebaeki (Sivertsen, 1953)",Zalophus californianus wollebaeki,null,163,IUCN Red List of Threatened Species,,
