Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. falkenbachi,20577,20591,6.23,2,,,,NoMatch,0.0,,,,,,,,
1,,A. ferox,20967,20975,4.01,2,,,,NoMatch,0.0,,,,,,,,
2,,A. mcgrewi,20948,20958,4.11,2,,,,NoMatch,0.0,,,,,,,,
3,,A. taxoides,20984,20995,6.35,2,,,,NoMatch,0.0,,,,,,,,
4,,Acinonyx jubatus,17003,17019,11.28,2,,,,Exact,9.01315,0,"Acinonyx jubatus (Schreber, 1775)",Acinonyx jubatus,9BTZ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Acinonyx|Acinonyx jubatus,
5,,Adcrocuta,35888,35897,4.33,1,,,,Exact,8.98392,0,"Adcrocuta Kretzoi, 1938",Adcrocuta,urn:lsid:irmng.org:taxname:1067275,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Hyaenidae|Adcrocuta,
6,,Adcrocuta eximia,21469,21485,8.58,2,,,,Exact,8.98392,0,Adcrocuta eximia Roth and Wagner 1854,Adcrocuta eximia,374542,172,PaleoBioDB,||Mammalia|Carnivora|Adcrocuta eximia,
7,,Aelurodon,47497,47506,2.66,1,,,,Exact,8.98392,0,"Aelurodon Leidy, 1858",Aelurodon,urn:lsid:irmng.org:taxname:1278957,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Canidae|Aelurodon,
8,,Aelurodon compared,47778,47796,2.24,2,,,,PartialExact,8.98392,0,"Aelurodon Leidy, 1858",Aelurodon,urn:lsid:irmng.org:taxname:1278957,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Canidae|Aelurodon,
9,,Aelurodon stirtoni,20921,20939,9.64,2,,,,Exact,8.98392,0,Aelurodon stirtoni (Wang et al. 1999),Aelurodon stirtoni,43777,172,PaleoBioDB,||Mammalia|Carnivora|Aelurodon stirtoni,
10,,Alopex lagopus,18563,18577,9.21,2,,,,Exact,9.01138,0,"Alopex lagopus (Linnaeus, 1758)",Alopex lagopus,C58B,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Vulpes|Vulpes lagopus,
11,,Archaeocyon pavidus,20549,20568,10.83,2,,,,Exact,8.98392,0,Archaeocyon pavidus (Stock 1933),Archaeocyon pavidus,44212,172,PaleoBioDB,||Mammalia|Carnivora|Archaeocyon pavidus,
12,,Atilax paludinosus,17150,17168,11.52,2,,,,Exact,9.01183,0,"Atilax paludinosus (G. [Baron] Cuvier, 1829)",Atilax paludinosus,JGJB,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Herpestidae|Atilax|Atilax paludinosus,
13,,B. secundus,21136,21147,6.56,2,,,,NoMatch,0.0,,,,,,,,
14,,Bdeogale crassicauda,17181,17201,9.61,2,,,,Exact,9.01315,0,"Bdeogale crassicauda Peters, 1852",Bdeogale crassicauda,68FLW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Herpestidae|Bdeogale|Bdeogale crassicauda,
15,,Borophagus,28614,28624,5.01,1,,,,Exact,8.98392,0,"Borophagus Cope, 1892",Borophagus,urn:lsid:irmng.org:taxname:1437926,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Canidae|Borophagus,
16,,Borophagus littoralis,21106,21127,13.05,2,,,,Exact,8.98392,0,Borophagus littoralis (VanderHoof 1931),Borophagus littoralis,44597,172,PaleoBioDB,||Mammalia|Carnivora|Borophagus littoralis,
17,,Canidae,2146,2155,4.76,1,,,,Exact,9.01315,0,"Canidae Fischer, 1817",Canidae,622J6,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae,
18,,Caniformia,4725,4736,4.49,1,,,,Exact,9.01315,0,"Caniformia Kretzoi, 1938",Caniformia,4CT,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia,
19,,Caninae,6312,6320,3.51,1,,,,Exact,8.98344,0,Elymus subsect. Caninae (Nevski) Tzvelev,Caninae,100385195,165,Tropicos,,
20,,Canis,5488,5497,3.88,1,,,,Exact,9.01315,0,"Canis Linnaeus, 1758",Canis,3GTH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis,
21,,Canis aureus,16917,16929,6.88,2,,,,Exact,9.01315,0,"Canis aureus Linnaeus, 1758",Canis aureus,QLX7,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis|Canis aureus,
22,,Canis dirus,21167,21178,10.15,2,,,,Exact,8.98392,0,Canis dirus (Leidy 1858),Canis dirus,44837,172,PaleoBioDB,||Mammalia|Carnivora|Canis dirus,
23,,Canis latrans,18591,18604,9.56,2,,,,Exact,9.01315,0,"Canis latrans Say, 1823",Canis latrans,QLXJ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis|Canis latrans,
24,,Canis lupus,18619,18630,5.88,2,,,,Exact,9.01315,0,"Canis lupus Linnaeus, 1758",Canis lupus,QLXL,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis|Canis lupus,
25,,Caracal caracal,17031,17046,4.45,2,,,,Exact,9.01315,0,"Caracal caracal (Schreber, 1776)",Caracal caracal,QZRR,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Caracal|Caracal caracal,
26,,Carnivora,142,153,5.56,1,,,,Exact,9.01315,0,"Carnivora Bowdich, 1821",Carnivora,VS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora,
27,,Chasmaporthetes,6085,6101,3.64,1,,,,Exact,8.98392,0,"Chasmaporthetes Hay, 1921",Chasmaporthetes,urn:lsid:irmng.org:taxname:1104045,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Hyaenidae|Chasmaporthetes,
28,,Chasmaporthetes lunensis,21402,21426,10.22,2,,,,Exact,8.98392,0,Chasmaporthetes lunensis (Del Campana 1914),Chasmaporthetes lunensis,376864,172,PaleoBioDB,||Mammalia|Carnivora|Chasmaporthetes lunensis,
29,,Civettictis civetta,17530,17549,6.16,2,,,,Exact,9.01315,0,"Civettictis civetta (Schreber, 1776)",Civettictis civetta,VMQL,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Viverridae|Viverrinae|Civettictis|Civettictis civetta,
30,,Crania,15388,15394,3.57,1,,,,Exact,9.01315,0,"Crania Retzius, 1781",Crania,87F8W,1,Catalogue of Life,Biota|Animalia|Brachiopoda|Craniiformea|Craniata|Craniida|Cranioidea|Craniidae|Crania,
31,,Crocuta,28643,28650,3.69,1,,,,Exact,9.01315,0,"Crocuta Kaup, 1828",Crocuta,3W3S,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Hyaenidae|Crocuta,
32,,Crocuta crocuta,17289,17304,10.23,2,,,,Exact,9.01315,0,"Crocuta crocuta (Erxleben, 1777)",Crocuta crocuta,ZL56,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Hyaenidae|Crocuta|Crocuta crocuta,
33,,Cynarctoides,6593,6605,4.07,1,,,,Exact,8.98392,0,"Cynarctoides McGrew, 1938",Cynarctoides,urn:lsid:irmng.org:taxname:1304397,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Canidae|Cynarctoides,
34,,Cynarctus,6579,6588,5.43,1,,,,Exact,8.98392,0,"Cynarctus Matthew, 1902",Cynarctus,urn:lsid:irmng.org:taxname:1279284,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Canidae|Cynarctus,
35,,Cynodesmus thooides,20368,20387,12.29,2,,,,Exact,8.98392,0,Cynodesmus thooides (Scott 1893),Cynodesmus thooides,45466,172,PaleoBioDB,||Mammalia|Carnivora|Cynodesmus thooides,
36,,D. matthewi,20762,20773,4.28,2,,,,NoMatch,0.0,,,,,,,,
37,,Desmocyon thomsoni,20735,20753,10.93,2,,,,Exact,8.98392,0,Desmocyon thomsoni (Matthew 1907),Desmocyon thomsoni,45611,172,PaleoBioDB,||Mammalia|Carnivora|Desmocyon thomsoni,
38,,Dinocrocuta,35806,35818,4.40,1,,,,Exact,8.98392,0,"Dinocrocuta Schmidt-Kittler, 1976",Dinocrocuta,urn:lsid:irmng.org:taxname:1094042,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Hyaenidae|Dinocrocuta,
39,,Dinocrocuta gigantea,21628,21648,10.84,2,,,,Exact,8.91878,0,Dinocrocuta gigantea (Schlosser 1903),Dinocrocuta gigantea,1156607,168,ION,,
40,,E. haydeni,21084,21094,5.83,2,,,,NoMatch,0.0,,,,,,,,
41,,E. pahinsintewakpa,20430,20448,4.79,2,,,,NoMatch,0.0,,,,,,,,
42,,E. stenocephalus,20457,20473,7.32,2,,,,NoMatch,0.0,,,,,,,,
43,,Enhydrocyon crassidens,20399,20421,10.90,2,,,,Exact,8.98392,0,Enhydrocyon crassidens Matthew 1907,Enhydrocyon crassidens,46083,172,PaleoBioDB,||Mammalia|Carnivora|Enhydrocyon crassidens,
44,,Epicyon,53463,53470,3.32,1,,,,Exact,8.98392,0,"Epicyon Leidy, 1858",Epicyon,urn:lsid:irmng.org:taxname:1435589,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Canidae|Epicyon,
45,,Epicyon saevus,21061,21075,9.29,2,,,,Exact,8.98392,0,Epicyon saevus (Leidy 1858),Epicyon saevus,46210,172,PaleoBioDB,||Mammalia|Carnivora|Epicyon saevus,
46,,Felidae,16992,16999,4.76,1,,,,Exact,9.01315,0,"Felidae Fischer de Waldheim, 1817",Felidae,623RM,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae,
47,,Feliformia,4834,4846,4.49,1,,,,Exact,9.01315,0,"Feliformia Kretzoi, 1945",Feliformia,4DL,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia,
48,,Felis sylvestris,17058,17074,11.99,2,,,,Exact,8.98012,0,Felis sylvestris,Felis sylvestris,374915,183,Sherborn Index Animalium,,
49,,Genetta maculata,17562,17578,12.13,2,,,,Exact,9.01315,0,"Genetta maculata (Gray, 1830)",Genetta maculata,3FKP6,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Viverridae|Viverrinae|Genetta|Genetta maculata,
50,,Genetta pardina,17591,17606,11.21,2,,,,Exact,9.01315,0,"Genetta pardina I. Geoffroy Saint-Hilaire, 1832",Genetta pardina,3FKP7,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Viverridae|Viverrinae|Genetta|Genetta pardina,
51,,Genetta rubiginosa,17619,17637,11.92,2,,,,Exact,8.98392,0,Genetta rubiginosa Pucheran 1855,Genetta rubiginosa,232932,172,PaleoBioDB,||Mammalia|Carnivora|Genetta rubiginosa,
52,,Gulo gulo,18847,18856,4.58,2,,,,Exact,9.01315,0,"Gulo gulo (Linnaeus, 1758)",Gulo gulo,3HLZN,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Mustelidae|Guloninae|Gulo|Gulo gulo,
53,,H. hyaenoides,21341,21354,6.58,2,,,,NoMatch,0.0,,,,,,,,
54,,Herpestes sanguineus,17214,17234,10.22,2,,,,Exact,8.98392,0,Herpestes sanguineus Rüppell,Herpestes sanguineus,1006046,184,ASM Mammal Diversity DB,Animalia|Chordata|Mammalia|Carnivora|Herpestidae|Herpestes|Herpestes sanguineus,
55,,Herpestidae,17135,17146,4.91,1,,,,Exact,9.01315,0,"Herpestidae Bonaparte, 1845",Herpestidae,624SY,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Herpestidae,
56,,Hesperocyon,37964,37976,4.03,1,,,,Exact,8.98392,0,"Hesperocyon Scott, 1890",Hesperocyon,urn:lsid:irmng.org:taxname:1027026,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Canidae|Hesperocyon,
57,,Hesperocyon gregarius,20227,20248,11.38,2,,,,Exact,8.98392,0,Hesperocyon gregarius (Cope 1873),Hesperocyon gregarius,46911,172,PaleoBioDB,||Mammalia|Carnivora|Hesperocyon gregarius,
58,,Hyaena,40859,40866,,1,,,,Exact,9.01315,0,"Hyaena Brisson, 1762",Hyaena,4ZCG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Hyaenidae|Hyaena,
59,,Hyaena hyaena,17318,17331,10.23,2,,,,Exact,9.01315,0,"Hyaena hyaena (Linnaeus, 1758)",Hyaena hyaena,6MGT8,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Hyaenidae|Hyaena|Hyaena hyaena,
