Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Bilateria,25651,25660,4.32,1,,,,Exact,8.98012,0,Bilateria,Bilateria,914154,3,ITIS,Animalia|Bilateria,
1,,Branchiostoma floridae,37976,37998,11.55,2,,,,Exact,9.01315,0,"Branchiostoma floridae Hubbs, 1922",Branchiostoma floridae,N6RS,1,Catalogue of Life,Biota|Animalia|Chordata|Cephalochordata|Leptocardii|Branchiostomatidae|Branchiostoma|Branchiostoma floridae,
2,,Buddenbrockia plumatellae,5792,5817,11.91,2,,,,Exact,9.01315,0,"Buddenbrockia plumatellae Schröder, 1910",Buddenbrockia plumatellae,85N83,1,Catalogue of Life,Biota|Animalia|Cnidaria|Myxozoa|Malacosporea|Saccosporidae|Buddenbrockia|Buddenbrockia plumatellae,
3,,Cephalochordata,20703,20718,4.94,1,,,,Exact,9.00960,0,Cephalochordata,Cephalochordata,7NF2Q,1,Catalogue of Life,Biota|Animalia|Chordata|Cephalochordata,
4,,Cephalodiscus,30936,30949,4.82,1,,,,Exact,9.01315,0,"Cephalodiscus M'Intosh, 1882",Cephalodiscus,62JVN,1,Catalogue of Life,Biota|Animalia|Hemichordata|Pterobranchia|Cephalodiscida|Cephalodiscidae|Cephalodiscus,
5,,Chordata,27241,27250,3.71,1,,,,Exact,9.00960,0,Chordata,Chordata,CH2,1,Catalogue of Life,Biota|Animalia|Chordata,
6,,Chordates,1241,1250,2.86,1,,,,Exact,8.98392,0,"Chordates Snellen, 1877",Chordates,urn:lsid:irmng.org:taxname:1427408,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Lepidoptera|Chordates,
7,,Cyclostomata,20738,20750,4.43,1,,,,Exact,8.98392,0,"Cyclostomata Busk, 1852",Cyclostomata,155603,3,ITIS,Animalia|Bilateria|Protostomia|Lophozoa|Bryozoa|Stenolaemata|Cyclostomata,
8,,Ecdysozoa,5391,5401,2.28,1,,,,Exact,8.98012,0,Ecdysozoa,Ecdysozoa,107,2,Wikispecies,,
9,,Echinodermata,20684,20697,4.98,1,,,,Exact,9.00960,0,Echinodermata,Echinodermata,CHN,1,Catalogue of Life,Biota|Animalia|Echinodermata,
10,,Eptatretus,30891,30902,5.35,1,,,,Exact,9.00960,0,Eptatretus,Eptatretus,4DKV,1,Catalogue of Life,Biota|Animalia|Chordata|Myxini|Myxiniformes|Myxinidae|Eptatretus,
11,,Harrimania,31497,31507,4.22,1,,,,Exact,9.01315,0,"Harrimania Ritter, 1900",Harrimania,4TW7,1,Catalogue of Life,Biota|Animalia|Hemichordata|Enteropneusta|Harrimaniidae|Harrimania,
12,,Harrimaniidae,32202,32215,5.10,1,,,,Exact,9.01315,0,"Harrimaniidae Spengel, 1901",Harrimaniidae,625B3,1,Catalogue of Life,Biota|Animalia|Hemichordata|Enteropneusta|Harrimaniidae,
13,,Hemichordata,20666,20678,4.43,1,,,,Exact,9.01315,0,"Hemichordata Bateson, 1885",Hemichordata,4R,1,Catalogue of Life,Biota|Animalia|Hemichordata,
14,,Holothuria,27760,27770,4.81,1,,,,Exact,9.01315,0,"Holothuria Linnaeus, 1767",Holothuria,7P678,1,Catalogue of Life,Biota|Animalia|Echinodermata|Echinozoa|Holothuroidea|Actinopoda|Holothuriida|Holothuriidae|Holothuria,
15,,Matus,5692,5697,4.41,1,,,,Exact,9.01315,0,"Matus Aubé, 1836",Matus,5M3Y,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Coleoptera|Dytiscoidea|Dytiscidae|Matinae|Matini|Matus,
16,,Myxine,30879,30886,2.02,1,,,,Exact,9.00960,0,Myxine,Myxine,5WW5,1,Catalogue of Life,Biota|Animalia|Chordata|Myxini|Myxiniformes|Myxinidae|Myxine,
17,,Myxinidae,30869,30878,4.83,1,,,,Exact,9.00960,0,Myxinidae,Myxinidae,D4Q,1,Catalogue of Life,Biota|Animalia|Chordata|Myxini|Myxiniformes|Myxinidae,
18,,Oikopleura,30805,30816,5.21,1,,,,Exact,9.01315,0,"Oikopleura Mertens, 1830",Oikopleura,7PN47,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Appendicularia|Copelata|Oikopleuridae|Oikopleurinae|Labiata|Oikopleura,
19,,Oikopleura dioica,6697,6714,12.42,2,,,,Exact,9.01315,0,"Oikopleura (Vexillaria) dioica Fol, 1872",Oikopleura dioica,48ZX5,1,Catalogue of Life,Biota|Animalia|Chordata|Tunicata|Appendicularia|Copelata|Oikopleuridae|Oikopleurinae|Labiata|Oikopleura|Oikopleura|Oikopleura dioica,
20,,Otus,10828,10834,4.06,1,,,,Exact,9.01315,0,"Otus Pennant, 1769",Otus,63HPD,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Strigiformes|Strigidae|Striginae|Otus,
21,,Protostomia,5378,5390,4.64,1,,,,Exact,8.98012,0,Protostomia,Protostomia,106,2,Wikispecies,,
