Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Cebus albifrons,14306,14321,8.46,2,,,,Exact,0,"Cebus albifrons (Humboldt, 1812)",Cebus albifrons,RYYS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cebidae|Cebinae|Cebus|Cebus albifrons,
1,,Gorilla gorilla,14076,14091,11.52,2,,,,Exact,0,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,3H3C9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Gorilla|Gorilla gorilla,
2,,Gorilla gorilla gorilla,14105,14128,16.83,3,,,,Exact,0,"Gorilla gorilla gorilla (Savage & Wyman, 1847)",Gorilla gorilla gorilla,5HJ8V,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Gorilla|Gorilla gorilla|Gorilla gorilla gorilla,
3,,Hominidae,29041,29050,4.83,1,,,,Exact,0,"Hominidae Gray, 1825",Hominidae,6256T,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae,
4,,Hominoidea,29030,29040,4.36,1,,,,Exact,0,"Hominoidea Gray, 1825",Hominoidea,58L,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea,
5,,Homo sapiens,14050,14062,8.29,2,,,,Exact,0,"Homo sapiens Linnaeus, 1758",Homo sapiens,6MB3T,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Homo|Homo sapiens,
6,,Hylobates lar,14196,14209,1.23,2,,,,Exact,0,"Hylobates lar (Linnaeus, 1771)",Hylobates lar,3NFRS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hylobatidae|Hylobates|Hylobates lar,
7,,Macaca sylvanus,14223,14238,7.10,2,,,,Exact,0,"Macaca sylvanus (Linnaeus, 1758)",Macaca sylvanus,3WWP8,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca sylvanus,
8,,P. paniscus,2906,2917,6.97,2,,,,NoMatch,,,,,,,,
9,,P. troglodytes,981,995,5.08,2,,,,NoMatch,,,,,,,,
10,,Pan paniscus,26802,26814,7.74,2,,,,Exact,0,"Pan paniscus Schwarz, 1929",Pan paniscus,4C92F,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Pan|Pan paniscus,
11,,Pan troglodytes,739,755,5.85,2,,,,Exact,0,"Pan troglodytes (Blumenbach, 1775)",Pan troglodytes,4C92G,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Pan|Pan troglodytes,
12,,Papio hamadryas,14252,14267,7.29,2,,,,Exact,0,"Papio hamadryas (Linnaeus, 1758)",Papio hamadryas,4CKZ5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Papio|Papio hamadryas,
13,,Pongo,29484,29489,2.17,1,,,,Exact,0,"Pongo Lacépède, 1799",Pongo,63NZX,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Ponginae|Pongo,
14,,Pongo abelii,14142,14154,8.81,2,,,,Exact,0,"Pongo abelii Lesson, 1827",Pongo abelii,4LTSY,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Ponginae|Pongo|Pongo abelii,
15,,Pongo pygmaeus,14168,14182,9.30,2,,,,Exact,0,"Pongo pygmaeus (Linnaeus, 1760)",Pongo pygmaeus,4LTT2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Ponginae|Pongo|Pongo pygmaeus,
16,,Satta,23733,23738,3.65,1,,,,Exact,0,Satta,Satta,7CQP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Araneae|Lycosidae|Satta,
17,,Simiiformes,8415,8426,1.71,1,,,,Exact,0,"Simiiformes Haeckel, 1866",Simiiformes,4PM,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes,
18,,Taxon,29409,29414,1.77,1,,,,Exact,0,Taxon,Taxon,51015831-1,167,IPNI,,
