Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acraeini,36179,36187,3.18,1,,,,Exact,0,Acraeini,Acraeini,52001,2,Wikispecies,,
1,,Apocynaceae,44910,44921,4.34,1,,,,Exact,0,Apocynaceae Juss.,Apocynaceae,6L2,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae,
2,,Arias,232,240,3.99,1,,,,Exact,0,"Arias Lemaire, 1995",Arias,urn:lsid:irmng.org:taxname:1284496,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Saturniidae|Arias,
3,,Calomys,35645,35652,4.10,1,,,,Exact,0,"Calomys Waterhouse, 1837",Calomys,3FV9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia|Myomorpha|Muroidea|Cricetidae|Sigmodontinae|Calomys,
4,,Eresia,36068,36074,2.96,1,,,,Exact,0,Eresia,Eresia,633ZL,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Eresia,
5,,Gesneriaceae,45157,45169,4.55,1,,,,Exact,0,Gesneriaceae Rich. & Juss.,Gesneriaceae,623G4,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Gesneriaceae,
6,,H. cantobrica,15123,15136,7.46,2,,,,NoMatch,,,,,,,,
7,,H. moebiusi,15141,15152,5.40,2,,,,NoMatch,,,,,,,,
8,,Heliconiinae,41550,41563,4.43,1,,,,Exact,0,"Heliconiinae Swainson, 1822",Heliconiinae,694053,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Papilionoidea|Nymphalidae|Heliconiinae,
9,,Heliconius,32906,32916,4.89,1,,,,Exact,0,Heliconius,Heliconius,62TLS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius,
10,,Hypothyris,10004,10014,3.36,1,,,,Exact,0,Hypothyris,Hypothyris,52XL,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Hypothyris,
11,,Hypothyris anastasia,15101,15122,5.40,2,,,,Exact,0,"Hypothyris anastasia Bates, 1862",Hypothyris anastasia,3NZQ2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Hypothyris|Hypothyris anastasia,
12,,I. avella,37559,37568,6.50,2,,,,NoMatch,,,,,,,,
13,,I. drymo,37896,37904,3.37,2,,,,NoMatch,,,,,,,,
14,,I. iphianassa,33164,33178,6.45,2,,,,NoMatch,,,,,,,,
15,,I. lichyi,37909,37919,4.80,2,,,,NoMatch,,,,,,,,
16,,Insects,5887,5894,1.13,1,,,,Exact,0,Insects,Insects,3747023,168,ION,,
17,,Iochroma,40044,40052,5.12,1,,,,Exact,0,Iochroma Benth.,Iochroma,54PS,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanoideae|Iochroma,
18,,Ithomia,7005,7012,4.48,1,,,,Exact,0,Ithomia,Ithomia,6385N,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Ithomia,
19,,Ithomia agnosia,15084,15100,6.22,2,,,,Exact,0,"Ithomia agnosia Hewitson, 1854",Ithomia agnosia,6NBFW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Ithomia|Ithomia agnosia,
20,,Ithomia hymettia,32089,32105,10.50,2,,,,Exact,0,Ithomia hymettia,Ithomia hymettia,1675016,2,Wikispecies,,
21,,Ithomia iphianassa,31222,31240,11.33,2,,,,Exact,0,"Ithomia iphianassa Doubleday, [1847]",Ithomia iphianassa,6NBGX,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Ithomia|Ithomia iphianassa,
22,,Ithomia lagusa lagusa,32001,32023,15.97,3,,,,Exact,0,Ithomia lagusa lagusa,Ithomia lagusa lagusa,1557132,2,Wikispecies,,
23,,Ithomia salapia,33144,33159,9.93,2,,,,Exact,0,"Ithomia salapia Hewitson, 1852",Ithomia salapia,6NBHS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Ithomia|Ithomia salapia,
24,,Ithomiinae,2581,2592,4.08,1,,,,Exact,0,Ithomiinae,Ithomiinae,694063,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Papilionoidea|Nymphalidae|Danainae,
25,,Ithomiola,36394,36403,5.18,1,,,,Exact,0,Ithomiola,Ithomiola,8NSZH,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Lycaenidae|Ithomiola,
26,,Karina,49551,49557,3.38,1,,,,Exact,0,Karina Boutique,Karina,57JJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Gentianales|Gentianaceae|Karina,
27,,Lepidoptera,726,738,5.11,1,,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera,
28,,Melo,47582,47587,1.47,1,,,,Exact,0,"Melo Broderip, 1826",Melo,7P8P9,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Neogastropoda|Volutoidea|Volutidae|Amoriinae|Melonini|Melo,
29,,N. aethra,10687,10696,5.19,2,,,,NoMatch,,,,,,,,
30,,N. aethra aethra,11333,11349,9.62,3,,,,NoMatch,,,,,,,,
31,,N. apulia ocnita,11369,11385,7.91,3,,,,NoMatch,,,,,,,,
32,,N. benigna,10749,10759,5.35,2,,,,NoMatch,,,,,,,,
33,,N. benigna sandra,11386,11403,10.55,3,,,,NoMatch,,,,,,,,
34,,N. cranto,10774,10783,3.10,2,,,,NoMatch,,,,,,,,
