Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Alnus,25219,25226,4.72,1,,,,Exact,9.00960,0,Alnus,Alnus,SQX,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Alnus,
1,,Aristolochia,25061,25075,5.66,1,,,,Exact,9.01315,0,Aristolochia L.,Aristolochia,32XC,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Piperales|Aristolochiaceae|Aristolochioideae|Aristolochia,
2,,Aristolochiaceae,14715,14732,4.84,1,,,,Exact,9.01315,0,Aristolochiaceae Juss.,Aristolochiaceae,6QB,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Piperales|Aristolochiaceae,
3,,Asteridae,19896,19905,4.83,1,,,,Exact,8.98392,0,Asteridae Takht.,Asteridae,43000071,165,Tropicos,,
4,,Carya,25246,25252,3.17,1,,,,Exact,9.01315,0,Carya Nutt.,Carya,3HXZ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Juglandaceae|Juglandoideae|Carya,
5,,Casuarina,25227,25237,4.10,1,,,,Exact,9.01315,0,Casuarina L.,Casuarina,3J7F,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Casuarinaceae|Casuarina,
6,,Celtis,25501,25507,3.94,1,,,,Exact,9.01315,0,Celtis L.,Celtis,3K3G,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Rosales|Cannabaceae|Celtis,
7,,Crassulaceae,18212,18224,4.55,1,,,,Exact,9.01315,0,Crassulaceae J. St.-Hil.,Crassulaceae,8N6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae,
8,,Cyperaceae,8576,8588,4.19,1,,,,Exact,9.00960,0,Cyperaceae,Cyperaceae,8W5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae,
9,,Cyperus,8568,8575,5.19,1,,,,Exact,9.00960,0,Cyperus,Cyperus,3YM7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Cyperus,
10,,Ephedra sinica,8067,8082,6.37,2,,,,Exact,9.01315,0,Ephedra sinica Stapf,Ephedra sinica,6FPBK,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Gnetopsida|Ephedrales|Ephedraceae|Ephedra|Ephedra sinica,
11,,Eudicots,19423,19431,2.18,1,,,,Exact,8.98012,0,Eudicots,Eudicots,269745,2,Wikispecies,,
12,,Fagales,18948,18955,1.86,1,,,,Exact,9.00960,0,Fagales,Fagales,384,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales,
13,,Fagus,25257,25264,4.07,1,,,,Exact,9.00960,0,Fagus,Fagus,4J87,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Fagus,
14,,Ginkgo biloba,8083,8097,7.56,2,,,,Exact,9.01315,0,Ginkgo biloba L.,Ginkgo biloba,3G3B3,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Ginkgoopsida|Ginkgoales|Ginkgoaceae|Ginkgo|Ginkgo biloba,
15,,Houttuynia,16143,16153,4.22,1,,,,Exact,9.01315,0,Houttuynia Thunb.,Houttuynia,4YY9,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Piperales|Saururaceae|Houttuynia,
16,,Juncaceae,8636,8647,4.26,1,,,,Exact,9.01315,0,Juncaceae Juss.,Juncaceae,BJG,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae,
17,,Juncus,8629,8635,3.83,1,,,,Exact,9.01315,0,Juncus L.,Juncus,56Y4,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus,
18,,Lactoridaceae,25089,25103,4.53,1,,,,Exact,9.01138,0,Lactoridaceae Engl.,Lactoridaceae,BQ8,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Piperales|Aristolochiaceae,
19,,Pamela,168,174,3.97,1,,,,Exact,9.00960,0,Pamela,Pamela,6CYP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Lycaenidae|Pamela,
20,,Peperomia,16159,16168,5.13,1,,,,Exact,9.01315,0,Peperomia Ruiz & Pav.,Peperomia,6KXF,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Piperales|Piperaceae|Peperomioideae|Peperomia,
21,,Pinus,8135,8140,4.72,1,,,,Exact,9.00960,0,Pinus,Pinus,6QPY,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pinus,
22,,Pseudotsuga,8162,8175,3.08,1,,,,Exact,9.00960,0,Pseudotsuga,Pseudotsuga,73Y7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pseudotsuga,
23,,Pseudotsuga menziesii,8102,8123,10.34,2,,,,Exact,9.01315,0,Pseudotsuga menziesii (Mirb.) Franco,Pseudotsuga menziesii,6WHCL,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pseudotsuga|Pseudotsuga menziesii,
24,,S. mertensiana,18259,18273,7.79,2,,,,NoMatch,0.0,,,,,,,,
25,,Saururus,16130,16138,5.39,1,,,,Exact,9.01315,0,Saururus L.,Saururus,7CTD,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Piperales|Saururaceae|Saururus,
26,,Saxifragaceae,18187,18200,5.09,1,,,,Exact,9.01315,0,Saxifragaceae Juss.,Saxifragaceae,6278B,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae,
