Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acorus,17760,17766,5.11,1,,,,Exact,0,Acorus,Acorus,N6V,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Acorales|Acoraceae|Acorus,
1,,Alstroemeria,21658,21670,5.17,1,,,,Exact,0,Alstroemeria,Alstroemeria,SY5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Alstroemeria,
2,,Alstroemeriaceae,21635,21651,4.84,1,,,,Exact,0,Alstroemeriaceae,Alstroemeriaceae,68G,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae,
3,,Anigozanthos,21860,21872,4.54,1,,,,Exact,0,Anigozanthos,Anigozanthos,62BDP,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Haemodoraceae|Anigozanthos,
4,,Araceae,21687,21694,3.62,1,,,,Exact,0,Araceae,Araceae,6M4,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Alismatales|Araceae,
5,,Arales,20934,20941,1.78,1,,,,Exact,0,Arales Juss. ex Bercht. & J. Presl,Arales,43000093,165,Tropicos,,
6,,Aranae,21674,21680,3.43,1,,,,Exact,0,Aranae Thorne ex Reveal,Aranae,100352430,165,Tropicos,,
7,,Arecaceae,22047,22056,4.26,1,,,,Exact,0,Arecaceae,Arecaceae,6234D,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Arecales|Arecaceae,
8,,Aristolochiaceae,21365,21381,4.84,1,,,,Exact,0,Aristolochiaceae Juss.,Aristolochiaceae,6QB,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Piperales|Aristolochiaceae,
9,,Asparagales,20948,20960,2.57,1,,,,Exact,0,Asparagales,Asparagales,SP,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales,
10,,Bromeliaceae,21804,21816,4.55,1,,,,Exact,0,Bromeliaceae,Bromeliaceae,622GQ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Bromeliaceae,
11,,Bromeliales,20967,20979,2.57,1,,,,Exact,0,Bromeliales Dumort.,Bromeliales,43000103,165,Tropicos,,
12,,Bromelianae,21752,21763,4.23,1,,,,Exact,0,Bromelianae R. Dahlgren ex Reveal,Bromelianae,100352432,165,Tropicos,,
13,,Cannaceae,21900,21909,4.26,1,,,,Exact,0,Cannaceae,Cannaceae,7NW,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Zingiberales|Cannaceae,
14,,Catopsis,21823,21831,3.76,1,,,,Exact,0,Catopsis,Catopsis,3JK6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Catopsis,
15,,Clados,31501,31507,2.76,1,,,,Exact,0,"Clados Schröder, Medioli & Scott, 1989",Clados,7NZPT,1,Catalogue of Life,Biota|Chromista|Foraminifera|Monothalamea|Astrorhizida|Astrorhizina|Astrorhizoidea|Astrorhizidae|Clados,
16,,Commelinales,20986,20999,2.78,1,,,,Exact,0,Commelinales,Commelinales,ZC,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales,
17,,Curculigo,21584,21593,2.84,1,,,,Exact,0,Curculigo,Curculigo,3XFV,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Hypoxidaceae|Curculigo,
18,,Cyclanthanae,65547,65560,4.43,1,,,,Exact,0,Cyclanthanae Thorne ex Reveal,Cyclanthanae,100352641,165,Tropicos,,
19,,Cyperaceae,66724,66735,4.19,1,,,,Exact,0,Cyperaceae,Cyperaceae,8W5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae,
20,,Cyperales,66707,66716,2.50,1,,,,Exact,0,Cyperales Hutch.,Cyperales,43000099,165,Tropicos,,
