Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Cercopithecus,6866,6881,4.82,1,,,,Exact,9.01315,0,"Cercopithecus Linnaeus, 1758",Cercopithecus,3L2F,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Cercopithecini|Cercopithecus,
1,,Lophocebus,2676,2686,5.14,1,,,,Exact,9.01315,0,"Lophocebus Palmer, 1903",Lophocebus,5GJD,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Lophocebus,
2,,Lophocebus albigena,11188,11207,11.84,2,,,,Exact,9.01315,0,"Lophocebus albigena (Gray, 1850)",Lophocebus albigena,3W2S8,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Lophocebus|Lophocebus albigena,
3,,Lophocebus aterrimus,11208,11228,12.10,2,,,,Exact,9.01315,0,"Lophocebus aterrimus (Oudemans, 1890)",Lophocebus aterrimus,3W2S9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Lophocebus|Lophocebus aterrimus,
4,,Lophocebus kipunji,2005,2023,5.93,2,,,,Exact,9.01094,0,"Lophocebus kipunji Ehardt, Butynski, Jones & Davenport in Jones, Ehardt, Butynski, Davenport, Mpunga et al., 2005",Lophocebus kipunji,3W2SB,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Rungwecebus|Rungwecebus kipunji,
5,,Macaca,6818,6826,3.36,1,,,,Exact,9.01315,0,"Macaca Lacépède, 1799",Macaca,5HYC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca,
6,,P. cynocephalus,11400,11415,7.20,2,,,,NoMatch,0.0,,,,,,,,
7,,P. hamadryas,11879,11891,4.42,2,,,,NoMatch,0.0,,,,,,,,
8,,P. papio,11730,11738,4.01,2,,,,NoMatch,0.0,,,,,,,,
9,,P. ursinus,11378,11388,6.88,2,,,,NoMatch,0.0,,,,,,,,
