Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Cascadia,915,923,3.99,1,,,,Exact,9.01315,0,Cascadia A. M. Johnson,Cascadia,3HZX,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Cascadia,
1,,Delphininae,22646,22657,4.23,1,,,,Exact,8.98392,0,"Delphininae Le Duc, 1997",Delphininae,urn:lsid:marinespecies.org:taxname:383345,9,WoRMS,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Cetartiodactyla|Cetancodonta|Cetacea|Odontoceti|Delphinidae|Delphininae,
2,,Delphinus capensis,45390,45410,12.01,2,,,,Exact,9.01138,0,"Delphinus capensis Gray, 1828",Delphinus capensis,34JWC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea|Odontoceti|Delphinidae|Delphinus|Delphinus delphis,
3,,Delphinus delphis,45367,45385,8.86,2,,,,Exact,9.01315,0,"Delphinus delphis Linnaeus, 1758",Delphinus delphis,34JWM,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea|Odontoceti|Delphinidae|Delphinus|Delphinus delphis,
4,,Mega,24118,24122,2.12,1,,,,Exact,8.91436,0,Mega,Mega,98021101,169,uBio NameBank,,
5,,Stenella longirostris longirostris,46888,46925,19.21,3,,,,Exact,9.32315,0,"Stenella longirostris longirostris (Gray, 1828)",Stenella longirostris longirostris,7L4Y5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea|Odontoceti|Delphinidae|Stenella|Stenella longirostris|Stenella longirostris longirostris,
6,,Steno bredanensis,22810,22829,8.51,2,,,,Exact,9.01271,0,"Steno bredanensis (G. Cuvier in Lesson, 1828)",Steno bredanensis,4ZVS4,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea|Odontoceti|Delphinidae|Steno|Steno bredanensis,
7,,Stenoninae,22773,22784,4.08,1,,,,Exact,8.98392,0,"Stenoninae Le Duc, 1997",Stenoninae,urn:lsid:marinespecies.org:taxname:383329,9,WoRMS,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Cetartiodactyla|Cetancodonta|Cetacea|Odontoceti|Delphinidae|Stenoninae,
8,,Susana,526,532,3.08,1,,,,Exact,8.98392,0,"Susana Rohwer & Middleton, 1932",Susana,urn:lsid:irmng.org:taxname:1416272,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Hymenoptera|Tenthredinidae|Susana,
9,,T. aduncus,7498,7508,6.80,2,,,,NoMatch,0.0,,,,,,,,
10,,T. truncatus,5164,5176,7.67,2,,,,NoMatch,0.0,,,,,,,,
11,,T. truncatus may,5418,5434,4.89,3,,,,NoMatch,0.0,,,,,,,,
12,,Tursiops,42011,42019,4.44,1,,,,Exact,9.01315,0,"Tursiops Gervais, 1855",Tursiops,83WW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea|Odontoceti|Delphinidae|Tursiops,
13,,Tursiops aduncus,3650,3666,11.64,2,,,,Exact,9.01315,0,"Tursiops aduncus (Ehrenberg, 1833)",Tursiops aduncus,7CYM9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea|Odontoceti|Delphinidae|Tursiops|Tursiops aduncus,
14,,Tursiops truncatus,338,358,12.51,2,,,,Exact,9.01315,0,"Tursiops truncatus (Montagu, 1821)",Tursiops truncatus,59R5F,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cetacea|Odontoceti|Delphinidae|Tursiops|Tursiops truncatus,
