Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,E. meyeri,65783,65794,6.75,2,,,,NoMatch,,,,,,,,
1,,E. paradoxa,65898,65909,5.62,2,,,,NoMatch,,,,,,,,
2,,Eichhornia,7659,7671,4.22,1,,,,Exact,0,Eichhornia,Eichhornia,632PM,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Eichhornia,
3,,Eichhornia azurea,66435,66452,10.68,2,,,,Exact,0,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,38V5X,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Eichhornia|Eichhornia azurea,
4,,Eichhornia crassipes,66453,66473,10.56,2,,,,Exact,0,Eichhornia crassipes (Mart.) Solms,Eichhornia crassipes,38V65,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Eichhornia|Eichhornia crassipes,
5,,Eichhornia diversifolia,66474,66497,11.91,2,,,,Exact,0,Eichhornia diversifolia (Vahl) Urb.,Eichhornia diversifolia,38V66,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Eichhornia|Eichhornia diversifolia,
6,,Eichhornia heterosperma,66498,66521,10.75,2,,,,Exact,0,Eichhornia heterosperma Alexander,Eichhornia heterosperma,38V68,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Eichhornia|Eichhornia heterosperma,
7,,Eichhornia paniculata,66539,66560,12.56,2,,,,Exact,0,Eichhornia paniculata (Spreng.) Solms,Eichhornia paniculata,38V6D,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Eichhornia|Eichhornia paniculata,
8,,Eichhornia paradoxa,65758,65778,10.24,2,,,,Exact,0,Eichhornia paradoxa (Mart. ex Schult. & Schult.f.) Solms,Eichhornia paradoxa,6DYK2,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Eichhornia|Eichhornia paradoxa,
9,,Eurystemon,7869,7881,4.71,1,,,,Exact,0,Eurystemon Alexander,Eurystemon,32625-1,167,IPNI,,
10,,H. gardneri may,62488,62503,4.39,3,,,,NoMatch,,,,,,,,
11,,H. seubertiana,63585,63599,7.79,2,,,,NoMatch,,,,,,,,
12,,Heteranthera,7672,7685,5.88,1,,,,Exact,0,Heteranthera,Heteranthera,4W7R,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Heteranthera,
13,,Heteranthera dubia,36599,36619,7.75,2,,,,Exact,0,Heteranthera dubia (Jacq.) MacMill.,Heteranthera dubia,3L7BY,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Heteranthera|Heteranthera dubia,
14,,Heteranthera limosa,66694,66713,13.14,2,,,,Exact,0,Heteranthera limosa (Sw.) Willd.,Heteranthera limosa,3L7C7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Heteranthera|Heteranthera limosa,
15,,Heteranthera oblongifolia,36519,36545,13.57,2,,,,Exact,0,Heteranthera oblongifolia Mart. ex Schult. & Schult.f.,Heteranthera oblongifolia,6M39W,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Heteranthera|Heteranthera oblongifolia,
16,,Heteranthera rotundifolia,66740,66765,13.57,2,,,,Exact,0,Heteranthera rotundifolia (Kunth) Griseb.,Heteranthera rotundifolia,3L7CH,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Heteranthera|Heteranthera rotundifolia,
17,,Heteranthera seubertiana,36573,36598,14.07,2,,,,Exact,0,Heteranthera seubertiana Solms,Heteranthera seubertiana,3L7CJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Heteranthera|Heteranthera seubertiana,
18,,Heteranthera zosterifolia,36546,36572,13.57,2,,,,Exact,0,Heteranthera zosterifolia Mart.,Heteranthera zosterifolia,3L7CM,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Heteranthera|Heteranthera zosterifolia,
19,,Hydrothrix,7806,7817,4.56,1,,,,Exact,0,Hydrothrix,Hydrothrix,4ZW9,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Commelinales|Pontederiaceae|Hydrothrix,
