Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Abies,43702,43707,0.81,1,,,,Exact,0,Abies,Abies,627WF,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Abies,
1,,Adiantum aleuticum,47918,47936,11.50,2,,,,Exact,0,Adiantum aleuticum (Rupr.) C. A. Paris,Adiantum aleuticum,653V7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Vittarioideae|Adiantum|Adiantum aleuticum,
2,,Aplectrum hyemale,12919,12936,11.72,2,,,,Exact,0,Aplectrum hyemale (Muhl. ex Willd.) Nutt.,Aplectrum hyemale,67NP4,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Aplectrum|Aplectrum hyemale,
3,,Aplectrutn hyemale,51508,51529,3.81,2,,,,NoMatch,,,,,,,,
4,,Bentley pers,37538,37551,,2,,,,NoMatch,,,,,,,,
5,,C. bentleyi,2036,2048,6.32,2,,,,NoMatch,,,,,,,,
6,,C. bentleyi var. involuta,22705,22730,15.38,3,,,,NoMatch,,,,,,,,
7,,C. bulbosa,41499,41509,7.11,2,,,,NoMatch,,,,,,,,
8,,C. involuta,38989,39000,6.32,2,,,,NoMatch,,,,,,,,
9,,C. maculata,10318,10329,7.71,2,,,,NoMatch,,,,,,,,
10,,C. mertensiana,40982,40996,7.79,2,,,,NoMatch,,,,,,,,
11,,C. striata,1989,2000,7.54,2,,,,NoMatch,,,,,,,,
12,,C. striata habitat,43728,43751,7.42,3,,,,NoMatch,,,,,,,,
13,,C. striata leyi,17805,17820,11.06,3,,,,NoMatch,,,,,,,,
14,,C. striata may,41865,41879,4.76,3,,,,NoMatch,,,,,,,,
15,,C. striata plex,12883,12899,11.36,3,,,,NoMatch,,,,,,,,
16,,C. striata var. involuta,2435,2461,16.61,3,,,,NoMatch,,,,,,,,
17,,C. striata var. striata,2203,2226,17.69,3,,,,NoMatch,,,,,,,,
18,,C. striata var. vreelandii,47416,47442,17.22,3,,,,NoMatch,,,,,,,,
19,,Corallorhiza,6824,6836,5.16,1,,,,Exact,0,Corallorhiza,Corallorhiza,3TXH,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Corallorhiza,
20,,Corallorhiza bentleyi,15136,15158,11.88,2,,,,Exact,0,Corallorhiza bentleyi Freudenst.,Corallorhiza bentleyi,5ZZBS,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Corallorhiza|Corallorhiza bentleyi,
21,,Corallorhiza maculata vars,41597,41624,11.23,3,,,,NoMatch,0,Corallorhiza maculata Raf.,Corallorhiza maculata,5ZZDF,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Corallorhiza|Corallorhiza maculata,
22,,Corallorhiza striata,67,87,13.10,2,,,,Exact,0,Corallorhiza striata Lindl.,Corallorhiza striata,5ZZDJ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Corallorhiza|Corallorhiza striata,
23,,Corallorhiza striata var. involuta,55772,55809,22.17,3,,,,Exact,0,Corallorhiza striata var. involuta (Greenm.) Freudenst.,Corallorhiza striata involuta,7LK4N,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Corallorhiza|Corallorhiza striata|Corallorhiza striata involuta,
24,,Corallorhiza striata var. striata,51638,51676,23.26,3,,,,Exact,0,Corallorhiza striata var. striata,Corallorhiza striata striata,7LJST,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Corallorhiza|Corallorhiza striata|Corallorhiza striata striata,
25,,Corallorhiza striata var. vreelandii,54002,54039,22.78,3,,,,Exact,0,Corallorhiza striata var. vreelandii (Rydb.) L.O.Williams,Corallorhiza striata vreelandii,7LJT5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Corallorhiza|Corallorhiza striata|Corallorhiza striata vreelandii,
26,,Corallorhizinae,7829,7844,4.94,1,,,,Exact,0,"Corallorhizinae Camus, Bergon & Camus",Corallorhizinae,50169901,165,Tropicos,,
27,,Cremastra appendiculata,12974,12997,13.37,2,,,,Exact,0,Cremastra appendiculata (D.Don) Makino,Cremastra appendiculata,ZBD8,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Cremastra|Cremastra appendiculata,
28,,Huperzia miyoshiana,48017,48037,12.23,2,,,,Exact,0,Huperzia miyoshiana (Makino) Ching,Huperzia miyoshiana,6MGVW,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Lycopodiopsida|Lycopodiales|Lycopodiaceae|Huperzioideae|Huperzia|Huperzia miyoshiana,
29,,Liquidambar styraciflua,43335,43358,8.34,2,,,,Exact,0,Liquidambar styraciflua L.,Liquidambar styraciflua,6QJRL,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Altingiaceae|Liquidambar|Liquidambar styraciflua,
30,,Maunder pers,48130,48145,,2,,,,NoMatch,,,,,,,,
31,,Mitchella repens,43393,43409,11.52,2,,,,Exact,0,Mitchella repens L.,Mitchella repens,43P8Q,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Mitchella|Mitchella repens,
32,,Morphological,20,33,1.51,1,,,,Exact,0,Morphological,Morphological,3009798,168,ION,,
33,,Natrona,53169,53176,4.18,1,,,,Exact,0,"Natrona Dawson, 2019",Natrona,urn:lsid:irmng.org:taxname:11914832,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Rodentia|Sciuravidae|Natrona,
34,,Nyssa sylvatica,43365,43380,11.47,2,,,,Exact,0,Nyssa sylvatica Marshall,Nyssa sylvatica,487MQ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Cornales|Nyssaceae|Nyssa|Nyssa sylvatica,
35,,Orchidaceae,103,116,4.90,1,,,,Exact,0,Orchidaceae,Orchidaceae,DPL,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae,
36,,Oreorchis,13019,13028,2.52,1,,,,Exact,0,Oreorchis,Oreorchis,69N7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Oreorchis,
37,,Oreorchis patens,51582,51601,8.74,2,,,,Exact,0,Oreorchis patens (Lindl.) Lindl.,Oreorchis patens,7569H,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Oreorchis|Oreorchis patens,
38,,Picea,43712,43717,3.47,1,,,,Exact,0,Picea,Picea,6Q7C,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Picea,
39,,Pinus,45269,45275,4.72,1,,,,Exact,0,Pinus,Pinus,6QPY,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pinus,
40,,Piper�a unalascensis,48069,48092,4.38,2,,,,Fuzzy,1,Piperia unalascensis (Spreng.) Rydb.,Piperia unalascensis,7NJGG,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Platanthera|Platanthera unalascensis,
41,,Polystichum,47867,47879,4.79,1,,,,Exact,0,Polystichum Roth,Polystichum,63P6K,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Dryopteridaceae|Dryopteridoideae|Polystichum,
42,,Pseudotsuga,45276,45288,3.08,1,,,,Exact,0,Pseudotsuga,Pseudotsuga,73Y7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Pseudotsuga,
43,,Quercus,45293,45300,3.91,1,,,,Exact,0,Quercus,Quercus,76HN,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Quercus,
44,,Striata,8279,8286,4.07,1,,,,Exact,0,"Striata Böttger, 1878",Striata,urn:lsid:irmng.org:taxname:1442351,181,IRMNG,Biota|Animalia|Mollusca|Mollusca|Mollusca|Mollusca|Striata,
45,,Thelypteris qualpaertensis,47957,47983,5.62,2,,,,Fuzzy,1,Thelypteris quelpaertensis (Christ) Ching,Thelypteris quelpaertensis,26609145,165,Tropicos,,
