Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. adelphus,68339,68351,5.63,2,,,,NoMatch,0.0,,,,,,,,
1,,A. adolfifriederici,67072,67092,5.93,2,,,,NoMatch,0.0,,,,,,,,
2,,A. affinis,67302,67313,6.82,2,,,,NoMatch,0.0,,,,,,,,
3,,A. bivittatus,13695,13710,7.76,2,,,,NoMatch,0.0,,,,,,,,
4,,A. brevipes,13711,13723,5.79,2,,,,NoMatch,0.0,,,,,,,,
5,,A. carquejai,13724,13737,4.42,2,,,,NoMatch,0.0,,,,,,,,
6,,A. discodactylus,13900,13918,7.32,2,,,,NoMatch,0.0,,,,,,,,
7,,A. francei,35400,35411,5.22,2,,,,NoMatch,0.0,,,,,,,,
8,,A. hematogaster,13919,13935,4.28,2,,,,NoMatch,0.0,,,,,,,,
9,,A. krokosua,13738,13750,4.28,2,,,,NoMatch,0.0,,,,,,,,
10,,A. lonnbergi,69656,69669,5.76,2,,,,NoMatch,0.0,,,,,,,,
11,,A. milletihorsini,13751,13769,6.67,2,,,,NoMatch,0.0,,,,,,,,
12,,A. mossoensis,13955,13969,6.40,2,,,,NoMatch,0.0,,,,,,,,
13,,A. nikeae,67105,67115,5.70,2,,,,NoMatch,0.0,,,,,,,,
14,,A. phrynoides,13970,13984,6.58,2,,,,NoMatch,0.0,,,,,,,,
15,,A. poecilonotus,17077,17092,7.79,2,,,,NoMatch,0.0,,,,,,,,
16,,A. pyrrhoscelis,13985,14001,7.67,2,,,,NoMatch,0.0,,,,,,,,
17,,A. reichei,17489,17499,5.05,2,,,,NoMatch,0.0,,,,,,,,
18,,A. schubotzi,13331,13345,5.84,2,,,,NoMatch,0.0,,,,,,,,
19,,A. spinalis,14002,14014,7.41,2,,,,NoMatch,0.0,,,,,,,,
20,,A. stenodactylus,16834,16850,7.32,2,,,,NoMatch,0.0,,,,,,,,
21,,A. stridens,13774,13786,6.24,2,,,,NoMatch,0.0,,,,,,,,
22,,A. sylvaticus,13346,13360,7.20,2,,,,NoMatch,0.0,,,,,,,,
23,,A. sylvaticus may,66816,66833,4.41,3,,,,NoMatch,0.0,,,,,,,,
24,,A. taeniatus,66261,66274,7.67,2,,,,NoMatch,0.0,,,,,,,,
25,,A. tanneri,43070,43080,7.00,2,,,,NoMatch,0.0,,,,,,,,
26,,A. troglodytes,14028,14043,5.08,2,,,,NoMatch,0.0,,,,,,,,
27,,A. variabilis,37623,37636,7.64,2,,,,NoMatch,0.0,,,,,,,,
28,,A. vercammeni,14044,14058,6.23,2,,,,NoMatch,0.0,,,,,,,,
29,,A. wahlbergii,35050,35063,6.66,2,,,,NoMatch,0.0,,,,,,,,
30,,A. walhbergii,49502,49515,6.66,2,,,,NoMatch,0.0,,,,,,,,
31,,A. whytii,69674,69684,6.20,2,,,,NoMatch,0.0,,,,,,,,
32,,A. xenochirus,64523,64536,7.00,2,,,,NoMatch,0.0,,,,,,,,
33,,A. xenodactyloides,13382,13402,6.86,2,,,,NoMatch,0.0,,,,,,,,
34,,A. xenodactylus,13361,13377,7.20,2,,,,NoMatch,0.0,,,,,,,,
35,,A. zimmeri,14063,14074,7.00,2,,,,NoMatch,0.0,,,,,,,,
36,,Abroscaphus,12399,12411,3.95,1,,,,Exact,9.01138,0,"Abroscaphus Laurent, 1941",Abroscaphus,LRT,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis,
37,,Afrixalus,15112,15122,5.60,1,,,,Exact,9.01315,0,"Afrixalus Laurent, 1944",Afrixalus,Q3X,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Afrixalus,
38,,Arthroleptidae,696,710,5.11,1,,,,Exact,9.01315,0,"Arthroleptidae Mivart, 1869",Arthroleptidae,6RG,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae,
39,,Arthroleptis,287,301,4.94,1,,,,Exact,9.01315,0,"Arthroleptis Smith, 1849",Arthroleptis,33CS,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis,
40,,Arthroleptis adelphus,68455,68476,10.97,2,,,,Exact,9.01315,0,"Arthroleptis adelphus Perret, 1966",Arthroleptis adelphus,67SBS,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis adelphus,
41,,Arthroleptis adolfifriederici,12511,12541,11.27,2,,,,Exact,9.01315,0,"Arthroleptis adolfifriederici Nieden, 1911",Arthroleptis adolfifriederici,GYPV,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis adolfifriederici,
42,,Arthroleptis affinis,67005,67025,12.16,2,,,,Exact,9.01315,0,"Arthroleptis affinis Ahl, 1939",Arthroleptis affinis,GYPW,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis affinis,
43,,Arthroleptis francei,72806,72826,10.56,2,,,,Exact,9.01315,0,"Arthroleptis francei Loveridge, 1953",Arthroleptis francei,GYQS,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis francei,
44,,Arthroleptis may,81227,81243,3.31,2,,,,PartialExact,9.01315,0,"Arthroleptis Smith, 1849",Arthroleptis,33CS,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis,
45,,Arthroleptis nikeae,16521,16540,11.04,2,,,,Exact,9.01315,0,"Arthroleptis nikeae Poynton, 2003",Arthroleptis nikeae,GYRQ,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis nikeae,
46,,Arthroleptis reichei,17322,17342,10.39,2,,,,Exact,9.01315,0,"Arthroleptis reichei Nieden, 1911",Arthroleptis reichei,GYS6,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis reichei,
47,,Arthroleptis schubotzi,73024,73046,11.18,2,,,,Exact,9.01315,0,"Arthroleptis schubotzi Nieden, 1911",Arthroleptis schubotzi,GYSF,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis schubotzi,
48,,Arthroleptis stenodactylus,16641,16668,12.66,2,,,,Exact,9.01315,0,"Arthroleptis stenodactylus Pfeffer, 1893",Arthroleptis stenodactylus,GYSL,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis stenodactylus,
49,,Arthroleptis sylvaticus,73074,73097,12.54,2,,,,Exact,9.01315,0,"Arthroleptis sylvaticus (Laurent, 1954)",Arthroleptis sylvaticus,GYSP,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis sylvaticus,
50,,Arthroleptis tanneri,67445,67466,12.34,2,,,,Exact,9.01315,0,"Arthroleptis tanneri Grandison, 1983",Arthroleptis tanneri,GYSR,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis tanneri,
51,,Arthroleptis variabilis,73119,73142,12.98,2,,,,Exact,9.01315,0,"Arthroleptis variabilis Matschie, 1893",Arthroleptis variabilis,GYSY,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis variabilis,
52,,Arthroleptis wahlbergii,12106,12131,12.00,2,,,,Exact,9.01315,0,"Arthroleptis wahlbergii Smith, 1849",Arthroleptis wahlbergii,GYT4,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis wahlbergii,
53,,Arthroleptis xenodactyloides,73143,73171,12.20,2,,,,Exact,9.01315,0,"Arthroleptis xenodactyloides Hewitt, 1933",Arthroleptis xenodactyloides,GYT8,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis xenodactyloides,
54,,Arthroleptis xenodactylus,73172,73197,12.54,2,,,,Exact,9.01315,0,"Arthroleptis xenodactylus Boulenger, 1909",Arthroleptis xenodactylus,GYT9,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis xenodactylus,
55,,Arthroleptulus,12412,12427,5.88,1,,,,Exact,9.01138,0,"Arthroleptulus Laurent, 1941",Arthroleptulus,33CT,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis,
56,,Astylosternidae,14938,14953,5.62,1,,,,Exact,9.01138,0,"Astylosternidae Noble, 1927",Astylosternidae,6V3,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Astylosterninae,
57,,Astylosternus,14975,14989,6.01,1,,,,Exact,9.01315,0,"Astylosternus Werner, 1898",Astylosternus,34QG,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Astylosterninae|Astylosternus,
58,,B. fichus,32898,32908,5.21,2,,,,NoMatch,0.0,,,,,,,,
59,,Breviceps,15671,15680,3.96,1,,,,Exact,9.01315,0,"Breviceps Merrem, 1820",Breviceps,3D3F,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Brevicipitidae|Breviceps,
60,,Brevicipitidae,15623,15637,5.11,1,,,,Exact,9.01315,0,"Brevicipitidae Bonaparte, 1850",Brevicipitidae,7DX,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Brevicipitidae,
61,,C. alsco,58770,58778,3.37,2,,,,NoMatch,0.0,,,,,,,,
62,,C. aureoli,3130,3140,5.22,2,,,,NoMatch,0.0,,,,,,,,
63,,C. cyaneospila,59037,59052,6.58,2,,,,NoMatch,0.0,,,,,,,,
64,,C. elegans,35850,35861,5.27,2,,,,NoMatch,0.0,,,,,,,,
65,,C. escalerae,58932,58945,6.34,2,,,,NoMatch,0.0,,,,,,,,
66,,C. gracilis,36403,36414,7.41,2,,,,NoMatch,0.0,,,,,,,,
67,,C. gratiosa,35895,35907,7.28,2,,,,NoMatch,0.0,,,,,,,,
68,,C. leucomystax,36048,36064,4.68,2,,,,NoMatch,0.0,,,,,,,,
69,,C. leucomytax,35862,35877,4.50,2,,,,NoMatch,0.0,,,,,,,,
70,,C. melanogaster,36438,36455,4.28,2,,,,NoMatch,0.0,,,,,,,,
71,,C. nigromaculata,58963,58980,8.09,2,,,,NoMatch,0.0,,,,,,,,
72,,C. occidentalis,35878,35894,7.67,2,,,,NoMatch,0.0,,,,,,,,
73,,C. oreas,29016,29024,3.05,2,,,,NoMatch,0.0,,,,,,,,
74,,C. pulchra,35935,35949,5.45,2,,,,NoMatch,0.0,,,,,,,,
75,,C. schioetzi,36456,36470,5.84,2,,,,NoMatch,0.0,,,,,,,,
76,,C. trifasciata,59101,59116,8.12,2,,,,NoMatch,0.0,,,,,,,,
77,,C. venusta,59085,59096,6.22,2,,,,NoMatch,0.0,,,,,,,,
78,,Callulina,15685,15695,4.10,1,,,,Exact,9.01315,0,"Callulina Nieden, 1911",Callulina,3FQY,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Brevicipitidae|Callulina,
79,,Cardioglossa,326,340,5.00,1,,,,Exact,9.01315,0,"Cardioglossa Boulenger, 1900",Cardioglossa,62KGB,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa,
80,,Cardioglossa aims,9380,9397,4.42,2,,,,PartialExact,9.01315,0,"Cardioglossa Boulenger, 1900",Cardioglossa,62KGB,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa,
81,,Cardioglossa aureoli,7281,7301,10.62,2,,,,Exact,9.01138,0,"Cardioglossa aureoli Schiøtz, 1964",Cardioglossa aureoli,R5G6,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis aureoli,
82,,Cardioglossa gracilis,73246,73267,12.81,2,,,,Exact,9.01315,0,"Cardioglossa gracilis Boulenger, 1900",Cardioglossa gracilis,R5GC,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa|Cardioglossa gracilis,
83,,Cardioglossa gratiosa,12142,12164,12.68,2,,,,Exact,9.01315,0,"Cardioglossa gratiosa Amiet, 1972",Cardioglossa gratiosa,R5GD,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa|Cardioglossa gratiosa,
84,,Cardioglossa leucomystax,73268,73292,10.08,2,,,,Exact,9.01315,0,"Cardioglossa leucomystax (Boulenger, 1903)",Cardioglossa leucomystax,R5GF,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa|Cardioglossa leucomystax,
85,,Cardioglossa manengouba,57184,57207,7.30,2,,,,Exact,9.01315,0,"Cardioglossa manengouba Blackburn, 2008",Cardioglossa manengouba,R5GH,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa|Cardioglossa manengouba,
86,,Cardioglossa melanogaster,10581,10606,9.67,2,,,,Exact,9.01315,0,"Cardioglossa melanogaster Amiet, 1972",Cardioglossa melanogaster,R5GJ,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa|Cardioglossa melanogaster,
87,,Cardioglossa oreas,73343,73361,8.45,2,,,,Exact,9.01315,0,"Cardioglossa oreas Amiet, 1972",Cardioglossa oreas,R5GM,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa|Cardioglossa oreas,
88,,Cardioglossa pulchra,73362,73382,10.84,2,,,,Exact,9.01315,0,"Cardioglossa pulchra Schiøtz, 1963",Cardioglossa pulchra,R5GP,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa|Cardioglossa pulchra,
89,,Cardioglossa schioetzi,73383,73405,11.23,2,,,,Exact,9.01315,0,"Cardioglossa schioetzi Amiet, 1982",Cardioglossa schioetzi,R5GQ,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Cardioglossa|Cardioglossa schioetzi,
90,,Coracodichus,12432,12444,4.16,1,,,,Exact,9.01138,0,"Coracodichus Laurent, 1941",Coracodichus,62MJN,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis,
91,,Drosophila melanogaster,1002,1026,9.57,2,,,,Exact,9.01315,0,"Drosophila (Drosophila) melanogaster Linnaeus, 1758",Drosophila melanogaster,8BWKC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Drosophila|Drosophila melanogaster,
92,,H. barotseensis,32993,33009,6.43,2,,,,NoMatch,0.0,,,,,,,,
93,,Hemisotidae,15714,15725,4.91,1,,,,Exact,9.01315,0,"Hemisotidae Cope, 1867",Hemisotidae,624SL,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Hemisotidae,
94,,Hemisus,15726,15736,2.97,1,,,,Exact,9.01315,0,"Hemisus Günther, 1859",Hemisus,4VF5,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Hemisotidae|Hemisus,
95,,Homo sapiens,1067,1080,8.29,2,,,,Exact,9.01315,0,"Homo sapiens Linnaeus, 1758",Homo sapiens,6MB3T,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Homo|Homo sapiens,
96,,Hymenochirus,83197,83210,6.12,1,,,,Exact,9.01315,0,"Hymenochirus Boulenger, 1896",Hymenochirus,5276,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pipidae|Hymenochirus,
97,,Hyperoliidae,15060,15072,5.12,1,,,,Exact,9.01315,0,"Hyperoliidae Laurent, 1943",Hyperoliidae,624W2,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Hyperoliidae,
98,,Hyperolius,15123,15134,4.89,1,,,,Exact,9.01315,0,"Hyperolius Rapp, 1842",Hyperolius,52FT,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Hyperolius,
99,,Kassina,15135,15143,3.46,1,,,,Exact,9.01315,0,"Kassina Girard, 1853",Kassina,57NC,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Kassina,
100,,L. blanci,33107,33117,4.49,2,,,,NoMatch,0.0,,,,,,,,
101,,L. brevirostris,31306,31323,7.30,2,,,,NoMatch,0.0,,,,,,,,
102,,L. stevarti,33131,33143,5.40,2,,,,NoMatch,0.0,,,,,,,,
103,,Leptodactylodon,14990,15006,3.44,1,,,,Exact,9.01315,0,"Leptodactylodon Andersson, 1903",Leptodactylodon,5CYW,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Astylosterninae|Leptodactylodon,
104,,Leptopelis,15148,15160,5.26,1,,,,Exact,9.01315,0,"Leptopelis Günther, 1859",Leptopelis,5D8F,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Leptopelinae|Leptopelis,
105,,Mega,21737,21741,2.12,1,,,,Exact,8.91436,0,Mega,Mega,98021101,169,uBio NameBank,,
106,,Nyctibates,15007,15018,2.79,1,,,,Exact,9.01315,0,"Nyctibates Boulenger, 1904",Nyctibates,65ZD,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Astylosterninae|Nyctibates,
107,,Nyctibates corrugatus,33827,33848,10.95,2,,,,Exact,9.01315,0,"Nyctibates corrugatus Boulenger, 1904",Nyctibates corrugatus,485FQ,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Astylosterninae|Nyctibates|Nyctibates corrugatus,
108,,Ptychadena,82005,82016,4.90,1,,,,Exact,9.01315,0,"Ptychadena Boulenger, 1917",Ptychadena,7565,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Ptychadenidae|Ptychadena,
109,,S. globosa,64419,64430,7.11,2,,,,NoMatch,0.0,,,,,,,,
110,,Schoutedenella,782,796,5.58,1,,,,Exact,9.01138,0,"Schoutedenella De Witte, 1921",Schoutedenella,643GH,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis,
111,,Schoutedenella taeniata,65989,66015,13.70,2,,,,Exact,9.01138,0,"Schoutedenella taeniata (Boulenger, 1906)",Schoutedenella taeniata,4VFMG,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Arthroleptinae|Arthroleptis|Arthroleptis taeniatus,
112,,Scotobleps,15019,15030,3.89,1,,,,Exact,9.01315,0,"Scotobleps Boulenger, 1900",Scotobleps,644VH,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Astylosterninae|Scotobleps,
113,,Silurana,82296,82304,3.36,1,,,,Exact,9.01138,0,"Silurana Gray, 1864",Silurana,7GWN,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pipidae|Xenopus,
114,,Taxon,11117,11122,1.77,1,,,,Exact,8.98012,0,Taxon,Taxon,51015831-1,167,IPNI,,
115,,Trichobatrachus,15035,15051,4.66,1,,,,Exact,9.01315,0,"Trichobatrachus Boulenger, 1900",Trichobatrachus,7Z7P,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Arthroleptidae|Astylosterninae|Trichobatrachus,
116,,Xenopus,82309,82317,4.76,1,,,,Exact,9.01315,0,"Xenopus Wagler, 1827",Xenopus,88X8,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pipidae|Xenopus,
117,,Xenopus laevis,1036,1051,10.99,2,,,,Exact,9.01315,0,"Xenopus laevis (Daudin, 1802)",Xenopus laevis,5CBC9,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Pipidae|Xenopus|Xenopus laevis,
