Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. probatocephalus,27264,27283,7.45,2,,,,NoMatch,0.0,,,,,,,,
1,,Archosargus,28154,28165,5.16,1,,,,Exact,9.00960,0,Archosargus,Archosargus,329B,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Perciformes|Sparidae|Archosargus,
2,,Archosargus probatocephalus,17341,17368,13.01,2,,,,Exact,9.01315,0,"Archosargus probatocephalus (Walbaum, 1792)",Archosargus probatocephalus,5VQ8G,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Perciformes|Sparidae|Archosargus|Archosargus probatocephalus,
3,,C. carcharias,10957,10970,5.75,2,,,,NoMatch,0.0,,,,,,,,
4,,C. limbatus,12348,12359,7.53,2,,,,NoMatch,0.0,,,,,,,,
5,,C. sapidus,27121,27132,6.39,2,,,,NoMatch,0.0,,,,,,,,
6,,Callinectes,29573,29584,2.93,1,,,,Exact,9.01315,0,"Callinectes Stimpson, 1860",Callinectes,7NRKW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Portunoidea|Portunidae|Portuninae|Callinectes,
7,,Callinectes sapidus,17863,17882,9.73,2,,,,Exact,9.01315,0,"Callinectes sapidus Rathbun, 1896",Callinectes sapidus,PQYN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Malacostraca|Decapoda|Pleocyemata|Brachyura|Eubrachyura|Heterotremata|Portunoidea|Portunidae|Portuninae|Callinectes|Callinectes sapidus,
8,,Carcharhinidae,6316,6330,5.11,1,,,,Exact,9.00960,0,Carcharhinidae,Carcharhinidae,7QF,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Carcharhinidae,
9,,Carcharhinus leucas,11069,11088,6.56,2,,,,Exact,9.01315,0,"Carcharhinus leucas (Müller & Henle, 1839)",Carcharhinus leucas,R3NW,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Carcharhinidae|Carcharhinus|Carcharhinus leucas,
10,,Carcharhinus limbatus,11116,11137,13.95,2,,,,Exact,9.01315,0,"Carcharhinus limbatus (Müller & Henle, 1839)",Carcharhinus limbatus,R3P2,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Carcharhinidae|Carcharhinus|Carcharhinus limbatus,
11,,Carcharodon carcharias,4898,4921,8.88,2,,,,Exact,9.01315,0,"Carcharodon carcharias (Linnaeus, 1758)",Carcharodon carcharias,5WZLF,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Lamniformes|Lamnidae|Carcharodon|Carcharodon carcharias,
12,,Chiloscyllium plagiosum,48840,48864,12.98,2,,,,Exact,9.01183,0,"Chiloscyllium plagiosum (Anonymous [Bennett] , 1830)",Chiloscyllium plagiosum,5Y4DD,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Orectolobiformes|Hemiscylliidae|Chiloscyllium|Chiloscyllium plagiosum,
13,,Cladodus,12444,12452,4.32,1,,,,Exact,8.98392,0,"Cladodus Egerton, 1841",Cladodus,urn:lsid:irmng.org:taxname:1374552,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Chondrichthyes|Ctenacanthiformes|Ctenacanthidae|Cladodus,
14,,E. saurus,19321,19330,6.35,2,,,,NoMatch,0.0,,,,,,,,
15,,Elops,27597,27602,,1,,,,Exact,9.00960,0,Elops,Elops,6345T,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Elopiformes|Elopidae|Elops,
