Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Betta splendens,53280,53297,10.13,2,,,,Exact,9.01315,0,"Betta splendens Regan, 1910",Betta splendens,LP2V,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Perciformes|Osphronemidae|Betta|Betta splendens,
1,,Callithrix jacchus,8990,9010,10.42,2,,,,Exact,9.01315,0,"Callithrix jacchus (Linnaeus, 1758)",Callithrix jacchus,697NS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Callitrichidae|Callithrix|Callithrix jacchus,
2,,Cebus apella nigritus,8761,8785,17.58,3,,,,Exact,9.29360,0,"Cebus apella nigritus (Goldfuss, 1809)",Cebus apella nigritus,11037491,11,GBIF Backbone Taxonomy,Animalia|Chordata|Mammalia|Primates|Cebidae|Sapajus|Sapajus nigritus,
3,,Cyanocitta cristata,3972,3994,12.70,2,,,,Exact,9.01315,0,"Cyanocitta cristata (Linnaeus, 1758)",Cyanocitta cristata,32NKH,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Corvidae|Cyanocitta|Cyanocitta cristata,
4,,Gasterosteus aculeatus,11271,11295,13.07,2,,,,Exact,9.01315,0,"Gasterosteus aculeatus Linnaeus, 1758",Gasterosteus aculeatus,3FCKT,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Gasterosteiformes|Gasterosteidae|Gasterosteus|Gasterosteus aculeatus,
5,,P. reticulata,12144,12159,7.94,2,,,,NoMatch,0.0,,,,,,,,
6,,Pan troglodytes,4241,4258,5.85,2,,,,Exact,9.01315,0,"Pan troglodytes (Blumenbach, 1775)",Pan troglodytes,4C92G,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Pan|Pan troglodytes,
7,,Papio ursinus,2851,2866,9.75,2,,,,Exact,9.01315,0,"Papio ursinus (Kerr, 1792)",Papio ursinus,4CKZP,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Papio|Papio ursinus,
8,,Poecilia reticulata,144,165,13.58,2,,,,Exact,9.01315,0,"Poecilia reticulata Peters, 1859",Poecilia reticulata,4KSF6,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Cyprinodontiformes|Poeciliidae|Poecilia|Poecilia reticulata,
9,,Saguinus oedipus,8950,8968,8.03,2,,,,Exact,9.01315,0,"Saguinus oedipus (Linnaeus, 1758)",Saguinus oedipus,4TZC5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Callitrichidae|Saguinus|Saguinus oedipus,
10,,Sturnus vulgaris,51747,51766,12.54,2,,,,Exact,9.01315,0,"Sturnus vulgaris Linnaeus, 1758",Sturnus vulgaris,5384V,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Sturnidae|Sturnus|Sturnus vulgaris,
11,,Sus scrofa,53067,53079,4.62,2,,,,Exact,9.01315,0,"Sus scrofa Linnaeus, 1758",Sus scrofa,53HGR,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Artiodactyla|Suidae|Suinae|Suini|Sus|Sus scrofa,
