Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acheta,9353,9359,3.97,1,,,,Exact,0,"Acheta Fabricius, 1775",Acheta,8NLDR,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Ensifera|Gryllidea|Grylloidea|Gryllidae|Gryllinae|Gryllinae|Gryllini|Gryllina|Acheta,
1,,Acheta domesticus,49708,49726,11.57,2,,,,Exact,0,"Acheta domesticus (Linnaeus, 1758)",Acheta domesticus,96XX,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Ensifera|Gryllidea|Grylloidea|Gryllidae|Gryllinae|Gryllinae|Gryllini|Gryllina|Acheta|Acheta domesticus,
2,,Acrida,9783,9789,3.72,1,,,,Exact,0,"Acrida Linnaeus, 1758",Acrida,8NLGP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridomorpha|Acridoidea|Acrididae|Acridinae|Acridini|Acrida,
3,,Acrididae,9231,9240,4.83,1,,,,Exact,0,"Acrididae MacLeay, 1821",Acrididae,8NKGT,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridomorpha|Acridoidea|Acrididae,
4,,Acridoidea,2125,2135,4.36,1,,,,Exact,0,"Acridoidea MacLeay, 1821",Acridoidea,8NKG2,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridomorpha|Acridoidea,
5,,Agathemera,9369,9379,5.53,1,,,,Exact,0,"Agathemera Stål, 1875",Agathemera,8NLMW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Phasmida|Euphasmatodea|Pseudophasmatoidea|Agathemeridae|Agathemerinae|Agathemerini|Agathemera,
6,,Arthropoda,91,103,4.05,1,,,,Exact,0,Arthropoda,Arthropoda,RT,1,Catalogue of Life,Biota|Animalia|Arthropoda,
7,,Batrachideidae,9561,9575,5.11,1,,,,Exact,0,"Batrachideidae Bolívar, 1887",Batrachideidae,8PMVB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Tetrigoidea|Tetrigidae|Batrachideinae,
8,,Batrachotetrix,9818,9832,4.91,1,,,,Exact,0,"Batrachotetrix Burmeister, 1838",Batrachotetrix,8NN5K,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridomorpha|Acridoidea|Pamphagidae|Akicerinae|Batrachotetrix,
9,,Blattodea,7829,7838,4.43,1,,,,Exact,0,"Blattodea Latreille, 1810",Blattodea,TM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Blattodea,
