Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Altungulata,1934,1946,4.23,1,,,,Exact,8.91878,0,Altungulata Prothero & Schoch 1989,Altungulata,1314159,168,ION,,
1,,Anagalida,1947,1957,3.88,1,,,,Exact,8.98012,0,Anagalida,Anagalida,urn:lsid:irmng.org:taxname:10206,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Anagalida,
2,,Artiodactyla,977,991,4.24,1,,,,Exact,9.01315,0,"Artiodactyla Owen, 1848",Artiodactyla,6227M,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Artiodactyla,
3,,Caballus,9001,9010,5.15,1,,,,Exact,8.98202,0,"Caballus Rafinesque, 1815",Caballus,urn:lsid:irmng.org:taxname:1347735,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Perissodactyla|Equidae|Equus,
4,,Carnivora,4021,4031,5.56,1,,,,Exact,9.01315,0,"Carnivora Bowdich, 1821",Carnivora,VS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora,
5,,Cetartiodactyla,2880,2895,4.75,1,,,,Exact,8.98392,0,"Cetartiodactyla Montgelard, Catzeflis & Douzery, 1997",Cetartiodactyla,urn:lsid:marinespecies.org:taxname:370511,9,WoRMS,Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Cetartiodactyla,
6,,Chrysochloridae,3828,3843,5.62,1,,,,Exact,9.01315,0,"Chrysochloridae Gray, 1825",Chrysochloridae,87M,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Afrosoricida|Chrysochloridea|Chrysochloridae,
7,,E. asinus,9036,9046,6.63,2,,,,NoMatch,0.0,,,,,,,,
8,,Elephantulus,8860,8872,5.88,1,,,,Exact,9.01315,0,"Elephantulus Thomas & Schwann, 1906",Elephantulus,632HG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Macroscelidea|Macroscelididae|Elephantulus,
9,,Elephantulus rufescens,5474,5496,12.66,2,,,,Exact,9.01315,0,"Elephantulus rufescens (Peters, 1878)",Elephantulus rufescens,398D3,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Macroscelidea|Macroscelididae|Elephantulus|Elephantulus rufescens,
10,,Elephas,10035,10042,2.36,1,,,,Exact,9.01315,0,"Elephas Linnaeus, 1758",Elephas,62QHH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Proboscidea|Elephantidae|Elephas,
11,,Equus,8880,8885,3.17,1,,,,Exact,9.01315,0,"Equus Linnaeus, 1758",Equus,4DLP,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Perissodactyla|Equidae|Equus,
12,,Erinaceus,8821,8830,4.71,1,,,,Exact,9.01315,0,"Erinaceus Linnaeus, 1758",Erinaceus,62RKX,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Erinaceomorpha|Erinaceidae|Erinaceinae|Erinaceus,
13,,Eutheria,2608,2617,4.44,1,,,,Exact,9.01315,0,"Eutheria Gill, 1872",Eutheria,LG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria,
14,,Ferungulata,2900,2912,4.23,1,,,,Exact,8.91878,0,Ferungulata Simpson 1945,Ferungulata,1000,113,Zoological names,Animalia|Metazoa|Enterozoa|Bilateria|Enterocoela|Eucoelomata|Chordata|Leptocardii|Mammalia|Theria|Eutheria|Ferungulata,
15,,Glires,15179,15186,2.23,1,,,,Exact,8.98392,0,Glires Linnaeus 1758,Glires,89231662,132,ZooBank,,
16,,Hyracoidea,992,1003,4.36,1,,,,Exact,9.01315,0,"Hyracoidea Huxley, 1869",Hyracoidea,3DH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Hyracoidea,
17,,Insectivora,1004,1016,5.64,1,,,,Exact,9.00782,0,Insectivora,Insectivora,623CC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Erinaceomorpha,
18,,Lagomorpha,1017,1028,4.42,1,,,,Exact,9.01315,0,"Lagomorpha Brandt, 1855",Lagomorpha,3F2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Lagomorpha,
19,,Macroscelida,17054,17066,4.16,1,,,,Exact,8.91878,0,Macroscelida Mekayev 2002,Macroscelida,1644202,168,ION,,
20,,Macroscelidea,3781,3794,4.69,1,,,,Exact,9.01315,0,"Macroscelidea Butler, 1956",Macroscelidea,3HH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Macroscelidea,
21,,Macroscelides proboscideus,6670,6696,11.45,2,,,,Exact,9.01315,0,"Macroscelides proboscideus (Shaw, 1800)",Macroscelides proboscideus,6R3ZG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Macroscelidea|Macroscelididae|Macroscelides|Macroscelides proboscideus,
22,,Morphological data,27955,27973,4.33,2,,,,PartialExact,8.91436,0,Morphological,Morphological,3009798,168,ION,,
23,,Orycteropus,10613,10624,5.47,1,,,,Exact,9.01315,0,"Orycteropus G. Cuvier, 1798",Orycteropus,63GYP,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Tubulidentata|Orycteropodidae|Orycteropus,
24,,Orycteropus afer,5501,5518,8.91,2,,,,Exact,9.01315,0,"Orycteropus afer (Pallas, 1766)",Orycteropus afer,74ZNF,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Tubulidentata|Orycteropodidae|Orycteropus|Orycteropus afer,
25,,Oryctolagus,8838,8849,5.16,1,,,,Exact,9.01315,0,"Oryctolagus Lilljeborg, 1873",Oryctolagus,63GYZ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Lagomorpha|Leporidae|Oryctolagus,
26,,Perissodactyla,4004,4018,4.24,1,,,,Exact,9.01315,0,"Perissodactyla Owen, 1848",Perissodactyla,623DW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Perissodactyla,
27,,Primates,9716,9724,2.42,1,,,,Exact,9.01315,0,"Primates Linnaeus, 1758",Primates,3W7,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates,
28,,Proboscidea,3735,3746,5.06,1,,,,Exact,9.01315,0,"Proboscidea Illiger, 1811",Proboscidea,3WB,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Proboscidea,
29,,Procavia,8796,8804,4.49,1,,,,Exact,9.01315,0,"Procavia Storr, 1780",Procavia,6423F,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Hyracoidea|Procaviidae|Procavia,
30,,Rodentia,9737,9745,3.66,1,,,,Exact,9.01315,0,"Rodentia Bowdich, 1821",Rodentia,3Z5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia,
31,,Sirenia,3749,3758,3.65,1,,,,Exact,9.01315,0,"Sirenia Illiger, 1811",Sirenia,43T,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Sirenia,
32,,Tenrecidae,3846,3857,4.76,1,,,,Exact,9.01315,0,"Tenrecidae Gray, 1821",Tenrecidae,GZG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Afrosoricida|Tenrecomorpha|Tenrecidae,
33,,Trichechus,8943,8953,3.81,1,,,,Exact,9.01315,0,"Trichechus Linnaeus, 1758",Trichechus,7Z4Y,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Sirenia|Trichechidae|Trichechus,
34,,Tubulidentata,3812,3825,4.42,1,,,,Exact,9.01315,0,"Tubulidentata Huxley, 1872",Tubulidentata,49Y,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Tubulidentata,
35,,Ungulata,1962,1971,3.71,1,,,,Exact,8.97869,0,Ungulata (awaiting allocation),Ungulata,urn:lsid:irmng.org:taxname:11033,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Ungulata,
