Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acinonyx jubatus,11724,11740,11.28,2,,,,Exact,0,"Acinonyx jubatus (Schreber, 1775)",Acinonyx jubatus,9BTZ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Acinonyx|Acinonyx jubatus,
1,,Alopex lagopus,23490,23504,9.21,2,,,,Exact,0,"Alopex lagopus (Linnaeus, 1758)",Alopex lagopus,C58B,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Vulpes|Vulpes lagopus,
2,,Canidae,1937,1945,4.76,1,,,,Exact,0,"Canidae Fischer, 1817",Canidae,622J6,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae,
3,,Canis,23519,23524,3.88,1,,,,Exact,0,"Canis Linnaeus, 1758",Canis,3GTH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis,
4,,Canis adustus,23505,23518,11.64,2,,,,Exact,0,"Canis adustus Sundevall, 1847",Canis adustus,QLX4,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis|Canis adustus,
5,,Canis dirus,21555,21566,10.15,2,,,,Exact,0,Canis dirus (Leidy 1858),Canis dirus,44837,172,PaleoBioDB,||Mammalia|Carnivora|Canis dirus,
6,,Canis latrans,23532,23545,9.56,2,,,,Exact,0,"Canis latrans Say, 1823",Canis latrans,QLXJ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis|Canis latrans,
7,,Canis lupus,23546,23557,5.88,2,,,,Exact,0,"Canis lupus Linnaeus, 1758",Canis lupus,QLXL,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis|Canis lupus,
8,,Canis mesomelas,23558,23573,9.34,2,,,,Exact,0,"Canis mesomelas Schreber, 1775",Canis mesomelas,QLXN,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis|Canis mesomelas,
9,,Caracal aurata,11741,11755,8.55,2,,,,Exact,0,Caracal aurata Temminck,Caracal aurata,1005980,184,ASM Mammal Diversity DB,Animalia|Chordata|Mammalia|Carnivora|Felidae|Caracal|Caracal aurata,
10,,Caracal caracal,11756,11771,4.45,2,,,,Exact,0,"Caracal caracal (Schreber, 1776)",Caracal caracal,QZRR,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Caracal|Caracal caracal,
11,,Caracal serval,11772,11786,4.46,2,,,,Exact,0,Caracal serval (Schreber 1776),Caracal serval,224082,172,PaleoBioDB,||Mammalia|Carnivora|Caracal serval,
12,,Cerdocyon thous,23574,23589,7.37,2,,,,Exact,0,"Cerdocyon thous (Linnaeus, 1766)",Cerdocyon thous,SWGW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Cerdocyon|Cerdocyon thous,
13,,Chrysocyon brachyurus,23590,23611,11.29,2,,,,Exact,0,"Chrysocyon brachyurus (Illiger, 1815)",Chrysocyon brachyurus,5YNGG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Chrysocyon|Chrysocyon brachyurus,
14,,Felidae,51,58,4.76,1,,,,Exact,0,"Felidae Fischer de Waldheim, 1817",Felidae,623RM,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae,
15,,Felis chaus,11787,11798,8.09,2,,,,Exact,0,"Felis chaus Schreber, 1777",Felis chaus,3DXV4,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Felis|Felis chaus,
16,,Felis margarita,11799,11814,7.38,2,,,,Exact,0,"Felis margarita Loche, 1858",Felis margarita,3DXVH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Felis|Felis margarita,
17,,Felis nigripes,11815,11829,10.52,2,,,,Exact,0,"Felis nigripes Burchell, 1824",Felis nigripes,3DXVM,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Felis|Felis nigripes,
18,,Felis silvestris lybica,11830,11853,18.33,3,,,,Exact,0,"Felis silvestris lybica Forster, 1780",Felis silvestris lybica,5HC2Y,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Felis|Felis silvestris|Felis silvestris lybica,
19,,Leopardus colocolo,11854,11872,9.44,2,,,,Exact,0,"Leopardus colocolo (Molina, 1782)",Leopardus colocolo,3T786,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Leopardus|Leopardus colocolo,
20,,Leopardus geoffroyi,11873,11892,10.82,2,,,,Exact,0,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,3T787,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Leopardus|Leopardus geoffroyi,
21,,Leopardus pardalis,11893,11911,12.57,2,,,,Exact,0,"Leopardus pardalis (Linnaeus, 1758)",Leopardus pardalis,3T78D,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Leopardus|Leopardus pardalis,
22,,Leopardus tigrinus,11912,11930,12.22,2,,,,Exact,0,"Leopardus tigrinus (Schreber, 1775)",Leopardus tigrinus,6P8MM,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Leopardus|Leopardus tigrinus,
23,,Leopardus wiedii,11931,11947,11.24,2,,,,Exact,0,"Leopardus wiedii (Schinz, 1821)",Leopardus wiedii,3T78F,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Leopardus|Leopardus wiedii,
24,,Lycaon pictus,23612,23625,9.97,2,,,,Exact,0,"Lycaon pictus (Temminck, 1820)",Lycaon pictus,73256,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Lycaon|Lycaon pictus,
25,,Lynx canadensis,11948,11963,8.62,2,,,,Exact,0,"Lynx canadensis Kerr, 1792",Lynx canadensis,3WSJS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Lynx|Lynx canadensis,
26,,Lynx lynx,11964,11973,4.92,2,,,,Exact,0,"Lynx lynx (Linnaeus, 1758)",Lynx lynx,6QR9T,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Lynx|Lynx lynx,
