Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Actinolaimidae,36297,36312,5.11,1,,,,Exact,9.01315,0,"Actinolaimidae Thorne, 1939",Actinolaimidae,87BX5,1,Catalogue of Life,Biota|Animalia|Nematoda|Enoplea|Dorylaimia|Dorylaimida|Dorylaimina|Dorylaimoidea|Actinolaimidae,
1,,Anaplectus,27673,27683,5.35,1,,,,Exact,9.01315,0,"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",Anaplectus,87D9L,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Plectida|Plectina|Plectoidea|Plectidae|Pakirinae|Anaplectus,
2,,Aphelenchoides,27705,27719,4.07,1,,,,Exact,9.01315,0,"Aphelenchoides Fischer, 1894",Aphelenchoides,87DDP,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Tylenchina|Tylenchomorpha|Aphelenchoidea|Aphelenchoididae|Aphelenchoides,
3,,Bunonema,32668,32677,4.81,1,,,,Exact,9.01315,0,"Bunonema Jägerskiöld, 1905",Bunonema,87DRQ,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Bunonematomorpha|Bunonematoidea|Bunonematidae|Bunonematinae|Bunonema,
4,,C. briggsae,21609,21620,6.03,2,,,,NoMatch,0.0,,,,,,,,
5,,Caenorhabditis elegans,21571,21593,10.61,2,,,,Exact,9.01315,0,"Caenorhabditis elegans (Maupas, 1899) Dougherty, 1953",Caenorhabditis elegans,87THG,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis|Caenorhabditis elegans,
6,,Cephalobidae,28976,28989,5.12,1,,,,Exact,9.01315,0,"Cephalobidae Filipjev, 1934",Cephalobidae,87BZV,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Tylenchina|Cephalobomorpha|Cephaloboidea|Cephalobidae,
7,,Cephalobinae,27726,27738,4.43,1,,,,Exact,9.01315,0,"Cephalobinae Filipjev, 1934",Cephalobinae,8FZH5,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Tylenchina|Cephalobomorpha|Cephaloboidea|Cephalobidae|Cephalobinae,
8,,Coomansinema,27688,27700,5.54,1,,,,Exact,8.98202,0,"Coomansinema Ahmad & Jairajpuri, 1989",Coomansinema,urn:lsid:irmng.org:taxname:1134811,181,IRMNG,Biota|Animalia|Nematoda|Dorylaimea|Dorylaimida|Dorylaimidae|Timminema,
9,,Coptotermes testaceus,33299,33322,9.55,2,,,,Exact,9.01315,0,"Coptotermes testaceus (Linnaeus, 1758)",Coptotermes testaceus,Y8KD,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Blattodea|Isoptera|Rhinotermitidae|Coptotermes|Coptotermes testaceus,
10,,Criconematina,2194,2208,3.81,1,,,,Exact,9.00960,0,Criconematina,Criconematina,8FZ9G,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Tylenchida|Criconematina,
11,,Diploscapteridae,27914,27930,5.41,1,,,,Exact,8.98392,0,"Diploscapteridae Micoletzky, 1922",Diploscapteridae,urn:lsid:irmng.org:taxname:100400,181,IRMNG,Biota|Animalia|Nematoda|Chromadorea|Rhabditida|Diploscapteridae,
