Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. concii,38594,38604,4.80,2,,,,NoMatch,0.0,,,,,,,,
1,,A. cristati,15481,15492,5.52,2,,,,NoMatch,0.0,,,,,,,,
2,,A. watersoni,15493,15505,6.71,2,,,,NoMatch,0.0,,,,,,,,
3,,Aptenodytes patagonicus,50207,50231,10.71,2,,,,Exact,9.01315,0,"Aptenodytes patagonicus J. F. Miller, 1778",Aptenodytes patagonicus,67QCM,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Aptenodytes|Aptenodytes patagonicus,
4,,Austrogoniodes,24450,24464,4.07,1,,,,Exact,9.01315,0,"Austrogoniodes Harrison, 1915",Austrogoniodes,8MQF6,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Austrogoniodes,
5,,Austrogoniodes concii,15459,15480,9.27,2,,,,Exact,9.01315,0,"Austrogoniodes concii (von Kéler, 1952)",Austrogoniodes concii,JWPM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Austrogoniodes|Austrogoniodes concii,
6,,Austromenopon,25403,25417,3.84,1,,,,Exact,9.01315,0,"Austromenopon Bedford, 1939",Austromenopon,8MQF9,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Amblycera|Menoponoidea|Ancistronidae|Austromenopon,
7,,Charadriiformes,14077,14093,2.42,1,,,,Exact,9.00960,0,Charadriiformes,Charadriiformes,X3,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Charadriiformes,
8,,D. epomophora,31849,31862,6.95,2,,,,NoMatch,0.0,,,,,,,,
9,,Diomedea epomophora,15826,15845,11.90,2,,,,Exact,9.01315,0,"Diomedea epomophora Lesson, 1825",Diomedea epomophora,36B3M,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Procellariiformes|Diomedeidae|Diomedea|Diomedea epomophora,
10,,Docophoroides,25418,25432,4.06,1,,,,Exact,9.01315,0,"Docophoroides Giglioli, 1864",Docophoroides,8MRPN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Docophoroides,
11,,Drosophila melanogaster,27010,27033,9.57,2,,,,Exact,9.01315,0,"Drosophila (Drosophila) melanogaster Linnaeus, 1758",Drosophila melanogaster,8BWKC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Drosophila|Drosophila melanogaster,
12,,E. pachyrhynchus,31832,31848,6.01,2,,,,NoMatch,0.0,,,,,,,,
13,,Episbates,25433,25443,2.86,1,,,,Exact,9.01315,0,"Episbates Thompson, 1935",Episbates,8MRVD,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Episbates,
14,,Eudyptes pachyrhynchus,15694,15716,8.83,2,,,,Exact,9.01315,0,"Eudyptes pachyrhynchus G. R. Gray, 1845",Eudyptes pachyrhynchus,6GWJ2,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Eudyptes|Eudyptes pachyrhynchus,
15,,Eudyptula minor,15717,15732,7.00,2,,,,Exact,9.01315,0,"Eudyptula minor (J. R. Forster, 1781)",Eudyptula minor,6H8KC,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Eudyptula|Eudyptula minor,
16,,H. consimilis,30116,30130,7.64,2,,,,NoMatch,0.0,,,,,,,,
17,,H. diversus,15528,15539,6.91,2,,,,NoMatch,0.0,,,,,,,,
18,,H. falsus,15540,15549,6.49,2,,,,NoMatch,0.0,,,,,,,,
19,,H. pelagicus,15559,15571,7.11,2,,,,NoMatch,0.0,,,,,,,,
20,,Halipeurus,1847,1857,5.76,1,,,,Exact,9.01315,0,"Halipeurus Thompson, 1936",Halipeurus,8MS6F,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Halipeurus,
