Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acaca,10862,10867,3.07,1,,,,Exact,0,"Acaca Roewer, 1935",Acaca,7NMHR,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Opiliones|Laniatores|Grassatores|Assamioidea|Assamiidae|Acacinae|Acaca,
1,,Acanthaceae,56271,56282,4.34,1,,,,Exact,0,Acanthaceae Juss.,Acanthaceae,62332,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae,
2,,Acer,50360,50364,1.82,1,,,,Exact,0,Acer L.,Acer,MLD,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acer,
3,,Acer saccharum,148470,148484,9.38,2,,,,Exact,0,Acer saccharum Marshall,Acer saccharum,94JK,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acer|Acer saccharum,
4,,Acoraceae,36284,36293,4.26,1,,,,Exact,0,Acoraceae,Acoraceae,5XZ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Acorales|Acoraceae,
5,,Acorus,27265,27271,5.11,1,,,,Exact,0,Acorus,Acorus,N6V,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Acorales|Acoraceae|Acorus,
6,,Acorus alone,32656,32668,4.73,2,,,,PartialExact,0,Acorus,Acorus,N6V,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Acorales|Acoraceae|Acorus,
7,,Acorus calamus,115273,115287,8.05,2,,,,Exact,0,Acorus calamus L.,Acorus calamus,64MF2,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Acorales|Acoraceae|Acorus|Acorus calamus,
8,,Actinidia,54470,54482,4.43,1,,,,Exact,0,Actinidia Lindl.,Actinidia,NNN,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Actinidioideae|Actinidia,
9,,Actinidia chinensis,115291,115310,11.14,2,,,,Exact,0,Actinidia chinensis Planch.,Actinidia chinensis,64Q3F,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Actinidioideae|Actinidia|Actinidia chinensis,
