Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Alcataenia,46956,46966,4.22,1,,,,Exact,9.01315,0,"Alcataenia Spasskaya, 1971",Alcataenia,7NNH2,1,Catalogue of Life,Biota|Animalia|Platyhelminthes|Rhabditophora|Cestoda|Eucestoda|Cyclophyllidea|Dilepididae|Alcataenia,
1,,Anura,43128,43133,4.27,1,,,,Exact,9.01138,0,"Anura Nicolet, 1847",Anura,PY,1,Catalogue of Life,Biota|Animalia|Arthropoda|Collembola|Poduromorpha|Neanuroidea|Neanuridae|Morulininae|Morulina,
2,,Caudata,43134,43141,3.51,1,,,,Exact,9.00960,0,Caudata,Caudata,W3,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Caudata,
3,,Chelonia,43163,43171,3.85,1,,,,Exact,9.00960,0,Chelonia,Chelonia,3MPC,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Testudines|Cryptodira|Chelonioidea|Cheloniidae|Chelonia,
4,,Crocodilia,42944,42954,5.61,1,,,,Exact,8.98012,0,Crocodilia,Crocodilia,551734,3,ITIS,Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Reptilia|Crocodilia,
5,,Enterobius,33713,33723,4.89,1,,,,Exact,8.98392,0,"Enterobius Baird, 1853",Enterobius,urn:lsid:irmng.org:taxname:1275939,181,IRMNG,Biota|Animalia|Nematoda|Chromadorea|Spirurida|Oxyuridae|Enterobius,
6,,G. actuosi,28512,28522,5.22,2,,,,NoMatch,0.0,,,,,,,,
7,,G. chapini,28533,28543,6.09,2,,,,NoMatch,0.0,,,,,,,,
8,,G. cherriei,33048,33060,5.76,2,,,,NoMatch,0.0,,,,,,,,
9,,G. costaricensis,28580,28596,6.55,2,,,,NoMatch,0.0,,,,,,,,
10,,G. ewingi,32982,32992,5.54,2,,,,NoMatch,0.0,,,,,,,,
11,,G. panamensis,28544,28557,6.40,2,,,,NoMatch,0.0,,,,,,,,
12,,G. setzeri,33032,33043,7.00,2,,,,NoMatch,0.0,,,,,,,,
