Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Aquilegia canadensis,45372,45393,10.68,2,,,,Exact,9.01315,0,Aquilegia canadensis L.,Aquilegia canadensis,67QDX,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Thalictroideae|Aquilegia|Aquilegia canadensis,
1,,Asteraceae,8784,8795,4.75,1,,,,Exact,9.01315,0,Asteraceae Dumort.,Asteraceae,622TP,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae,
2,,Bena,66899,66903,3.61,1,,,,Exact,9.00960,0,Bena,Bena,39F9,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Noctuoidea|Nolidae|Bena,
3,,Collinsia verna,57481,57497,8.09,2,,,,Exact,9.01315,0,Collinsia verna Nutt.,Collinsia verna,X4DC,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Chelonoideae|Collinsia|Collinsia verna,
4,,Erythronium grandiflorum,50628,50652,13.17,2,,,,Exact,9.01315,0,Erythronium grandiflorum Pursh,Erythronium grandiflorum,3BFFG,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Liliales|Liliaceae|Erythronium|Erythronium grandiflorum,
5,,Fabaceae,8733,8742,4.38,1,,,,Exact,9.00960,0,Fabaceae,Fabaceae,623QT,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae,
6,,Ipomoea purpurea,50549,50566,11.08,2,,,,Exact,9.01315,0,Ipomoea purpurea (L.) Roth,Ipomoea purpurea,6MWFS,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Solanales|Convolvulaceae|Convolvuloideae|Ipomoea|Ipomoea purpurea,
7,,L. jepsonii,67588,67599,7.01,2,,,,NoMatch,0.0,,,,,,,,
8,,Leptosiphon,67383,67394,4.51,1,,,,Exact,9.01315,0,Leptosiphon Benth.,Leptosiphon,5DD9,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Ericales|Polemoniaceae|Polemonioideae|Leptosiphon,
9,,Mimulus,59776,59783,4.96,1,,,,Exact,9.01315,0,Mimulus L.,Mimulus,5T9B,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Phrymaceae|Mimulus,
10,,Myrtaceae,8753,8762,4.26,1,,,,Exact,9.01315,0,Myrtaceae Juss.,Myrtaceae,D48,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae,
11,,Pinaceae,8743,8752,3.82,1,,,,Exact,9.00960,0,Pinaceae,Pinaceae,625M7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae,
12,,Poaceae,8800,8808,3.62,1,,,,Exact,9.00960,0,Poaceae,Poaceae,627FW,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Liliopsida|Poales|Poaceae,
13,,Polemoniaceae,67395,67411,4.53,1,,,,Exact,9.01315,0,Polemoniaceae Juss.,Polemoniaceae,627H7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Ericales|Polemoniaceae,
