Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. caninum,40278,40288,6.77,2,,,,NoMatch,,,,,,,,
1,,Anaplasma,50900,50909,4.66,1,,,,Exact,0,"Anaplasma Theiler, 1910",Anaplasma,urn:lsid:marinespecies.org:taxname:570971,9,WoRMS,Biota|Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Anaplasma,
2,,Ancylostoma caninum,17277,17299,12.81,2,,,,Exact,0,"Ancylostoma caninum (Ercolani, 1859) Hall, 1913",Ancylostoma caninum,urn:lsid:marinespecies.org:taxname:1507505,9,WoRMS,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Strongyloidea|Ancylostomatidae|Ancylostoma|Ancylostoma caninum,
3,,Aphelenchus avenae,38918,38937,10.37,2,,,,Exact,0,"Aphelenchus avenae Bastian, 1865",Aphelenchus avenae,87PTG,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Tylenchina|Tylenchomorpha|Aphelenchoidea|Aphelenchidae|Aphelenchus|Aphelenchus avenae,
4,,B. malayi,1773,1783,5.70,2,,,,NoMatch,,,,,,,,
5,,Brugia malayi,1182,1196,9.56,2,,,,Exact,0,Brugia malayi,Brugia malayi,55586430,12,EOL,,
6,,Brugia pahangi,47664,47679,9.65,2,,,,Exact,0,Brugia pahangi,Brugia pahangi,7031775,11,GBIF Backbone Taxonomy,Animalia|Nematoda|Chromadorea|Rhabditida|Filariidae|Brugia|Brugia pahangi,
7,,C. briggsae,10542,10553,6.03,2,,,,NoMatch,,,,,,,,
8,,C. briggsae may,53185,53200,3.25,3,,,,NoMatch,,,,,,,,
9,,C. elegans,950,960,5.27,2,,,,NoMatch,,,,,,,,
10,,Caenorhabditis,29558,29572,4.94,1,,,,Exact,0,"Caenorhabditis Osche, 1952",Caenorhabditis,87DRY,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis,
11,,Caenorhabditis brenneri,13902,13926,12.51,2,,,,Exact,0,"Caenorhabditis brenneri Sudhaus & Kiontke, 2007",Caenorhabditis brenneri,8GPFB,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis|Caenorhabditis brenneri,
12,,Caenorhabditis briggsae,1056,1080,11.37,2,,,,Exact,0,"Caenorhabditis briggsae (Dougherty & Nigon, 1949) Dougherty, 1953",Caenorhabditis briggsae,8P6BR,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis|Caenorhabditis briggsae,
13,,Caenorhabditis elegans,914,936,10.61,2,,,,Exact,0,"Caenorhabditis elegans (Maupas, 1899) Dougherty, 1953",Caenorhabditis elegans,87THG,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis|Caenorhabditis elegans,
14,,Caenorhabditis japonica,13927,13951,8.85,2,,,,Exact,0,"Caenorhabditis japonica Kiontke, Hironaka & Sudhaus, 2002",Caenorhabditis japonica,8GPFC,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis|Caenorhabditis japonica,
15,,Caenorhabditis remanei,13878,13901,11.23,2,,,,Exact,0,"Caenorhabditis remanei (Sudhaus, 1974) Andrássy, 1983",Caenorhabditis remanei,8Q6RV,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Rhabditina|Rhabditomorpha|Rhabditoidea|Rhabditidae|Rhabditinae|Caenorhabditis|Caenorhabditis remanei,
16,,Chromadorea,20056,20067,4.36,1,,,,Exact,0,"Chromadorea Inglis, 1983",Chromadorea,87BRN,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea,
17,,D. immitis,49598,49608,6.39,2,,,,NoMatch,,,,,,,,
18,,D. viviparus,44212,44224,6.92,2,,,,NoMatch,,,,,,,,
19,,Deuterostomia,40961,40974,4.83,1,,,,Exact,0,Deuterostomia,Deuterostomia,116,2,Wikispecies,,
20,,Dicistroviridae,31616,31632,5.62,1,,,,Exact,0,Dicistroviridae,Dicistroviridae,97Q,1,Catalogue of Life,Biota||Pisuviricota|Pisoniviricetes|Picornavirales|Dicistroviridae,
21,,Dictyocaulus viviparus,40242,40264,13.20,2,,,,Exact,0,"Dictyocaulus viviparus (Bloch, 1782)",Dictyocaulus viviparus,2283440,11,GBIF Backbone Taxonomy,Animalia|Nematoda|Chromadorea|Strongylida|Dictyocaulidae|Dictyocaulus|Dictyocaulus viviparus,
22,,Dirofilaria immitis,47680,47700,11.75,2,,,,Exact,0,"Dirofilaria immitis (Leidy, 1856)",Dirofilaria immitis,urn:lsid:marinespecies.org:taxname:1425437,9,WoRMS,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Spirurina|Spiruromorpha|Filarioidea|Onchocercidae|Dirofilariinae|Dirofilaria|Dirofilaria immitis,
23,,Dorylaimia,20071,20081,4.49,1,,,,Exact,0,Dorylaimia,Dorylaimia,8FZ92,1,Catalogue of Life,Biota|Animalia|Nematoda|Enoplea|Dorylaimia,
24,,Drosophila,39607,39617,4.89,1,,,,Exact,0,Drosophila,Drosophila,8NPBW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophila,
25,,Ecdysozoa,40947,40956,2.28,1,,,,Exact,0,Ecdysozoa,Ecdysozoa,107,2,Wikispecies,,
26,,Ehrlichia,50914,50924,5.38,1,,,,Exact,0,"Ehrlichia Moshkovski, 1945 emend. Dumler et al., 2001",Ehrlichia,957129,3,ITIS,Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Ehrlichia,
27,,Filarial,49723,49731,0.61,1,,,,Exact,0,Filarial,Filarial,2406558,168,ION,,
28,,Filarial nematodes,49394,49412,3.78,2,,,,PartialExact,0,Filarial,Filarial,2406558,168,ION,,
29,,Globodera mexicana,17221,17241,9.67,2,,,,Exact,0,"Globodera mexicana Subbotin, Mundo-Ocampo & Baldwin, 2010",Globodera mexicana,8G9CD,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Tylenchina|Tylenchomorpha|Tylenchoidea|Heteroderidae|Heteroderinae|Globodera|Globodera mexicana,
30,,Globodera pallida,31235,31252,12.66,2,,,,Exact,0,"Globodera pallida (Stone, 1973) Behrens, 1975",Globodera pallida,8FTB2,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Tylenchina|Tylenchomorpha|Tylenchoidea|Heteroderidae|Heteroderinae|Globodera|Globodera pallida,
31,,H. polygyrus,48289,48302,6.92,2,,,,NoMatch,,,,,,,,
32,,Haemonchus contortus,48303,48323,11.88,2,,,,Exact,0,"Haemonchus contortus Rudolphi, 1803",Haemonchus contortus,gn_264291,186,MCZbase,Animalia|Nematoda|Chromadorea|Rhabditida|Trichostrongylidae|Haemonchus|Haemonchus contortus,
33,,Heligmosomoides polygyrus,45154,45179,11.89,2,,,,Exact,0,"Heligmosomoides polygyrus (Dujardin, 1845)",Heligmosomoides polygyrus,144853177,158,EUNIS,,
34,,Heterodera scahchtii,39833,39853,7.84,2,,,,PartialExact,0,"Heterodera Schmidt, 1871",Heterodera,87GFJ,1,Catalogue of Life,Biota|Animalia|Nematoda|Chromadorea|Chromadoria|Rhabditida|Tylenchina|Tylenchomorpha|Tylenchoidea|Heteroderidae|Heteroderinae|Heterodera,
