Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Abbreviations macrochaetae,74680,74706,2.13,2,,,,NoMatch,0.0,,,,,,,,
1,,Agapophytinae,19860,19875,4.42,1,,,,Exact,9.00960,0,Agapophytinae,Agapophytinae,89NVM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Therevidae|Agapophytinae,
2,,Anepimeral setae,55004,55020,1.50,2,,,,NoMatch,0.0,,,,,,,,
3,,Anthracinae,3912,3925,4.23,1,,,,Exact,9.00960,0,Anthracinae,Anthracinae,8MPLD,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Tachinidae|Anthracinae,
4,,Anthracini,5341,5351,3.55,1,,,,Exact,9.01138,0,"Anthracini Schuler, 1970",Anthracini,8KTSD,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Caraboidea|Carabidae|Harpalinae|Stenolophini,
5,,Anthrax,5026,5033,,1,,,,Exact,9.00960,0,Anthrax,Anthrax,62DDB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Bombyliidae|Anthracinae|Anthracini|Anthrax,
6,,Anthrax maculatus,7125,7142,11.76,2,,,,Exact,9.01315,0,"Anthrax maculatus Macquart, 1846",Anthrax maculatus,5VGLN,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Bombyliidae|Anthracinae|Anthracini|Anthrax|Anthrax maculatus,
7,,Aphoebantini,5268,5281,3.90,1,,,,Exact,9.00960,0,Aphoebantini,Aphoebantini,8MPRV,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Tachinidae|Anthracinae|Aphoebantini,
8,,Asiloidea,19610,19619,4.43,1,,,,Exact,8.98012,0,Asiloidea,Asiloidea,14685,2,Wikispecies,,
9,,A�������������palirika mackenziei,63939,63973,4.16,2,,,,NoMatch,0.0,,,,,,,,
10,,Bal. abscondita,90489,90504,6.47,2,,,,NoMatch,0.0,,,,,,,,
11,,Bal. bicuspis,90505,90518,6.24,2,,,,NoMatch,0.0,,,,,,,,
12,,Bal. centrosa,90519,90532,7.28,2,,,,NoMatch,0.0,,,,,,,,
13,,Bal. gigantea,90533,90546,6.03,2,,,,NoMatch,0.0,,,,,,,,
14,,Bal. kingcascadensis,90547,90567,6.68,2,,,,NoMatch,0.0,,,,,,,,
15,,Bal. latelimbata,90568,90584,8.12,2,,,,NoMatch,0.0,,,,,,,,
16,,Balaana,1976,1983,3.16,1,,,,Exact,9.00960,0,Balaana,Balaana,37GM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Bombyliidae|Exoporosopinae|Balaana,
17,,Bombyliidae,333,345,4.91,1,,,,Exact,9.00960,0,Bombyliidae,Bombyliidae,622GM,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Bombyliidae,
18,,Bombyliinae,4907,4919,4.23,1,,,,Exact,9.00960,0,Bombyliinae,Bombyliinae,87CDS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Bombyliidae|Bombyliinae,
19,,Brachyanax,5769,5779,4.32,1,,,,Exact,9.00960,0,Brachyanax,Brachyanax,3C8R,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Bombyliidae|Anthracinae|Anthracini|Brachyanax,
20,,Coleoptera,8367,8377,4.97,1,,,,Exact,9.00960,0,Coleoptera,Coleoptera,C2L,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Coleoptera,
21,,Diptera,323,332,4.96,1,,,,Exact,9.01138,0,Diptera Borkh.,Diptera,5T8Z6,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Saxifraga,
