Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Acetobacter aceti,37204,37221,8.35,2,,,,Exact,0,"Acetobacter aceti (Pasteur, 1864) Beijerinck, 1898",Acetobacter aceti,95BQ,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acetobacter|Acetobacter aceti,
1,,Acetobacter indonesiensis,37222,37247,9.81,2,,,,Exact,0,"Acetobacter indonesiensis Lisdiyanti et al., 2001",Acetobacter indonesiensis,95C2,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acetobacter|Acetobacter indonesiensis,
2,,Acetobacter pasteurianus,37248,37272,10.57,2,,,,Exact,0,"Acetobacter pasteurianus (Hansen, 1879) Beijerinck & Folpmers, 1916",Acetobacter pasteurianus,95CD,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acetobacter|Acetobacter pasteurianus,
3,,Acetobacteraceae,1293,1309,4.84,1,,,,Exact,0,"Acetobacteraceae (ex Henrici, 1939) Gillis & De Ley, 1980",Acetobacteraceae,622R7,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae,
4,,Acetobacterium,37301,37315,5.70,1,,,,Exact,0,"Acetobacterium Balch et al., 1977",Acetobacterium,MNG,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Acetobacterium,
5,,Acetobacterium halotolerans,37273,37300,11.80,2,,,,Exact,0,Acetobacterium halotolerans,Acetobacterium halotolerans,98920960,169,uBio NameBank,|Acetobacterium halotolerans,
6,,Acidimicrobium,37327,37341,5.70,1,,,,Exact,0,"Acidimicrobium Clark & Norris, 1996",Acidimicrobium,MWJ,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Actinobacteria|Actinobacteria|Acidimicrobidae|Acidimicrobiales|Acidimicrobineae|Acidimicrobiaceae|Acidimicrobium,
7,,Acidiphilium,37352,37364,5.70,1,,,,Exact,0,"Acidiphilium Harrison, 1981",Acidiphilium,urn:lsid:irmng.org:taxname:1090949,181,IRMNG,Biota|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acidiphilium,
8,,Acidisphaera,39340,39352,5.88,1,,,,Exact,0,"Acidisphaera Hiraishi et al., 2000",Acidisphaera,MWQ,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acidisphaera,
9,,Acidobacteria,1253,1267,4.59,1,,,,Exact,0,"Acidobacteria Thrash & Coates, 2012",Acidobacteria,622BG,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Acidobacteria,
10,,Acidobacteriaceae,21938,21956,4.82,1,,,,Exact,0,"Acidobacteriaceae Thrash & Coates, 2012",Acidobacteriaceae,5XF,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae,
11,,Acidobacterium,39508,39522,5.70,1,,,,Exact,0,"Acidobacterium Kishimoto et al., 1991",Acidobacterium,MWV,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae|Acidobacterium,
12,,Acidomonas methanolica,37578,37600,12.17,2,,,,Exact,0,"Acidomonas methanolica (Uhlig et al., 1986) Urakami et al., 1989 emend. Yamashita et al., 2004",Acidomonas methanolica,958746,3,ITIS,Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Acidomonas|Acidomonas methanolica,
13,,Actinobacterium,37601,37616,6.20,1,,,,Exact,0,Actinobacterium,Actinobacterium,urn:lsid:irmng.org:taxname:1106730,181,IRMNG,Biota|Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces,
14,,Actinomyces,35130,35141,3.76,1,,,,Exact,0,"Actinomyces Harz, 1877",Actinomyces,NQH,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Actinobacteria|Actinobacteridae|Actinomycetales|Actinomycineae|Actinomycetaceae|Actinomyces,
15,,Actinomyces georgiae,35066,35086,10.89,2,,,,Exact,0,"Actinomyces georgiae Johnson et al., 1990",Actinomyces georgiae,64Q7X,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Actinobacteria|Actinobacteridae|Actinomycetales|Actinomycineae|Actinomycetaceae|Actinomyces|Actinomyces georgiae,
16,,Actinomyces naeslundii,35087,35109,10.89,2,,,,Exact,0,"Actinomyces naeslundii Thompson & Lovestedt, 1951 emend. Henssge et al., 2009 emend. Henssge & al. , 2009",Actinomyces naeslundii,64Q8C,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Actinobacteria|Actinobacteridae|Actinomycetales|Actinomycineae|Actinomycetaceae|Actinomyces|Actinomyces naeslundii,
17,,Actinomyces oricola,35110,35129,10.82,2,,,,Exact,0,"Actinomyces oricola Hall et al., 2003",Actinomyces oricola,64PVG,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Actinobacteria|Actinobacteridae|Actinomycetales|Actinomycineae|Actinomycetaceae|Actinomyces|Actinomyces oricola,
18,,Afipia broomeae,45061,45076,10.31,2,,,,Exact,0,"Afipia broomeae Brenner et al., 1992",Afipia broomeae,65DSR,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Afipia|Afipia broomeae,
19,,Afipia felis,45077,45089,10.68,2,,,,Exact,0,"Afipia felis Brenner et al., 1992",Afipia felis,65DSS,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Afipia|Afipia felis,
20,,Agrobacterium tumefaciens,35167,35192,12.73,2,,,,Exact,0,"Agrobacterium tumefaciens (Smith & Townsend, 1907) Conn, 1942",Agrobacterium tumefaciens,65TS8,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium radiobacter,
21,,Alphaproteobacteria,1852,1872,5.06,1,,,,Exact,0,"Alphaproteobacteria Garrity et al., 2006",Alphaproteobacteria,7H,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria,
22,,Ancylobacter aquaticus,45090,45112,10.58,2,,,,Exact,0,"Ancylobacter aquaticus (Orskov, 1928) Raj, 1983",Ancylobacter aquaticus,DNLX,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Ancylobacter|Ancylobacter aquaticus,
23,,Angulomicrobium,45113,45128,6.20,1,,,,Exact,0,"Angulomicrobium Vasil'eva et al., 1986",Angulomicrobium,62C57,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Angulomicrobium,
24,,Arabidopsis thaliana,38523,38543,12.06,2,,,,Exact,0,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,G26R,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis|Arabidopsis thaliana,
25,,Asterochloris,8671,8684,3.69,1,,,,Exact,0,"Asterochloris Tschermak-Woess, 1980",Asterochloris,urn:lsid:marinespecies.org:taxname:601375,9,WoRMS,Biota|Plantae|Viridiplantae|Chlorophyta|Chlorophytina|Trebouxiophyceae|Trebouxiales|Trebouxiaceae|Asterochloris,
26,,Azorhizobium caulinodans,45140,45164,11.95,2,,,,Exact,0,"Azorhizobium caulinodans Dreyfus et al., 1988",Azorhizobium caulinodans,K5VF,1,Catalogue of Life,Biota|Bacteria|Negibacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Azorhizobium|Azorhizobium caulinodans,
