Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Aciculae,75078,75086,2.78,1,,,,Exact,0,Mycena sect. Aciculae Kühner 1938,Aciculae,509530,5,Index Fungorum,,
1,,Amphiroa,6869,6877,3.34,1,,,,Exact,0,"Amphiroa J.V.F. Lamouroux, 1812",Amphiroa,62B7K,1,Catalogue of Life,Biota|Plantae|Rhodophyta|Cryptonemiales|Corallinaceae|Amphiroa,
2,,Annelida,93,103,3.99,1,,,,Exact,0,Annelida,Annelida,NN,1,Catalogue of Life,Biota|Animalia|Annelida,
3,,Anoplosyllinae,13981,13995,4.43,1,,,,Exact,0,"Anoplosyllinae Aguado & San Martín, 2009",Anoplosyllinae,85GGL,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Anoplosyllinae,
4,,Autolytides,26022,26035,3.87,1,,,,Exact,0,"Autolytides Malaquin, 1893",Autolytides,urn:lsid:irmng.org:taxname:1292330,181,IRMNG,Biota|Animalia|Annelida|Polychaeta|Phyllodocida|Syllidae|Myrianida,
5,,Autolytinae,13999,14011,4.23,1,,,,Exact,0,"Autolytinae Langerhans, 1879",Autolytinae,857XM,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Autolytinae,
6,,Autolytus inermis,25817,25834,12.25,2,,,,Exact,0,"Autolytus (Autolytides) inermis Saint Joseph, 1887",Autolytus inermis,JZ2Q,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Autolytinae|Autolytini|Myrianida|Myrianida inermis,
7,,Autolytus lugens,27029,27045,11.64,2,,,,Exact,0,"Autolytus lugens Saint Joseph, 1887",Autolytus lugens,JZ54,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Autolytinae|Autolytini|Myrianida|Myrianida quindecimdentata,
8,,Autolytus quindecimdentatus,26688,26715,14.42,2,,,,Exact,0,"Autolytus quindecimdentatus Langerhans, 1884",Autolytus quindecimdentatus,JZ5X,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Autolytinae|Autolytini|Myrianida|Myrianida quindecimdentata,
9,,Branchiosyllis exilis,15789,15810,13.00,2,,,,Exact,0,"Branchiosyllis exilis (Gravier, 1900)",Branchiosyllis exilis,N6ST,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Syllinae|Branchiosyllis|Branchiosyllis exilis,
10,,Brania arminii,15557,15571,10.81,2,,,,Exact,0,"Brania arminii (Langerhans, 1881)",Brania arminii,N72C,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Exogoninae|Brania|Brania arminii,
11,,Brania pusilla,15854,15868,10.73,2,,,,Exact,0,"Brania pusilla (Dujardin, 1851)",Brania pusilla,N733,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Exogoninae|Brania|Brania pusilla,
12,,Brania subterranea,48456,48475,10.75,2,,,,Exact,0,"Brania subterranea (Hartmann-Schröder, 1956)",Brania subterranea,693BS,1,Catalogue of Life,Biota|Animalia|Annelida|Polychaeta|Errantia|Phyllodocida|Nereidiformia|Syllidae|Exogoninae|Salvatoria|Salvatoria neapolitana,
