Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. millepora,14927,14939,6.86,2,,,,NoMatch,0.0,,,,,,,,
1,,Acropora millepora,14845,14863,12.38,2,,,,Exact,9.01315,0,"Acropora millepora (Ehrenberg, 1834)",Acropora millepora,9P3K,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Acroporidae|Acropora|Acropora millepora,
2,,Acropora tenuis,1158,1175,7.14,2,,,,Exact,9.01315,0,"Acropora tenuis (Dana, 1846)",Acropora tenuis,9P6Z,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Acroporidae|Acropora|Acropora tenuis,
3,,Austrocochlea constricta,6785,6810,12.70,2,,,,Exact,9.01315,0,"Austrocochlea constricta (Lamarck, 1822)",Austrocochlea constricta,5VXDM,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Vetigastropoda|Trochida|Trochoidea|Trochidae|Monodontinae|Austrocochlea|Austrocochlea constricta,
4,,Montastraea,7691,7702,5.26,1,,,,Exact,9.01315,0,"Montastraea Blainville, 1830",Montastraea,84QLD,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Montastraeidae|Montastraea,
5,,S. hystrix,13139,13149,5.65,2,,,,NoMatch,0.0,,,,,,,,
6,,S. hystrix colonies,31994,32013,4.83,3,,,,NoMatch,0.0,,,,,,,,
7,,Seriatopora hystrix,1191,1212,11.69,2,,,,Exact,9.01315,0,"Seriatopora hystrix Dana, 1846",Seriatopora hystrix,4WTDW,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Pocilloporidae|Seriatopora|Seriatopora hystrix,
8,,Seriatopora hystrix corals,26117,26143,10.89,3,,,,PartialExact,9.01315,0,"Seriatopora hystrix Dana, 1846",Seriatopora hystrix,4WTDW,1,Catalogue of Life,Biota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Pocilloporidae|Seriatopora|Seriatopora hystrix,
9,,Thalassoma bifasciatum,7211,7233,13.50,2,,,,Exact,9.01315,0,"Thalassoma bifasciatum (Bloch, 1791)",Thalassoma bifasciatum,55ZMQ,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Perciformes|Labridae|Thalassoma|Thalassoma bifasciatum,
