Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. lyrata,6958,6968,7.29,2,,,,NoMatch,0.0,,,,,,,,
1,,A. thaliana,6497,6508,7.38,2,,,,NoMatch,0.0,,,,,,,,
2,,A. thaliana ancestor,14831,14851,7.86,3,,,,NoMatch,0.0,,,,,,,,
3,,A. thaliana gene,1000,1016,6.42,3,,,,NoMatch,0.0,,,,,,,,
4,,Arabidopsis,7010,7021,4.27,1,,,,Exact,9.00960,0,Arabidopsis,Arabidopsis,62CR2,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis,
5,,Arabidopsis lyrata,6546,6565,11.96,2,,,,Exact,9.01315,0,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz,Arabidopsis lyrata,G25Y,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis|Arabidopsis lyrata,
6,,Arabidopsis thaliana,181,201,12.06,2,,,,Exact,9.01315,0,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,G26R,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis|Arabidopsis thaliana,
7,,Brassica rapa,42845,42858,4.68,2,,,,Exact,9.01315,0,Brassica rapa L.,Brassica rapa,N83Q,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassica|Brassica rapa,
8,,Brassicales,1188,1200,2.57,1,,,,Exact,9.01315,0,Brassicales Bromhead,Brassicales,6228L,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales,
9,,Carica papaya,6573,6589,2.14,2,,,,Exact,9.01315,0,Carica papaya L.,Carica papaya,RCZK,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Caricaceae|Carica|Carica papaya,
10,,Drosophila melanogaster,3429,3452,9.57,2,,,,Exact,9.01315,0,"Drosophila (Drosophila) melanogaster Linnaeus, 1758",Drosophila melanogaster,8BWKC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Drosophila|Drosophila melanogaster,
11,,Families thaliana,37115,37132,1.93,2,,,,PartialExact,8.94694,0,Families represented: 2,Families,08CE6A2DB0F4B9AB54BF36D4BA15E3A9,194,Plazi,,
12,,Glycine max,42807,42820,3.89,2,,,,Exact,9.01315,0,Glycine max (L.) Merr.,Glycine max,3GF5W,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Glycine|Glycine max,
13,,Populus trichocarpa,6597,6619,12.17,2,,,,Exact,9.01094,0,Populus trichocarpa Torr. & A. Gray ex Hook.,Populus trichocarpa,4LVR5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Populus|Populus balsamifera|Populus balsamifera trichocarpa,
14,,Rosids,277,283,1.56,1,,,,Exact,8.98012,0,Rosids,Rosids,269792,2,Wikispecies,,
15,,Vitis vinifera,6637,6653,10.78,2,,,,Exact,9.01315,0,Vitis vinifera L.,Vitis vinifera,5BM7B,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Vitales|Vitaceae|Vitoideae|Vitis|Vitis vinifera,
