Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,D. birchii,26550,26561,6.33,2,,,,NoMatch,0.0,,,,,,,,
1,,D. ezoana,39775,39785,6.96,2,,,,NoMatch,0.0,,,,,,,,
2,,D. littoralis,39757,39770,7.64,2,,,,NoMatch,0.0,,,,,,,,
3,,D. melanogaster,27090,27106,4.28,2,,,,NoMatch,0.0,,,,,,,,
4,,D. mojavensis,26850,26864,6.40,2,,,,NoMatch,0.0,,,,,,,,
5,,D. serrata,26535,26545,7.54,2,,,,NoMatch,0.0,,,,,,,,
6,,Drosophila,1296,1306,4.89,1,,,,Exact,9.00960,0,Drosophila,Drosophila,8MQXF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Ephydridae|Discocerina|Drosophila,
7,,Drosophila melanogaster,6953,6976,9.57,2,,,,Exact,9.01315,0,"Drosophila (Drosophila) melanogaster Linnaeus, 1758",Drosophila melanogaster,8BWKC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Drosophila|Drosophila melanogaster,
8,,Drosophila montana,104,122,8.78,2,,,,Exact,9.01315,0,Drosophila montana Patterson & Wheeler,Drosophila montana,37S6G,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Drosophila montana,
9,,Drosophila song,5881,5896,3.66,2,,,,PartialExact,9.00960,0,Drosophila,Drosophila,8MQXF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Ephydridae|Discocerina|Drosophila,
