Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Ascomycota,3851,3861,4.31,1,,,,Exact,9.00960,0,Ascomycota,Ascomycota,SM,1,Catalogue of Life,Biota|Fungi|Ascomycota,
1,,Drosophila,46985,46996,4.89,1,,,,Exact,9.00960,0,Drosophila,Drosophila,8MQXF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Ephydridae|Discocerina|Drosophila,
2,,Mata,16331,16335,3.35,1,,,,Exact,9.01315,0,"Mata Distant, 1906",Mata,8HM22,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera|Cicadomorpha|Cicadoidea|Cicadidae|Cicadinae|Oncotympanini|Mata,
3,,Neurospora,4647,4657,5.49,1,,,,Exact,9.00960,0,Neurospora,Neurospora,63SG,1,Catalogue of Life,Biota|Fungi|Ascomycota|Sordariomycetes|Sordariales|Sordariaceae|Neurospora,
4,,Paradoxus,134,143,4.18,1,,,,Exact,9.00960,0,Paradoxus,Paradoxus,63KHC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Yponomeutoidea|Yponomeutidae|Paradoxus,
5,,S. cerevisiae,1181,1195,6.95,2,,,,NoMatch,0.0,,,,,,,,
6,,S. cerevisiae cells,7554,7575,6.95,3,,,,NoMatch,0.0,,,,,,,,
7,,S. cerevisiae may,42648,42667,4.17,3,,,,NoMatch,0.0,,,,,,,,
8,,S. paradoxus,925,938,6.10,2,,,,NoMatch,0.0,,,,,,,,
9,,Saccharomyces,89,102,3.95,1,,,,Exact,9.00960,0,Saccharomyces,Saccharomyces,7BFM,1,Catalogue of Life,Biota|Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces,
10,,Saccharomyces cerevisiae,876,901,11.31,2,,,,Exact,9.01315,0,Saccharomyces cerevisiae (Desm.) Meyen,Saccharomyces cerevisiae,4TWCR,1,Catalogue of Life,Biota|Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces|Saccharomyces cerevisiae,
11,,Saccharomyces paradoxus,17094,17117,10.46,2,,,,Exact,9.01315,0,Saccharomyces paradoxus Bach.-Raich.,Saccharomyces paradoxus,4TWGF,1,Catalogue of Life,Biota|Fungi|Ascomycota|Saccharomycetes|Saccharomycetales|Saccharomycetaceae|Saccharomyces|Saccharomyces paradoxus,
12,,Valle,50778,50783,1.04,1,,,,Exact,9.01315,0,"Valle González-Sponga, 2003",Valle,7Q63H,1,Catalogue of Life,Biota|Animalia|Arthropoda|Arachnida|Opiliones|Eupnoi|Phalangioidea|Sclerosomatidae|Gagrellinae|Valle,
